geo,Año,Desagregación,Producción
15090,2019,Sacha inchi,2.000000
15185,2019,Sacha inchi,12.000000
15507,2019,Sacha inchi,522.000000
15572,2019,Sacha inchi,22.500000
15664,2019,Sacha inchi,0.350000
15090,2020,Sacha inchi,3.000000
15185,2020,Sacha inchi,10.000000
15507,2020,Sacha inchi,72.000000
15572,2020,Sacha inchi,5.000000
15664,2020,Sacha inchi,0.350000
15090,2021,Sacha inchi,6.000000
15185,2021,Sacha inchi,0.250000
15507,2021,Sacha inchi,238.000000
15572,2021,Sacha inchi,5.000000
15664,2021,Sacha inchi,0.500000
15776,2021,Olivo,30.000000
15090,2022,Sacha inchi,12.000000
15185,2022,Sacha inchi,2.100000
15572,2022,Sacha inchi,3.450000
15664,2022,Sacha inchi,1.000000
15776,2022,Olivo,57.000000
