Año,geo,Minerales,Valor
2021,15051,Arcillas CE (Tn),6875.590000
2021,15090,Gravas (m3),160.000000
2021,15090,Arenas (m3),878.000000
2021,15092,Caliza (Tn),0.000000
2021,15092,Carbón (Tn),1452.850000
2021,15097,Carbón (Tn),2548.130000
2021,15104,Recebo (m3),660.000000
2021,15114,Caliza (Tn),0.000000
2021,15180,Carbón (Tn),1103.670000
2021,15183,Carbón (Tn),1562.840000
2021,15185,Caliza (Tn),1730.000000
2021,15187,Carbón (Tn),7580.270000
2021,15187,Arcillas CE (Tn),1275.000000
2021,15204,Recebo (m3),6622.000000
2021,15215,Caliza (Tn),50795.900000
2021,15215,Carbón (Tn),18039.720000
2021,15215,Arenas (m3),54.000000
2021,15224,Recebo (m3),35599.000000
2021,15224,Gravas (m3),8016.000000
2021,15238,Caliza (Tn),219732.980000
2021,15238,Recebo (m3),6874.000000
2021,15272,Caliza (Tn),222284.640000
2021,15296,Carbón (Tn),9435.290000
2021,15296,Arenas (m3),2481.000000
2021,15299,Recebo (m3),2321.000000
2021,15299,Gravas (m3),28.000000
2021,15322,Gravas (m3),8538.000000
2021,15322,Arenas (m3),5692.000000
2021,15325,Hierro (Tn),54.180000
2021,15325,Gravas (m3),816.000000
2021,15325,Arenas (m3),544.000000
2021,15362,Carbón (Tn),5526.020000
2021,15362,Puzolanas (Tn),43901.400000
2021,15368,Carbón (Tn),1019.170000
2021,15403,Carbón (Tn),2669.110000
2021,15442,Esmeraldas (Quilates),84610.660000
2021,15455,Recebo (m3),11090.000000
2021,15455,Gravas (m3),1562.000000
2021,15455,Arenas (m3),115.000000
2021,15464,Carbón (Tn),5976.910000
2021,15466,Carbón (Tn),1409.900000
2021,15469,Caliza (Tn),17651.800000
2021,15469,Gravas (m3),12326.330000
2021,15476,Carbón (Tn),5588.980000
2021,15476,Recebo (m3),130.000000
2021,15480,Esmeraldas (Quilates),523312.720000
2021,15491,Caliza (Tn),898776.330000
2021,15491,Recebo (m3),4100.000000
2021,15500,Arcillas_MI (Tn),4800.000000
2021,15500,Arcilla FE (Tn),320.000000
2021,15516,Carbón (Tn),40487.150000
2021,15516,Recebo (m3),14143.000000
2021,15516,Puzolanas (Tn),2272.000000
2021,15516,Gravas (m3),1923.000000
2021,15516,Arenas (m3),558.000000
2021,15516,Arcillas_MI (Tn),1275.000000
2021,15531,Gravas (m3),17472.000000
2021,15537,Carbón (Tn),2476.430000
2021,15537,Recebo (m3),17806.000000
2021,15537,Hierro (Tn),233421.190000
2021,15537,Gravas (m3),3661.000000
2021,15542,Caliza (Tn),1000.000000
2021,15542,Arenas (m3),2650.000000
2021,15542,Arcillas_MI (Tn),995.000000
2021,15572,Recebo (m3),10916.000000
2021,15572,Gravas (m3),2210.000000
2021,15572,Arenas (m3),2960.000000
2021,15580,Esmeraldas (Quilates),6162.380000
2021,15599,Recebo (m3),5462.000000
2021,15600,Carbón (Tn),10999.150000
2021,15632,Carbón (Tn),600.000000
2021,15638,Arcillas CE (Tn),210.000000
2021,15646,Carbón (Tn),8498.460000
2021,15646,Recebo (m3),3495.000000
2021,15646,Gravas (m3),17022.000000
2021,15667,Gravas (m3),16462.000000
2021,15673,Carbón (Tn),7945.510000
2021,15681,Esmeraldas (Quilates),59525.020000
2021,15690,Gravas (m3),300.000000
2021,15723,Carbón (Tn),5330.150000
2021,15753,Arenas (m3),120.000000
2021,15757,Carbón (Tn),24385.940000
2021,15755,Carbón (Tn),33173.660000
