Año,geo,Municipio,Porcentaje
2012,15047,AQUITANIA,0.248646
2012,15051,ARCABUCO,0.724764
2012,15092,BETÉITIVA,0.199934
2012,15097,BOAVITA,0.323447
2012,15104,BOYACÁ,0.119482
2012,15131,CALDAS,0.159647
2012,15183,CHITA,2.499288
2012,15185,CHITARAQUE,0.715724
2012,15187,CHIVATÁ,0.264785
2012,15236,CHIVOR,0.777261
2012,15189,CIÉNEGA,0.133166
2012,15204,CÓMBITA,0.659667
2012,15215,CORRALES,1.764667
2012,15224,CUCAITA,0.691757
2012,15226,CUÍTIVA,0.419445
2012,15238,DUITAMA,0.689176
2012,15248,EL ESPINO,0.463717
2012,15272,FIRAVITOBA,0.284829
2012,15296,GÁMEZA,0.937786
2012,15317,GUACAMAYAS,0.116660
2012,15322,GUATEQUE,0.584984
2012,15325,GUAYATÁ,0.165964
2012,15362,IZA,0.218238
2012,15368,JERICÓ,0.745782
2012,15403,LA UVITA,0.178767
2012,15425,MACANAL,0.421334
2012,15455,MIRAFLORES,0.273250
2012,15464,MONGUA,4.985792
2012,15466,MONGUÍ,0.834364
2012,15469,MONIQUIRÁ,0.216575
2012,15476,MOTAVITA,0.165119
2012,15491,NOBSA,1.376352
2012,15494,NUEVO COLÓN,0.398448
2012,15514,PÁEZ,0.223461
2012,15516,PAIPA,7.164635
2012,15531,PAUNA,0.261545
2012,15537,PAZ DE RÍO,5.844168
2012,15542,PESCA,0.153851
2012,15572,PUERTO BOYACÁ,0.191976
2012,15580,QUÍPAMA,0.166336
2012,15599,RAMIRIQUÍ,0.387241
2012,15600,RÁQUIRA,11.812193
2012,15621,RONDÓN,0.146772
2012,15646,SAMACÁ,16.226229
2012,15667,SAN LUIS DE GACENO,0.695796
2012,15673,SAN MATEO,3.389297
2012,15681,SAN PABLO DE BORBUR,0.259876
2012,15690,SANTA MARÍA,0.956457
2012,15686,SANTANA,0.182157
2012,15720,SATIVANORTE,4.693477
2012,15723,SATIVASUR,1.316194
2012,15757,SOCHA,8.861855
2012,15755,SOCOTÁ,7.647233
2012,15759,SOGAMOSO,8.565889
2012,15762,SORA,0.115630
2012,15763,SOTAQUIRÁ,0.525254
2012,15774,SUSACÓN,0.148696
2012,15790,TASCO,4.628838
2012,15804,TIBANÁ,0.122938
2012,15806,TIBASOSA,0.673170
2012,15814,TOCA,0.476352
2012,15820,TÓPAGA,1.984614
2012,15822,TOTA,0.189115
2012,15001,TUNJA,0.444475
2012,15835,TURMEQUÉ,0.968870
2012,15837,TUTA,0.628716
2012,15839,TUTAZÁ,0.132668
2012,15842,ÚMBITA,0.742958
2012,15861,VENTAQUEMADA,0.749961
2012,15879,VIRACACHÁ,0.627231
2013,15051,ARCABUCO,0.235859
2013,15087,BELÉN,0.867635
2013,15092,BETÉITIVA,0.193312
2013,15097,BOAVITA,0.154285
2013,15104,BOYACÁ,0.321185
2013,15106,BRICEÑO,0.582294
2013,15114,BUSBANZÁ,0.549468
2013,15183,CHITA,3.498742
2013,15185,CHITARAQUE,0.123647
2013,15187,CHIVATÁ,0.156389
2013,15236,CHIVOR,1.698427
2013,15189,CIÉNEGA,0.147850
2013,15204,CÓMBITA,0.151679
2013,15215,CORRALES,1.655140
2013,15218,COVARACHÍA,0.434998
2013,15224,CUCAITA,0.142647
2013,15226,CUÍTIVA,0.725822
2013,15238,DUITAMA,0.611662
2013,15272,FIRAVITOBA,0.434873
2013,15293,GACHANTIVÁ,0.147784
2013,15296,GÁMEZA,0.882427
2013,15299,GARAGOA,0.156997
2013,15317,GUACAMAYAS,0.117793
2013,15322,GUATEQUE,0.295950
2013,15325,GUAYATÁ,0.469554
2013,15362,IZA,0.586933
2013,15367,JENESANO,0.337830
2013,15368,JERICÓ,0.836590
2013,15403,LA UVITA,0.853230
2013,15401,LA VICTORIA,0.118337
2013,15425,MACANAL,0.193490
2013,15442,MARIPÍ,3.718634
2013,15455,MIRAFLORES,0.436692
2013,15464,MONGUA,4.381663
2013,15466,MONGUÍ,1.233159
2013,15469,MONIQUIRÁ,0.421859
2013,15476,MOTAVITA,0.642652
2013,15480,MUZO,3.867936
2013,15491,NOBSA,1.137574
2013,15494,NUEVO COLÓN,0.194517
2013,15500,OICATÁ,0.525333
2013,15507,OTANCHE,0.373175
2013,15514,PÁEZ,0.427571
2013,15516,PAIPA,7.674486
2013,15522,PANQUEBA,0.657771
2013,15531,PAUNA,0.412966
2013,15537,PAZ DE RÍO,8.433889
2013,15542,PESCA,0.228324
2013,15572,PUERTO BOYACÁ,0.526143
2013,15580,QUÍPAMA,0.238777
2013,15599,RAMIRIQUÍ,0.199678
2013,15600,RÁQUIRA,6.688599
2013,15621,RONDÓN,0.149673
