Año,geo,Municipio,Pesos
2012,15047,AQUITANIA,3993498
2012,15051,ARCABUCO,1157158
2012,15092,BETÉITIVA,32106512
2012,15097,BOAVITA,51884246
2012,15104,BOYACÁ,19190067
2012,15131,CALDAS,1701900
2012,15183,CHITA,401409644
2012,15185,CHITARAQUE,1149525
2012,15187,CHIVATÁ,41835484
2012,15236,CHIVOR,12483
2012,15189,CIÉNEGA,1659369
2012,15204,CÓMBITA,1059490
2012,15215,CORRALES,283423308
2012,15224,CUCAITA,111103135
2012,15226,CUÍTIVA,6736715
2012,15238,DUITAMA,97798326
2012,15248,EL ESPINO,743740
2012,15272,FIRAVITOBA,45746396
2012,15296,GÁMEZA,149379906
2012,15317,GUACAMAYAS,1873674
2012,15322,GUATEQUE,939422
2012,15325,GUAYATÁ,26655521
2012,15362,IZA,35051168
2012,15368,JERICÓ,119780198
2012,15403,LA UVITA,28711826
2012,15425,MACANAL,6766992
2012,15455,MIRAFLORES,438866
2012,15464,MONGUA,658273253
2012,15466,MONGUÍ,129034745
2012,15469,MONIQUIRÁ,3478421
2012,15476,MOTAVITA,26519719
2012,15491,NOBSA,221055896
2012,15494,NUEVO COLÓN,6399362
2012,15514,PÁEZ,358901
2012,15516,PAIPA,1150712884
2012,15531,PAUNA,420068
2012,15537,PAZ DE RÍO,815964267
2012,15542,PESCA,24153373
2012,15572,PUERTO BOYACÁ,30833331
2012,15580,QUÍPAMA,2579937
2012,15599,RAMIRIQUÍ,621565
2012,15600,RÁQUIRA,1897157580
2012,15621,RONDÓN,235730
2012,15646,SAMACÁ,2606096350
2012,15667,SAN LUIS DE GACENO,1117519
2012,15673,SAN MATEO,544355294
2012,15681,SAN PABLO DE BORBUR,416120
2012,15690,SANTA MARÍA,14545585
2012,15686,SANTANA,292561
2012,15720,SATIVANORTE,740300941
2012,15723,SATIVASUR,211393482
2012,15757,SOCHA,1423295541
2012,15755,SOCOTÁ,1228222922
2012,15759,SOGAMOSO,1375768296
2012,15762,SORA,185712
2012,15763,SOTAQUIRÁ,843611
2012,15774,SUSACÓN,23882040
2012,15790,TASCO,743432567
2012,15804,TIBANÁ,19745017
2012,15806,TIBASOSA,108117846
2012,15814,TOCA,76507
2012,15820,TÓPAGA,318748484
2012,15822,TOTA,3037380
2012,15001,TUNJA,7131844
2012,15835,TURMEQUÉ,15561031
2012,15837,TUTA,100978191
2012,15839,TUTAZÁ,21298
2012,15842,ÚMBITA,11918808
2012,15861,VENTAQUEMADA,120451337
2012,15879,VIRACACHÁ,966989
2013,15051,ARCABUCO,4148472
2013,15087,BELÉN,152640
2013,15092,BETÉITIVA,34008931
2013,15097,BOAVITA,27142955
2013,15104,BOYACÁ,531509
2013,15106,BRICEÑO,1024408
2013,15114,BUSBANZÁ,9666654
2013,15183,CHITA,615407163
2013,15185,CHITARAQUE,217529
2013,15187,CHIVATÁ,27511684
2013,15236,CHIVOR,298799870
2013,15189,CIÉNEGA,260108
2013,15204,CÓMBITA,2668443
2013,15215,CORRALES,291184420
2013,15218,COVARACHÍA,7652
2013,15224,CUCAITA,25088068
2013,15226,CUÍTIVA,1276919
2013,15238,DUITAMA,107608196
2013,15272,FIRAVITOBA,76506108
2013,15293,GACHANTIVÁ,2476678
2013,15296,GÁMEZA,155175478
2013,15299,GARAGOA,185796
2013,15317,GUACAMAYAS,194891
2013,15322,GUATEQUE,5206565
2013,15325,GUAYATÁ,82607443
2013,15362,IZA,103257129
2013,15367,JENESANO,53443
2013,15368,JERICÓ,147179033
2013,15403,LA UVITA,150070132
2013,15401,LA VICTORIA,2081867
2013,15425,MACANAL,34040171
2013,15442,MARIPÍ,654204286
2013,15455,MIRAFLORES,768261
2013,15464,MONGUA,757924575
2013,15466,MONGUÍ,211693741
2013,15469,MONIQUIRÁ,7408055
2013,15476,MOTAVITA,11306011
2013,15480,MUZO,680476042
2013,15491,NOBSA,200130495
2013,15494,NUEVO COLÓN,342208
2013,15500,OICATÁ,92420
2013,15507,OTANCHE,65149
2013,15514,PÁEZ,752214
2013,15516,PAIPA,1349371181
2013,15522,PANQUEBA,115720
2013,15531,PAUNA,726520
2013,15537,PAZ DE RÍO,1478386502
2013,15542,PESCA,4011715
2013,15572,PUERTO BOYACÁ,92563037
