geo,Municipio,Cultivo,Año,Producción(tn)
15001,Tunja,Arracacha,2019,2550
15001,Tunja,Papa Criolla,2019,800
15001,Tunja,Papa Criolla,2019,500
15001,Tunja,Papa todas las variedades,2019,52000
15001,Tunja,Papa todas las variedades,2019,40000
15022,Almeida,Arracacha,2019,30
15022,Almeida,Arracacha,2019,21
15022,Almeida,Papa Criolla,2019,8
15022,Almeida,Papa todas las variedades,2019,35
15022,Almeida,Yuca consumo en fresco,2019,110
15022,Almeida,Yuca consumo en fresco,2019,168
15047,Aquitania,Papa Criolla,2019,240
15047,Aquitania,Papa Criolla,2019,200
15047,Aquitania,Papa todas las variedades,2019,6500
15047,Aquitania,Papa todas las variedades,2019,1500
15051,Arcabuco,Papa todas las variedades,2019,31250
15051,Arcabuco,Papa todas las variedades,2019,25000
15087,Belén,Papa Criolla,2019,378
15087,Belén,Papa Criolla,2019,287
15087,Belén,Papa todas las variedades,2019,3840
15087,Belén,Papa todas las variedades,2019,4160
15090,Berbeo,Yuca consumo en fresco,2019,72
15092,Betéitiva,Papa Criolla,2019,105
15092,Betéitiva,Papa Criolla,2019,75
15092,Betéitiva,Papa todas las variedades,2019,720
15092,Betéitiva,Papa todas las variedades,2019,440
15097,Boavita,Yuca consumo en fresco,2019,250
15104,Boyacá,Arracacha,2019,992
15104,Boyacá,Papa todas las variedades,2019,4800
15104,Boyacá,Papa todas las variedades,2019,3640
15106,Briceño,Yuca consumo en fresco,2019,40
15109,Buenavista,Papa todas las variedades,2019,252
15109,Buenavista,Papa todas las variedades,2019,252
15114,Busbanzá,Papa todas las variedades,2019,60
15131,Caldas,Papa Criolla,2019,1556
15131,Caldas,Papa Criolla,2019,1698
15131,Caldas,Papa todas las variedades,2019,959
15131,Caldas,Papa todas las variedades,2019,1006
15135,Campohermoso,Malanga¬ Achín¬ Yota¬ Papa China¬ Bore,2019,315
15135,Campohermoso,Yuca consumo en fresco,2019,525
15162,Cerinza,Papa todas las variedades,2019,144
15162,Cerinza,Papa todas las variedades,2019,280
15172,Chinavita,Achira,2019,72
15172,Chinavita,Achira,2019,57
15172,Chinavita,Arracacha,2019,20
15172,Chinavita,Arracacha,2019,10
15172,Chinavita,Papa todas las variedades,2019,90
15172,Chinavita,Papa todas las variedades,2019,45
15172,Chinavita,Yuca consumo en fresco,2019,16
15172,Chinavita,Yuca consumo en fresco,2019,8
15176,Chiquinquirá,Papa Criolla,2019,40
15176,Chiquinquirá,Papa Criolla,2019,450
15176,Chiquinquirá,Papa todas las variedades,2019,2400
15176,Chiquinquirá,Papa todas las variedades,2019,4030
15180,Chiscas,Papa todas las variedades,2019,1800
15180,Chiscas,Papa todas las variedades,2019,1980
15183,Chita,Papa todas las variedades,2019,2520
15183,Chita,Papa todas las variedades,2019,2772
15185,Chitaraque,Yuca consumo en fresco,2019,300
15185,Chitaraque,Yuca consumo en fresco,2019,280
15187,Chivatá,Papa todas las variedades,2019,1500
15187,Chivatá,Papa todas las variedades,2019,900
15189,Ciénega,Arracacha,2019,625
15189,Ciénega,Arracacha,2019,630
15189,Ciénega,Papa todas las variedades,2019,3226
15189,Ciénega,Papa todas las variedades,2019,3062
15204,Cómbita,Papa todas las variedades,2019,14300
15204,Cómbita,Papa todas las variedades,2019,13750
15212,Coper,Yuca consumo en fresco,2019,1500
15215,Corrales,Papa todas las variedades,2019,88
15215,Corrales,Papa todas las variedades,2019,17
15218,Covarachía,Yuca consumo en fresco,2019,150
15218,Covarachía,Yuca consumo en fresco,2019,150
15223,Cubará,Yuca consumo en fresco,2019,200
15223,Cubará,Yuca consumo en fresco,2019,180
15224,Cucaita,Papa todas las variedades,2019,4004
15224,Cucaita,Papa todas las variedades,2019,7000
15226,Cuítiva,Papa Criolla,2019,18
15226,Cuítiva,Papa Criolla,2019,15
15226,Cuítiva,Papa todas las variedades,2019,660
15226,Cuítiva,Papa todas las variedades,2019,680
15232,Chíquiza,Papa Criolla,2019,280
15232,Chíquiza,Papa Criolla,2019,280
15232,Chíquiza,Papa todas las variedades,2019,12400
15232,Chíquiza,Papa todas las variedades,2019,14400
15236,Chivor,Arracacha,2019,6
15236,Chivor,Arracacha,2019,9
15236,Chivor,Papa todas las variedades,2019,100
