geo,Municipio,Cultivo,Año,Producción(t)
15507,OTANCHE,CACAO,2007,100.000000
15531,PAUNA,CACAO,2007,65.000000
15442,MARIPI,CACAO,2007,150.000000
15580,QUIPAMA,CACAO,2007,50.000000
15480,MUZO,CACAO,2007,140.000000
15572,PUERTO BOYACA,CACAO,2007,10.000000
15681,SAN PABLO DE BORBUR,CACAO,2007,70.000000
15212,COPER,CACAO,2007,36.000000
15109,BUENAVISTA,CACAO,2007,16.000000
15401,LA VICTORIA,CACAO,2007,3.000000
15832,TUNUNGUA,CACAO,2007,14.000000
15514,PAEZ,CACAO,2007,21.000000
15223,CUBARA,CACAO,2007,2.000000
15690,SANTA MARIA,CACAO,2007,5.000000
15135,CAMPOHERMOSO,CACAO,2007,3.000000
15533,PAYA,CACAO,2007,7.000000
15455,MIRAFLORES,CACAO,2007,1.000000
15507,OTANCHE,CACAO,2008,240.000000
15531,PAUNA,CACAO,2008,160.000000
15681,SAN PABLO DE BORBUR,CACAO,2008,91.000000
15480,MUZO,CACAO,2008,140.000000
15442,MARIPI,CACAO,2008,232.000000
15580,QUIPAMA,CACAO,2008,50.000000
15572,PUERTO BOYACA,CACAO,2008,76.000000
15212,COPER,CACAO,2008,34.000000
15109,BUENAVISTA,CACAO,2008,27.000000
15832,TUNUNGUA,CACAO,2008,2.000000
15514,PAEZ,CACAO,2008,21.000000
15223,CUBARA,CACAO,2008,3.000000
15690,SANTA MARIA,CACAO,2008,6.000000
15401,LA VICTORIA,CACAO,2008,4.000000
15135,CAMPOHERMOSO,CACAO,2008,3.000000
15533,PAYA,CACAO,2008,5.000000
15455,MIRAFLORES,CACAO,2008,1.000000
15531,PAUNA,CACAO,2009,168.000000
15507,OTANCHE,CACAO,2009,235.000000
15442,MARIPI,CACAO,2009,232.000000
15681,SAN PABLO DE BORBUR,CACAO,2009,91.000000
15480,MUZO,CACAO,2009,140.000000
15580,QUIPAMA,CACAO,2009,58.000000
15572,PUERTO BOYACA,CACAO,2009,80.000000
15212,COPER,CACAO,2009,37.000000
15109,BUENAVISTA,CACAO,2009,27.000000
15690,SANTA MARIA,CACAO,2009,2.000000
15832,TUNUNGUA,CACAO,2009,14.000000
15223,CUBARA,CACAO,2009,5.000000
15514,PAEZ,CACAO,2009,20.000000
15401,LA VICTORIA,CACAO,2009,5.000000
15667,SAN LUIS DE GACENO,CACAO,2009,5.000000
15533,PAYA,CACAO,2009,5.000000
15135,CAMPOHERMOSO,CACAO,2009,5.000000
15377,LABRANZAGRANDE,CACAO,2009,2.000000
15455,MIRAFLORES,CACAO,2009,1.000000
15531,PAUNA,CACAO,2010,200.000000
15507,OTANCHE,CACAO,2010,371.000000
15681,SAN PABLO DE BORBUR,CACAO,2010,245.000000
15480,MUZO,CACAO,2010,125.000000
15442,MARIPI,CACAO,2010,280.000000
15580,QUIPAMA,CACAO,2010,72.000000
15572,PUERTO BOYACA,CACAO,2010,132.000000
15533,PAYA,CACAO,2010,5.000000
15212,COPER,CACAO,2010,53.000000
15109,BUENAVISTA,CACAO,2010,42.000000
15690,SANTA MARIA,CACAO,2010,4.000000
15223,CUBARA,CACAO,2010,19.000000
15401,LA VICTORIA,CACAO,2010,16.000000
15514,PAEZ,CACAO,2010,20.000000
15832,TUNUNGUA,CACAO,2010,7.000000
15667,SAN LUIS DE GACENO,CACAO,2010,6.000000
15135,CAMPOHERMOSO,CACAO,2010,5.000000
15455,MIRAFLORES,CACAO,2010,3.000000
15531,PAUNA,CACAO,2011,188.000000
15507,OTANCHE,CACAO,2011,347.000000
15681,SAN PABLO DE BORBUR,CACAO,2011,230.000000
15480,MUZO,CACAO,2011,168.000000
15442,MARIPI,CACAO,2011,250.000000
15580,QUIPAMA,CACAO,2011,68.000000
15572,PUERTO BOYACA,CACAO,2011,176.000000
15212,COPER,CACAO,2011,50.000000
15109,BUENAVISTA,CACAO,2011,38.000000
15690,SANTA MARIA,CACAO,2011,4.000000
15223,CUBARA,CACAO,2011,34.000000
15514,PAEZ,CACAO,2011,18.000000
15832,TUNUNGUA,CACAO,2011,7.000000
15667,SAN LUIS DE GACENO,CACAO,2011,6.000000
15533,PAYA,CACAO,2011,3.000000
15550,PISBA,CACAO,2011,3.000000
15377,LABRANZAGRANDE,CACAO,2011,1.000000
15135,CAMPOHERMOSO,CACAO,2011,5.000000
15401,LA VICTORIA,CACAO,2011,5.000000
15455,MIRAFLORES,CACAO,2011,3.000000
15531,PAUNA,CACAO,2012,525.000000
15572,PUERTO BOYACA,CACAO,2012,320.000000
15480,MUZO,CACAO,2012,290.000000
15507,OTANCHE,CACAO,2012,248.000000
15681,SAN PABLO DE BORBUR,CACAO,2012,238.000000
15442,MARIPI,CACAO,2012,356.000000
15580,QUIPAMA,CACAO,2012,285.000000
15667,SAN LUIS DE GACENO,CACAO,2012,20.000000
15212,COPER,CACAO,2012,62.000000
15109,BUENAVISTA,CACAO,2012,40.000000
15223,CUBARA,CACAO,2012,37.000000
15135,CAMPOHERMOSO,CACAO,2012,20.000000
15690,SANTA MARIA,CACAO,2012,4.000000
15401,LA VICTORIA,CACAO,2012,20.000000
15514,PAEZ,CACAO,2012,15.000000
15832,TUNUNGUA,CACAO,2012,12.000000
15377,LABRANZAGRANDE,CACAO,2012,1.000000
