geo,Municipio,Año,Producción
15804,Tibana,2019,29785.000000
15494,Nuevo Colon,2019,15456.000000
15832,Tunungua,2019,14231.000000
15367,Jenesano,2019,9692.000000
15531,Pauna,2019,12961.000000
15469,Moniquirá,2019,8490.000000
15632,Saboyá,2019,10611.000000
15835,Turmeque,2019,4180.000000
15763,Sotaquira,2019,10804.000000
15106,Briceño,2019,3369.000000
15109,Buenavista,2019,5182.000000
15189,Cienega,2019,4561.000000
15212,Coper,2019,4198.300000
15580,Quipama,2019,4087.000000
15572,Puerto Boyaca,2019,2407.000000
15051,Arcabuco,2019,2249.000000
15204,Combita,2019,1766.000000
15455,Miraflores,2019,3274.000000
15507,Otanche,2019,4328.000000
15442,Maripi,2019,3999.120000
15599,Ramiriqui,2019,2704.000000
15776,Sutamarchan,2019,2553.000000
15837,Tuta,2019,1285.000000
15842,Umbita,2019,2119.000000
15516,Paipa,2019,1914.900000
15816,Togui,2019,2415.000000
15380,La Capilla,2019,2233.170000
15480,Muzo,2019,1774.500000
15621,Rondon,2019,995.000000
15500,Oicata,2019,1484.000000
15293,Gachantiva,2019,1156.000000
15753,Soata,2019,1290.000000
15681,San Pablo De Borbur,2019,1268.000000
15238,Duitama,2019,776.000000
15810,Tipacoque,2019,692.000000
15218,Covarachia,2019,845.000000
15897,Zetaquira,2019,1935.000000
15176,Chiquinquira,2019,751.000000
15377,Labranzagrande,2019,748.500000
15180,Chiscas,2019,1356.000000
15660,San Eduardo,2019,1111.000000
15814,Toca,2019,1038.000000
15325,Guayata,2019,384.800000
15518,Pajarito,2019,1354.000000
15861,Ventaquemada,2019,1748.000000
15514,Paez,2019,950.000000
15185,Chitaraque,2019,1114.000000
15097,Boavita,2019,969.000000
15764,Soraca,2019,640.000000
15686,Santana,2019,787.000000
15600,Raquira,2019,763.000000
15673,San Mateo,2019,614.300000
15664,San Jose De Pare,2019,675.250000
15808,Tinjaca,2019,520.500000
15135,Campohermoso,2019,1119.250000
15131,Caldas,2019,700.000000
15183,Chita,2019,803.000000
15879,Viracacha,2019,449.370000
15299,Garagoa,2019,234.000000
15720,Sativanorte,2019,223.000000
15425,Macanal,2019,818.000000
15407,Villa De Leyva,2019,883.000000
15667,San Luis De Gaceno,2019,81.500000
15090,Berbeo,2019,231.500000
15511,Pachavita,2019,302.000000
15022,Almeida,2019,180.000000
15774,Susacon,2019,380.000000
15104,Boyacá,2019,601.000000
15676,San Miguel De Sema,2019,280.000000
15806,Tibasosa,2019,200.000000
15403,La Uvita,2019,182.000000
15368,Jerico,2019,72.000000
15690,Santa Maria,2019,197.500000
15215,Corrales,2019,219.950000
15223,Cubara,2019,192.000000
