geo,Municipio,Grupo cultivo,Año,Producción(tn)
15407,Villa de Leiva,Cultivos para Condimentos y Bebidas Medicinales y Aromáticas,2019,182.000000
15466,Monguí,Cultivos para Condimentos y Bebidas Medicinales y Aromáticas,2019,0.150000
15466,Monguí,Cultivos para Condimentos y Bebidas Medicinales y Aromáticas,2019,3.000000
15466,Monguí,Cultivos para Condimentos y Bebidas Medicinales y Aromáticas,2019,0.500000
15759,Sogamoso,Cultivos para Condimentos y Bebidas Medicinales y Aromáticas,2019,1.000000
15759,Sogamoso,Cultivos para Condimentos y Bebidas Medicinales y Aromáticas,2019,1.500000
15759,Sogamoso,Cultivos para Condimentos y Bebidas Medicinales y Aromáticas,2019,1.000000
15407,Villa de Leiva,Plantas Aromáticas,2020,107.250000
15466,Monguí,Plantas Aromáticas,2020,0.300000
15466,Monguí,Plantas Aromáticas,2020,0.200000
15466,Monguí,Plantas Aromáticas,2020,0.200000
15759,Sogamoso,Plantas Aromáticas,2020,1.000000
15759,Sogamoso,Plantas Aromáticas,2020,1.500000
15759,Sogamoso,Plantas Aromáticas,2020,1.000000
15407,Villa de Leiva,Cultivos para Condimentos y Bebidas Medicinales y Aromáticas,2021,256.000000
15466,Monguí,Cultivos para Condimentos y Bebidas Medicinales y Aromáticas,2021,1.000000
15759,Sogamoso,Cultivos para Condimentos y Bebidas Medicinales y Aromáticas,2021,2.500000
