geo,Municipio,Desagregación Cultivo,Año,Producción(tn)
15218,Covarachia,Tabaco rubio,2006,270
15753,Soata,Tabaco rubio,2006,135
15218,Covarachia,Tabaco rubio,2007,252
15097,Boavita,Tabaco rubio,2007,96
15810,Tipacoque,Tabaco rubio,2007,95
15673,San Mateo,Tabaco rubio,2007,60
15218,Covarachia,Tabaco rubio,2007,261
15248,El Espino,Tabaco rubio,2007,3
15218,Covarachia,Tabaco rubio,2008,324
15810,Tipacoque,Tabaco rubio,2008,153
15753,Soata,Tabaco rubio,2008,112
15097,Boavita,Tabaco rubio,2008,84
15673,San Mateo,Tabaco rubio,2008,60
15248,El Espino,Tabaco rubio,2008,21
15218,Covarachia,Tabaco rubio,2008,324
15248,El Espino,Tabaco rubio,2008,3
15218,Covarachia,Tabaco rubio,2009,270
15753,Soata,Tabaco rubio,2009,212
15097,Boavita,Tabaco rubio,2009,102
15810,Tipacoque,Tabaco rubio,2009,135
15673,San Mateo,Tabaco rubio,2009,90
15248,El Espino,Tabaco rubio,2009,16
15720,Sativanorte,Tabaco rubio,2009,13
15218,Covarachia,Tabaco rubio,2009,360
15753,Soata,Tabaco rubio,2009,180
15097,Boavita,Tabaco rubio,2009,5
15248,El Espino,Tabaco rubio,2009,16
15720,Sativanorte,Tabaco rubio,2009,13
15218,Covarachia,Tabaco rubio,2010,360
15810,Tipacoque,Tabaco rubio,2010,135
15673,San Mateo,Tabaco rubio,2010,105
15753,Soata,Tabaco rubio,2010,45
15720,Sativanorte,Tabaco rubio,2010,36
15248,El Espino,Tabaco rubio,2010,15
15753,Soata,Tabaco rubio,2010,45
15720,Sativanorte,Tabaco rubio,2010,36
15218,Covarachia,Tabaco rubio,2011,339
15810,Tipacoque,Tabaco rubio,2011,128
15097,Boavita,Tabaco rubio,2011,48
15753,Soata,Tabaco rubio,2011,42
15720,Sativanorte,Tabaco rubio,2011,34
15248,El Espino,Tabaco rubio,2011,10
15753,Soata,Tabaco rubio,2011,42
15720,Sativanorte,Tabaco rubio,2011,34
15218,Covarachia,Tabaco rubio,2012,306
15810,Tipacoque,Tabaco rubio,2012,173
15097,Boavita,Tabaco rubio,2012,60
15753,Soata,Tabaco rubio,2012,42
15248,El Espino,Tabaco rubio,2012,10
15753,Soata,Tabaco rubio,2012,28
15810,Tipacoque,Tabaco rubio,2012,30
15218,Covarachia,Tabaco rubio,2013,120
15810,Tipacoque,Tabaco rubio,2013,199
15097,Boavita,Tabaco rubio,2013,60
15673,San Mateo,Tabaco rubio,2013,80
15753,Soata,Tabaco rubio,2013,42
15248,El Espino,Tabaco rubio,2013,24
15180,Chiscas,Tabaco rubio,2013,10
15218,Covarachia,Tabaco rubio,2013,120
15753,Soata,Tabaco rubio,2013,28
15810,Tipacoque,Tabaco rubio,2013,30
15180,Chiscas,Tabaco rubio,2013,5
15218,Covarachia,Tabaco rubio,2014,84
15810,Tipacoque,Tabaco rubio,2014,153
15673,San Mateo,Tabaco rubio,2014,60
15774,Susacon,Tabaco rubio,2014,30
15248,El Espino,Tabaco rubio,2014,5
15218,Covarachia,Tabaco rubio,2014,84
15810,Tipacoque,Tabaco rubio,2014,119
15180,Chiscas,Tabaco rubio,2014,20
15218,Covarachia,Tabaco rubio,2015,60
15810,Tipacoque,Tabaco rubio,2015,153
15774,Susacon,Tabaco rubio,2015,40
15180,Chiscas,Tabaco rubio,2015,10
15673,San Mateo,Tabaco rubio,2015,20
15218,Covarachia,Tabaco rubio,2015,72
15810,Tipacoque,Tabaco rubio,2015,78
15753,Soata,Tabaco rubio,2016,120
15810,Tipacoque,Tabaco rubio,2016,153
15673,San Mateo,Tabaco rubio,2016,24
15720,Sativanorte,Tabaco rubio,2016,8
15180,Chiscas,Tabaco rubio,2016,5
15810,Tipacoque,Tabaco rubio,2016,153
15753,Soata,Tabaco rubio,2016,60
15720,Sativanorte,Tabaco rubio,2016,8
15180,Chiscas,Tabaco rubio,2016,3
15753,Soata,Tabaco rubio,2017,60
15774,Susacon,Tabaco rubio,2017,40
15673,San Mateo,Tabaco rubio,2017,24
15248,El Espino,Tabaco rubio,2017,6
15810,Tipacoque,Tabaco rubio,2017,144
15753,Soata,Tabaco rubio,2018,63
15774,Susacon,Tabaco rubio,2018,43
15673,San Mateo,Tabaco rubio,2018,26
15248,El Espino,Tabaco rubio,2018,8
15218,Covarachía,Tabaco,2019,300
15218,Covarachía,Tabaco,2019,300
15673,San Mateo,Tabaco,2019,5
15673,San Mateo,Tabaco,2019,32
15753,Soatá,Tabaco,2019,15
15774,Susacón,Tabaco,2019,24
15810,Tipacoque,Tabaco,2019,160
15218,Covarachía,Tabaco,2020,20
15218,Covarachía,Tabaco,2020,100
15753,Soatá,Tabaco,2020,30
15774,Susacón,Tabaco,2020,76
