geo,Municipio,Desagregación cultivo,Año,Producción(tn)
15001,Tunja,Cebolla De Bulbo,2019,2400.000000
15001,Tunja,Cebolla De Bulbo,2019,2000.000000
15001,Tunja,Zanahoria,2019,6000.000000
15001,Tunja,Zanahoria,2019,6000.000000
15022,Almeida,Guatila,2019,20.000000
15022,Almeida,Pepino Guiso,2019,70.000000
15022,Almeida,Tomate Invernadero,2019,136.000000
15022,Almeida,Tomate Invernadero,2019,210.000000
15047,Aquitania,Cebolla De Rama,2019,54000.000000
15047,Aquitania,Cebolla De Rama,2019,53200.000000
15051,Arcabuco,Zanahoria,2019,50.000000
15051,Arcabuco,Zanahoria,2019,50.000000
15087,Belén,Otras hortalizas,2019,108.000000
15087,Belén,Otras hortalizas,2019,33.000000
15087,Belén,Ajo,2019,39.000000
15087,Belén,Ajo,2019,39.000000
15087,Belén,Cebolla De Bulbo,2019,60.000000
15087,Belén,Cebolla De Bulbo,2019,60.000000
15087,Belén,Zanahoria,2019,720.000000
15087,Belén,Zanahoria,2019,513.000000
15090,Berbeo,Tomate Invernadero,2019,320.000000
15090,Berbeo,Tomate Invernadero,2019,400.000000
15092,Betéitiva,Tomate,2019,200.000000
15092,Betéitiva,Cebolla De Bulbo,2019,75.000000
15092,Betéitiva,Cebolla De Bulbo,2019,65.000000
15097,Boavita,Tomate,2019,420.000000
15097,Boavita,Tomate,2019,420.000000
15097,Boavita,Tomate Invernadero,2019,180.000000
15097,Boavita,Tomate Invernadero,2019,180.000000
15104,Boyacá,Pepino Guiso,2019,15.000000
15104,Boyacá,Cebolla De Bulbo,2019,9.000000
15104,Boyacá,Zanahoria,2019,2128.000000
15104,Boyacá,Zanahoria,2019,5400.000000
15109,Buenavista,Tomate Invernadero,2019,490.000000
15109,Buenavista,Tomate Invernadero,2019,980.000000
15114,Busbanzá,Otras hortalizas,2019,3.750000
15114,Busbanzá,Otras hortalizas,2019,2.500000
15114,Busbanzá,Ahuyama,2019,5.000000
15131,Caldas,Zanahoria,2019,1591.000000
15131,Caldas,Zanahoria,2019,1764.000000
15162,Cerinza,Otras hortalizas,2019,9.000000
15162,Cerinza,Otras hortalizas,2019,9.000000
15162,Cerinza,Cebolla De Bulbo,2019,55.000000
15162,Cerinza,Zanahoria,2019,32.000000
15162,Cerinza,Zanahoria,2019,7.200000
15172,Chinavita,Pepino Guiso,2019,45.000000
15172,Chinavita,Pepino Guiso,2019,40.000000
15180,Chiscas,Cebolla De Bulbo,2019,665.000000
15180,Chiscas,Cebolla De Bulbo,2019,665.000000
15183,Chita,Cebolla De Bulbo,2019,400.000000
15183,Chita,Cebolla De Bulbo,2019,1140.000000
15183,Chita,Cebolla De Rama,2019,75.000000
15187,Chivatá,Otras hortalizas,2019,9.000000
15187,Chivatá,Otras hortalizas,2019,1.500000
15187,Chivatá,Cebolla De Bulbo,2019,150.000000
15187,Chivatá,Cebolla De Bulbo,2019,180.000000
15189,Ciénega,Tomate,2019,9.000000
15189,Ciénega,Tomate,2019,9.000000
15204,Cómbita,Otras hortalizas,2019,240.000000
15204,Cómbita,Otras hortalizas,2019,216.000000
15215,Corrales,Otras hortalizas,2019,5.000000
15215,Corrales,Otras hortalizas,2019,5.000000
15215,Corrales,Tomate Invernadero,2019,765.000000
15215,Corrales,Tomate Invernadero,2019,765.000000
15215,Corrales,Cebolla De Bulbo,2019,672.000000
15215,Corrales,Cebolla De Bulbo,2019,600.000000
15218,Covarachía,Melón,2019,250.000000
15218,Covarachía,Melón,2019,150.000000
15218,Covarachía,Tomate,2019,1120.000000
15218,Covarachía,Tomate Invernadero,2019,950.000000
15224,Cucaita,Lechuga,2019,72.000000
15224,Cucaita,Lechuga,2019,15.000000
15224,Cucaita,Cebolla De Bulbo,2019,4000.000000
15224,Cucaita,Cebolla De Bulbo,2019,3500.000000
15224,Cucaita,Remolacha,2019,70.000000
15224,Cucaita,Remolacha,2019,50.000000
15224,Cucaita,Zanahoria,2019,50.000000
15224,Cucaita,Zanahoria,2019,25.000000
15226,Cuítiva,Cebolla De Bulbo,2019,200.000000
15226,Cuítiva,Cebolla De Bulbo,2019,150.000000
15226,Cuítiva,Cebolla De Rama,2019,1575.000000
15226,Cuítiva,Cebolla De Rama,2019,1575.000000
15232,Chíquiza,Cebolla De Bulbo,2019,2250.000000
15232,Chíquiza,Cebolla De Bulbo,2019,2500.000000
15232,Chíquiza,Zanahoria,2019,1050.000000
15232,Chíquiza,Zanahoria,2019,1275.000000
15236,Chivor,Otras hortalizas,2019,6.000000
15236,Chivor,Otras hortalizas,2019,4.500000
15238,Duitama,Brócoli,2019,149.760000
15238,Duitama,Brócoli,2019,150.000000
15238,Duitama,Tomate Invernadero,2019,267.000000
15238,Duitama,Tomate Invernadero,2019,267.000000
15238,Duitama,Cilantro,2019,192.060000
15238,Duitama,Cilantro,2019,192.060000
15238,Duitama,Espinaca,2019,175.000000
15238,Duitama,Espinaca,2019,175.000000
15238,Duitama,Lechuga,2019,682.400000
15238,Duitama,Lechuga,2019,682.400000
15238,Duitama,Repollo,2019,550.000000
15238,Duitama,Repollo,2019,550.000000
15238,Duitama,Cebolla De Bulbo,2019,970.000000
15238,Duitama,Cebolla De Bulbo,2019,970.000000
15238,Duitama,Zanahoria,2019,50.000000
15238,Duitama,Zanahoria,2019,50.000000
15244,El Cocuy,Cebolla De Bulbo,2019,150.000000
15244,El Cocuy,Cebolla De Bulbo,2019,108.000000
15248,El Espino,Ahuyama,2019,20.000000
15248,El Espino,Ahuyama,2019,8.000000
15248,El Espino,Tomate,2019,300.000000
15248,El Espino,Tomate,2019,84.000000
15248,El Espino,Cebolla De Bulbo,2019,250.000000
15248,El Espino,Cebolla De Bulbo,2019,137.000000
15272,Firavitoba,Cebolla De Bulbo,2019,410.000000
15272,Firavitoba,Cebolla De Bulbo,2019,1600.000000
15296,Gámeza,Cebolla De Bulbo,2019,180.000000
15296,Gámeza,Cebolla De Bulbo,2019,102.000000
15299,Garagoa,Ahuyama,2019,25.000000
15299,Garagoa,Ahuyama,2019,15.000000
15299,Garagoa,Guatila,2019,1.000000
15299,Garagoa,Pepino Cohombro,2019,4.500000
15299,Garagoa,Pepino Guiso,2019,20.000000
15299,Garagoa,Pepino Guiso,2019,1.200000
15299,Garagoa,Tomate,2019,14.000000
15299,Garagoa,Tomate,2019,7.000000
15317,Guacamayas,Tomate Invernadero,2019,220.000000
15317,Guacamayas,Tomate Invernadero,2019,240.000000
15317,Guacamayas,Cebolla De Bulbo,2019,40.000000
15317,Guacamayas,Cebolla De Bulbo,2019,56.000000
15322,Guateque,Ahuyama,2019,44.000000
15322,Guateque,Calabacín¬ Calabaza,2019,99.000000
15322,Guateque,Calabacín¬ Calabaza,2019,85.500000
15322,Guateque,Pimentón,2019,18.000000
15322,Guateque,Tomate,2019,175.000000
15322,Guateque,Tomate Invernadero,2019,232.000000
15325,Guayatá,Calabacín¬ Calabaza,2019,1100.000000
15325,Guayatá,Calabacín¬ Calabaza,2019,775.000000
15325,Guayatá,Pepino Guiso,2019,63.000000
15325,Guayatá,Tomate Invernadero,2019,1060.000000
15325,Guayatá,Tomate Invernadero,2019,795.000000
15332,Güicán,Ahuyama,2019,84.000000
15332,Güicán,Ahuyama,2019,112.000000
15332,Güicán,Cebolla De Bulbo,2019,125.000000
15332,Güicán,Cebolla De Bulbo,2019,84.000000
15362,Iza,Otras hortalizas,2019,2.000000
15362,Iza,Cebolla De Bulbo,2019,100.000000
15362,Iza,Cebolla De Bulbo,2019,40.000000
15367,Jenesano,Calabacín¬ Calabaza,2019,138.000000
15367,Jenesano,Calabacín¬ Calabaza,2019,138.000000
15367,Jenesano,Pepino Guiso,2019,35.000000
15367,Jenesano,Pepino Guiso,2019,50.000000
15367,Jenesano,Cilantro,2019,60.000000
15367,Jenesano,Cilantro,2019,60.000000
15367,Jenesano,Zanahoria,2019,100.000000
15367,Jenesano,Zanahoria,2019,100.000000
15368,Jericó,Tomate,2019,16.000000
15368,Jericó,Tomate,2019,16.000000
15368,Jericó,Cebolla De Bulbo,2019,780.000000
15368,Jericó,Cebolla De Bulbo,2019,780.000000
15380,La Capilla,Otras hortalizas,2019,6.000000
15380,La Capilla,Pepino Cohombro,2019,600.000000
15380,La Capilla,Pepino Guiso,2019,160.000000
15380,La Capilla,Pimentón,2019,450.000000
15380,La Capilla,Pimentón,2019,80.000000
15380,La Capilla,Tomate,2019,350.000000
15380,La Capilla,Tomate,2019,250.000000
15380,La Capilla,Tomate Invernadero,2019,1200.000000
15380,La Capilla,Tomate Invernadero,2019,720.000000
15401,La Victoria,Tomate,2019,8.000000
