geo,Municipio,Grupo cultivo,Desagregación cultivo,Año,Área cosechada
15001,Tunja,Cereales,Avena,2019,160.000000
15001,Tunja,Cereales,Avena,2019,100.000000
15001,Tunja,Cereales,Cebada,2019,20.000000
15001,Tunja,Cereales,Cebada,2019,15.000000
15001,Tunja,Cereales,Maíz Tradicional,2019,180.000000
15022,Almeida,Cereales,Maíz Tradicional,2019,58.000000
15051,Arcabuco,Cereales,Maíz Tradicional,2019,8.000000
15051,Arcabuco,Cereales,Maíz Tradicional,2019,8.000000
15087,Belén,Cereales,Avena,2019,16.000000
15087,Belén,Cereales,Avena,2019,18.000000
15087,Belén,Cereales,Cebada,2019,2.000000
15087,Belén,Cereales,Maíz Tradicional,2019,12.000000
15090,Berbeo,Cereales,Maíz Tradicional,2019,15.000000
15090,Berbeo,Cereales,Maíz Tradicional,2019,12.000000
15092,Betéitiva,Cereales,Cebada,2019,2.000000
15092,Betéitiva,Cereales,Maíz Tradicional,2019,14.000000
15092,Betéitiva,Cereales,Trigo,2019,10.000000
15097,Boavita,Cereales,Maíz Tradicional,2019,280.000000
15097,Boavita,Cereales,Maíz Tradicional,2019,140.000000
15097,Boavita,Cereales,Trigo,2019,10.000000
15097,Boavita,Cereales,Trigo,2019,20.000000
15104,Boyacá,Cereales,Maíz Tradicional,2019,11.000000
15104,Boyacá,Cereales,Maíz Tradicional,2019,11.000000
15106,Briceño,Cereales,Maíz Tradicional,2019,10.000000
15106,Briceño,Cereales,Maíz Tradicional,2019,20.000000
15114,Busbanzá,Cereales,Cebada,2019,1.000000
15114,Busbanzá,Cereales,Maíz Tradicional,2019,35.000000
15114,Busbanzá,Cereales,Trigo,2019,3.000000
15131,Caldas,Cereales,Maíz Tradicional,2019,97.000000
15131,Caldas,Cereales,Maíz Tradicional,2019,100.000000
15131,Caldas,Cereales,Trigo,2019,21.000000
15135,Campohermoso,Cereales,Maíz Tradicional,2019,40.000000
15135,Campohermoso,Cereales,Maíz Tradicional,2019,35.000000
15172,Chinavita,Cereales,Maíz Tradicional,2019,14.000000
15172,Chinavita,Cereales,Maíz Tradicional,2019,5.000000
15176,Chiquinquirá,Cereales,Maíz Tradicional,2019,100.000000
15180,Chiscas,Cereales,Maíz Tradicional,2019,70.000000
15180,Chiscas,Cereales,Maíz Tradicional,2019,70.000000
15183,Chita,Cereales,Maíz Tradicional,2019,28.000000
15183,Chita,Cereales,Maíz Tradicional,2019,60.000000
15183,Chita,Cereales,Trigo,2019,14.000000
15183,Chita,Cereales,Trigo,2019,25.000000
15185,Chitaraque,Cereales,Maíz Tradicional,2019,115.000000
15185,Chitaraque,Cereales,Maíz Tradicional,2019,110.000000
15187,Chivatá,Cereales,Avena,2019,20.000000
15187,Chivatá,Cereales,Avena,2019,15.000000
15187,Chivatá,Cereales,Cebada,2019,90.000000
15187,Chivatá,Cereales,Cebada,2019,70.000000
15187,Chivatá,Cereales,Maíz Tradicional,2019,15.000000
15187,Chivatá,Cereales,Quinua,2019,4.000000
15187,Chivatá,Cereales,Quinua,2019,5.000000
15187,Chivatá,Cereales,Trigo,2019,10.000000
15204,Cómbita,Cereales,Avena,2019,25.000000
15204,Cómbita,Cereales,Avena,2019,20.000000
15204,Cómbita,Cereales,Cebada,2019,12.000000
15204,Cómbita,Cereales,Cebada,2019,10.000000
15204,Cómbita,Cereales,Maíz Tradicional,2019,63.000000
15204,Cómbita,Cereales,Trigo,2019,10.000000
