geo,Municipio,Desagregación cultivo,Año,Área cosechada(ha)
15466,Monguí,Laurel,2019,0
15621,Rondón,Sábila,2019,1
15759,Sogamoso,Laurel,2019,4
15759,Sogamoso,Sábila,2019,0
15776,Sutamarchán,Sábila,2019,8
15466,Monguí,Laurel,2020,0
15621,Rondón,Sábila,2020,1
15759,Sogamoso,Laurel,2020,5
15776,Sutamarchán,Sábila,2020,7
15466,Monguí,Laurel,2021,0
15621,Rondón,Sábila,2021,1
15757,Socha,Sábila,2021,2
15759,Sogamoso,Laurel,2021,5
15776,Sutamarchán,Otros Cultivos para Condimentos y Bebidas Medicinales y Aromáticas,2021,3
15776,Sutamarchán,Sábila,2021,5
15778,Sutatenza,Sábila,2021,0
