geo,Municipio,Grupo cultivo,Desagregación cultivo,Año,Área cosechada,Ciclo del cultivo
15001,Tunja,Raíces y Tubérculos,Arracacha,2019,170.000000,Transitorio
15001,Tunja,Raíces y Tubérculos,Papa Criolla,2019,80.000000,Transitorio
15001,Tunja,Raíces y Tubérculos,Papa Criolla,2019,50.000000,Transitorio
15001,Tunja,Raíces y Tubérculos,Papa todas las variedades,2019,2600.000000,Transitorio
15001,Tunja,Raíces y Tubérculos,Papa todas las variedades,2019,2000.000000,Transitorio
15022,Almeida,Raíces y Tubérculos,Arracacha,2019,6.000000,Transitorio
15022,Almeida,Raíces y Tubérculos,Arracacha,2019,3.000000,Transitorio
15022,Almeida,Raíces y Tubérculos,Papa Criolla,2019,2.000000,Transitorio
15022,Almeida,Raíces y Tubérculos,Papa todas las variedades,2019,5.000000,Transitorio
15022,Almeida,Raíces y Tubérculos,Yuca consumo en fresco,2019,10.000000,Transitorio
15022,Almeida,Raíces y Tubérculos,Yuca consumo en fresco,2019,12.000000,Transitorio
15047,Aquitania,Raíces y Tubérculos,Papa Criolla,2019,30.000000,Transitorio
15047,Aquitania,Raíces y Tubérculos,Papa Criolla,2019,25.000000,Transitorio
15047,Aquitania,Raíces y Tubérculos,Papa todas las variedades,2019,250.000000,Transitorio
15047,Aquitania,Raíces y Tubérculos,Papa todas las variedades,2019,60.000000,Transitorio
15051,Arcabuco,Raíces y Tubérculos,Papa todas las variedades,2019,1250.000000,Transitorio
15051,Arcabuco,Raíces y Tubérculos,Papa todas las variedades,2019,1250.000000,Transitorio
15087,Belén,Raíces y Tubérculos,Papa Criolla,2019,27.000000,Transitorio
15087,Belén,Raíces y Tubérculos,Papa Criolla,2019,35.000000,Transitorio
15087,Belén,Raíces y Tubérculos,Papa todas las variedades,2019,240.000000,Transitorio
15087,Belén,Raíces y Tubérculos,Papa todas las variedades,2019,320.000000,Transitorio
15090,Berbeo,Oleaginosas,Sacha inchi,2019,1.000000,Permanente
15090,Berbeo,Raíces y Tubérculos,Yuca consumo en fresco,2019,8.000000,Transitorio
15092,Betéitiva,Raíces y Tubérculos,Papa Criolla,2019,7.000000,Transitorio
15092,Betéitiva,Raíces y Tubérculos,Papa Criolla,2019,5.000000,Transitorio
15092,Betéitiva,Raíces y Tubérculos,Papa todas las variedades,2019,36.000000,Transitorio
15092,Betéitiva,Raíces y Tubérculos,Papa todas las variedades,2019,22.000000,Transitorio
15097,Boavita,Raíces y Tubérculos,Yuca consumo en fresco,2019,50.000000,Transitorio
15104,Boyacá,Raíces y Tubérculos,Arracacha,2019,124.000000,Transitorio
