geo,Municipio,Cultivo,Año,Área Cosechada (ha)
15814,Toca,Clavel,2007,18
15861,Ventaquemada,Clavel,2008,65
15814,Toca,Clavel,2008,26
15814,Toca,Clavel,2009,10
15814,Toca,Clavel,2010,29
15814,Toca,Clavel,2011,33
15814,Toca,Clavel,2012,32
15814,Toca,Clavel,2013,29
15814,Toca,Clavel,2014,23
15814,Toca,Clavel,2015,22
15814,Toca,Clavel,2016,32
15814,Toca,Clavel,2017,29
15814,Toca,Clavel,2018,32
15162,Cerinza,Flores Y Follajes,2008,0
15632,Saboya,Flores Y Follajes,2009,20
15162,Cerinza,Flores Y Follajes,2009,0
15466,Mongui,Flores Y Follajes,2010,2
15162,Cerinza,Flores Y Follajes,2010,0
15466,Mongui,Flores Y Follajes,2011,3
15162,Cerinza,Flores Y Follajes,2011,0
15491,Nobsa,Flores Y Follajes,2012,35
15162,Cerinza,Flores Y Follajes,2012,3
15466,Mongui,Flores Y Follajes,2012,3
15162,Cerinza,Flores Y Follajes,2013,3
15621,Rondon,Flores Y Follajes,2015,7
15814,Toca,Flores Y Follajes,2015,1
15632,Saboya,Flores Y Follajes,2016,8
15162,Cerinza,Flores Y Follajes,2016,0
15621,Rondon,Flores Y Follajes,2016,1
15632,Saboya,Flores Y Follajes,2017,10
15162,Cerinza,Flores Y Follajes,2017,6
15621,Rondon,Flores Y Follajes,2017,2
15632,Saboya,Flores Y Follajes,2018,20
15162,Cerinza,Flores Y Follajes,2018,7
15621,Rondon,Flores Y Follajes,2018,3
15814,Toca,Girasol,2014,0
15681,San Pablo De Borbur,Heliconia,2016,1
15681,San Pablo De Borbur,Heliconia,2017,2
15681,San Pablo De Borbur,Heliconia,2018,3
15632,Saboya,Crisantemo,2008,27
15814,Toca,Rosa,2008,10
15814,Toca,Rosa,2009,36
15814,Toca,Rosa,2010,12
15814,Toca,Rosa,2011,17
15814,Toca,Rosa,2012,16
15814,Toca,Rosa,2013,16
15162,Cerinza,Rosa,2013,1
15814,Toca,Rosa,2014,13
15162,Cerinza,Rosa,2014,4
15814,Toca,Rosa,2015,13
15162,Cerinza,Rosa,2015,3
15814,Toca,Rosa,2016,19
15272,Firavitoba,Rosa,2016,2
15814,Toca,Rosa,2017,19
15272,Firavitoba,Rosa,2017,1
15814,Toca,Rosa,2018,21
15272,Firavitoba,Rosa,2018,1
