geo,Municipio,Desagregación cultivo,Año,Rendimiento
15001,Tunja,Cebolla De Bulbo,2019,20
15001,Tunja,Cebolla De Bulbo,2019,20
15001,Tunja,Zanahoria,2019,20
15001,Tunja,Zanahoria,2019,20
15022,Almeida,Guatila,2019,20
15022,Almeida,Pepino Guiso,2019,14
15022,Almeida,Tomate Invernadero,2019,68
15022,Almeida,Tomate Invernadero,2019,70
15047,Aquitania,Cebolla De Rama,2019,40
15047,Aquitania,Cebolla De Rama,2019,38
15051,Arcabuco,Zanahoria,2019,25
15051,Arcabuco,Zanahoria,2019,25
15087,Belén,Otras hortalizas,2019,27
15087,Belén,Otras hortalizas,2019,11
15087,Belén,Ajo,2019,13
15087,Belén,Ajo,2019,13
15087,Belén,Cebolla De Bulbo,2019,20
15087,Belén,Cebolla De Bulbo,2019,15
15087,Belén,Zanahoria,2019,30
15087,Belén,Zanahoria,2019,27
15090,Berbeo,Tomate Invernadero,2019,80
15090,Berbeo,Tomate Invernadero,2019,80
15092,Betéitiva,Tomate,2019,50
15092,Betéitiva,Cebolla De Bulbo,2019,15
15092,Betéitiva,Cebolla De Bulbo,2019,13
15097,Boavita,Tomate,2019,30
15097,Boavita,Tomate,2019,30
15097,Boavita,Tomate Invernadero,2019,60
15097,Boavita,Tomate Invernadero,2019,60
15104,Boyacá,Pepino Guiso,2019,5
15104,Boyacá,Cebolla De Bulbo,2019,3
15104,Boyacá,Zanahoria,2019,28
15104,Boyacá,Zanahoria,2019,30
15109,Buenavista,Tomate Invernadero,2019,70
15109,Buenavista,Tomate Invernadero,2019,70
15114,Busbanzá,Otras hortalizas,2019,1
15114,Busbanzá,Otras hortalizas,2019,1
15114,Busbanzá,Ahuyama,2019,5
15131,Caldas,Zanahoria,2019,19
15131,Caldas,Zanahoria,2019,20
15162,Cerinza,Otras hortalizas,2019,9
15162,Cerinza,Otras hortalizas,2019,9
15162,Cerinza,Cebolla De Bulbo,2019,11
15162,Cerinza,Zanahoria,2019,16
15162,Cerinza,Zanahoria,2019,18
15172,Chinavita,Pepino Guiso,2019,15
15172,Chinavita,Pepino Guiso,2019,10
15180,Chiscas,Cebolla De Bulbo,2019,19
15180,Chiscas,Cebolla De Bulbo,2019,19
15183,Chita,Cebolla De Bulbo,2019,20
15183,Chita,Cebolla De Bulbo,2019,20
15183,Chita,Cebolla De Rama,2019,25
15187,Chivatá,Otras hortalizas,2019,3
15187,Chivatá,Otras hortalizas,2019,1
15187,Chivatá,Cebolla De Bulbo,2019,15
15187,Chivatá,Cebolla De Bulbo,2019,12
15189,Ciénega,Tomate,2019,12
15189,Ciénega,Tomate,2019,12
15204,Cómbita,Otras hortalizas,2019,12
15204,Cómbita,Otras hortalizas,2019,12
15215,Corrales,Otras hortalizas,2019,5
15215,Corrales,Otras hortalizas,2019,5
15215,Corrales,Tomate Invernadero,2019,45
15215,Corrales,Tomate Invernadero,2019,45
15215,Corrales,Cebolla De Bulbo,2019,24
15215,Corrales,Cebolla De Bulbo,2019,20
15218,Covarachía,Melón,2019,50
15218,Covarachía,Melón,2019,50
15218,Covarachía,Tomate,2019,28
15218,Covarachía,Tomate Invernadero,2019,47
15224,Cucaita,Lechuga,2019,18
15224,Cucaita,Lechuga,2019,15
15224,Cucaita,Cebolla De Bulbo,2019,40
15224,Cucaita,Cebolla De Bulbo,2019,35
15224,Cucaita,Remolacha,2019,35
15224,Cucaita,Remolacha,2019,25
15224,Cucaita,Zanahoria,2019,25
15224,Cucaita,Zanahoria,2019,25
15226,Cuítiva,Cebolla De Bulbo,2019,40
15226,Cuítiva,Cebolla De Bulbo,2019,30
15226,Cuítiva,Cebolla De Rama,2019,15
15226,Cuítiva,Cebolla De Rama,2019,15
15232,Chíquiza,Cebolla De Bulbo,2019,25
15232,Chíquiza,Cebolla De Bulbo,2019,25
15232,Chíquiza,Zanahoria,2019,15
15232,Chíquiza,Zanahoria,2019,15
15236,Chivor,Otras hortalizas,2019,1
15236,Chivor,Otras hortalizas,2019,1
15238,Duitama,Brócoli,2019,26
15238,Duitama,Brócoli,2019,26
15238,Duitama,Tomate Invernadero,2019,127
15238,Duitama,Tomate Invernadero,2019,127
15238,Duitama,Cilantro,2019,33
15238,Duitama,Cilantro,2019,33
15238,Duitama,Espinaca,2019,18
15238,Duitama,Espinaca,2019,18
15238,Duitama,Lechuga,2019,43
15238,Duitama,Lechuga,2019,42
15238,Duitama,Repollo,2019,56
15238,Duitama,Repollo,2019,56
15238,Duitama,Cebolla De Bulbo,2019,25
15238,Duitama,Cebolla De Bulbo,2019,25
