geo,Municipio,Desagregación,Año,Área Cosechada(ha)
15507,Otanche,Cacao,2007,200
15531,Pauna,Cacao,2007,130
15442,Maripi,Cacao,2007,210
15580,Quipama,Cacao,2007,70
15480,Muzo,Cacao,2007,200
15572,Puerto Boyaca,Cacao,2007,21
15681,San Pablo De Borbur,Cacao,2007,100
15212,Coper,Cacao,2007,46
15109,Buenavista,Cacao,2007,24
15401,La Victoria,Cacao,2007,5
15832,Tunungua,Cacao,2007,20
15514,Paez,Cacao,2007,30
15223,Cubara,Cacao,2007,5
15690,Santa Maria,Cacao,2007,13
15135,Campohermoso,Cacao,2007,7
15533,Paya,Cacao,2007,12
15455,Miraflores,Cacao,2007,2
15507,Otanche,Cacao,2008,480
15531,Pauna,Cacao,2008,400
15681,San Pablo De Borbur,Cacao,2008,130
15480,Muzo,Cacao,2008,200
15442,Maripi,Cacao,2008,290
15580,Quipama,Cacao,2008,50
15572,Puerto Boyaca,Cacao,2008,95
15212,Coper,Cacao,2008,43
15109,Buenavista,Cacao,2008,45
15832,Tunungua,Cacao,2008,4
15514,Paez,Cacao,2008,30
15223,Cubara,Cacao,2008,5
15690,Santa Maria,Cacao,2008,15
15401,La Victoria,Cacao,2008,8
15135,Campohermoso,Cacao,2008,7
15533,Paya,Cacao,2008,10
15455,Miraflores,Cacao,2008,2
15531,Pauna,Cacao,2009,420
15507,Otanche,Cacao,2009,470
15442,Maripi,Cacao,2009,290
15681,San Pablo De Borbur,Cacao,2009,130
15480,Muzo,Cacao,2009,200
15580,Quipama,Cacao,2009,58
15572,Puerto Boyaca,Cacao,2009,100
15212,Coper,Cacao,2009,46
15109,Buenavista,Cacao,2009,45
15690,Santa Maria,Cacao,2009,5
15832,Tunungua,Cacao,2009,28
15223,Cubara,Cacao,2009,8
15514,Paez,Cacao,2009,29
15401,La Victoria,Cacao,2009,8
15667,San Luis De Gaceno,Cacao,2009,6
15533,Paya,Cacao,2009,10
15135,Campohermoso,Cacao,2009,10
15377,Labranzagrande,Cacao,2009,5
15455,Miraflores,Cacao,2009,2
15531,Pauna,Cacao,2010,400
15507,Otanche,Cacao,2010,530
15681,San Pablo De Borbur,Cacao,2010,350
15480,Muzo,Cacao,2010,250
15442,Maripi,Cacao,2010,350
15580,Quipama,Cacao,2010,80
15572,Puerto Boyaca,Cacao,2010,165
15533,Paya,Cacao,2010,10
15212,Coper,Cacao,2010,66
15109,Buenavista,Cacao,2010,52
15690,Santa Maria,Cacao,2010,10
15223,Cubara,Cacao,2010,31
15401,La Victoria,Cacao,2010,26
15514,Paez,Cacao,2010,28
15832,Tunungua,Cacao,2010,23
15667,San Luis De Gaceno,Cacao,2010,8
15135,Campohermoso,Cacao,2010,10
15455,Miraflores,Cacao,2010,4
15531,Pauna,Cacao,2011,375
15507,Otanche,Cacao,2011,496
15681,San Pablo De Borbur,Cacao,2011,328
15480,Muzo,Cacao,2011,310
15442,Maripi,Cacao,2011,320
15580,Quipama,Cacao,2011,75
15572,Puerto Boyaca,Cacao,2011,195
15212,Coper,Cacao,2011,62
15109,Buenavista,Cacao,2011,48
15690,Santa Maria,Cacao,2011,9
15223,Cubara,Cacao,2011,34
15514,Paez,Cacao,2011,26
15832,Tunungua,Cacao,2011,22
15667,San Luis De Gaceno,Cacao,2011,7
15533,Paya,Cacao,2011,7
15550,Pisba,Cacao,2011,7
15377,Labranzagrande,Cacao,2011,3
15135,Campohermoso,Cacao,2011,9
15401,La Victoria,Cacao,2011,7
15455,Miraflores,Cacao,2011,4
15531,Pauna,Cacao,2012,1.05
15572,Puerto Boyaca,Cacao,2012,400
15480,Muzo,Cacao,2012,580
15507,Otanche,Cacao,2012,495
15681,San Pablo De Borbur,Cacao,2012,594
15442,Maripi,Cacao,2012,395
15580,Quipama,Cacao,2012,317
15667,San Luis De Gaceno,Cacao,2012,25
15212,Coper,Cacao,2012,62
15109,Buenavista,Cacao,2012,40
15223,Cubara,Cacao,2012,37
15135,Campohermoso,Cacao,2012,20
15690,Santa Maria,Cacao,2012,9
15401,La Victoria,Cacao,2012,25
15514,Paez,Cacao,2012,22
15832,Tunungua,Cacao,2012,24
15377,Labranzagrande,Cacao,2012,3
15533,Paya,Cacao,2012,8
15480,Muzo,Cacao,2013,600
15507,Otanche,Cacao,2013,500
15531,Pauna,Cacao,2013,500
15681,San Pablo De Borbur,Cacao,2013,600
15442,Maripi,Cacao,2013,435
15580,Quipama,Cacao,2013,318
15572,Puerto Boyaca,Cacao,2013,300
15667,San Luis De Gaceno,Cacao,2013,10
15212,Coper,Cacao,2013,62
15109,Buenavista,Cacao,2013,40
15690,Santa Maria,Cacao,2013,10
15223,Cubara,Cacao,2013,50
15135,Campohermoso,Cacao,2013,20
15401,La Victoria,Cacao,2013,28
15514,Paez,Cacao,2013,22
15377,Labranzagrande,Cacao,2013,15
15832,Tunungua,Cacao,2013,18
15533,Paya,Cacao,2013,10
15455,Miraflores,Cacao,2013,6
15480,Muzo,Cacao,2014,800
15681,San Pablo De Borbur,Cacao,2014,668
15531,Pauna,Cacao,2014,573
15507,Otanche,Cacao,2014,500
15442,Maripi,Cacao,2014,495
15580,Quipama,Cacao,2014,269
15572,Puerto Boyaca,Cacao,2014,330
15667,San Luis De Gaceno,Cacao,2014,40
15212,Coper,Cacao,2014,65
15223,Cubara,Cacao,2014,36
15109,Buenavista,Cacao,2014,61
15690,Santa Maria,Cacao,2014,25
15135,Campohermoso,Cacao,2014,20
15401,La Victoria,Cacao,2014,23
15514,Paez,Cacao,2014,26
15377,Labranzagrande,Cacao,2014,18
15533,Paya,Cacao,2014,12
15832,Tunungua,Cacao,2014,10
15455,Miraflores,Cacao,2014,4
15480,Muzo,Cacao,2015,800
15681,San Pablo De Borbur,Cacao,2015,668
15531,Pauna,Cacao,2015,693
15507,Otanche,Cacao,2015,600
15442,Maripi,Cacao,2015,525
15580,Quipama,Cacao,2015,430
15572,Puerto Boyaca,Cacao,2015,350
15667,San Luis De Gaceno,Cacao,2015,48
15212,Coper,Cacao,2015,75
15109,Buenavista,Cacao,2015,50
