geo,Municipio,Cultivo,Año,Área sembrada(ha)
15001,Tunja,Fresa,2019,3
15022,Almeida,Granadilla,2019,2
15022,Almeida,Lulo,2019,16
15047,Aquitania,Fresa,2019,3
15047,Aquitania,Gulupa o cholupa,2019,1
15047,Aquitania,Uchuva,2019,1
15051,Arcabuco,Arándano,2019,12
15051,Arcabuco,Fresa,2019,20
15051,Arcabuco,Mora,2019,103
15051,Arcabuco,Tomate de árbol,2019,16
15051,Arcabuco,Uchuva,2019,10
15087,Belén,Ciruela,2019,2
15087,Belén,Durazno o Albaricoque,2019,4
15087,Belén,Mora,2019,3
15087,Belén,Feijoa,2019,2
15087,Belén,Curuba,2019,2
15087,Belén,Tomate de árbol,2019,4
15087,Belén,Uchuva,2019,6
15090,Berbeo,Pitahaya,2019,17
15090,Berbeo,Plátano,2019,7
15090,Berbeo,Chamba,2019,4
15090,Berbeo,Maracuyá,2019,4
15092,Betéitiva,Durazno o Albaricoque,2019,4
15092,Betéitiva,Uchuva,2019,4
15097,Boavita,Durazno o Albaricoque,2019,9
15097,Boavita,Otros cítricos,2019,91
15097,Boavita,Mango,2019,15
15097,Boavita,Plátano,2019,30
15104,Boyacá,Mora,2019,15
15104,Boyacá,Tomate de árbol,2019,15
15106,Briceño,Guanábana,2019,85
15106,Briceño,Naranja,2019,45
15106,Briceño,Aguacate,2019,25
15106,Briceño,Mora,2019,42
15106,Briceño,Pitahaya,2019,4
15106,Briceño,Plátano,2019,40
15106,Briceño,Guayaba,2019,292
15106,Briceño,Lulo,2019,50
15109,Buenavista,Guanábana,2019,16
15109,Buenavista,Limón,2019,12
15109,Buenavista,Mandarina,2019,73
15109,Buenavista,Naranja,2019,100
15109,Buenavista,Aguacate,2019,72
15109,Buenavista,Mora,2019,10
15109,Buenavista,Gulupa o cholupa,2019,21
15109,Buenavista,Tomate de árbol,2019,85
15114,Busbanzá,Durazno o Albaricoque,2019,1
15114,Busbanzá,Higo,2019,0.3
15114,Busbanzá,Feijoa,2019,1
15131,Caldas,Fresa,2019,6
15131,Caldas,Mora,2019,5
15131,Caldas,Papayuela -Babaco,2019,20
15131,Caldas,Curuba,2019,20
15131,Caldas,Tomate de árbol,2019,12
15135,Campohermoso,Aguacate,2019,7
15135,Campohermoso,Mora,2019,0.25
15135,Campohermoso,Plátano,2019,132
