geo,Municipio,Desagregación cultivo,Año,Área sembrada
15001,Tunja,Cebolla De Bulbo,2019,120
15001,Tunja,Cebolla De Bulbo,2019,100
15001,Tunja,Zanahoria,2019,300
15001,Tunja,Zanahoria,2019,300
15022,Almeida,Guatila,2019,1
15022,Almeida,Pepino Guiso,2019,5
15022,Almeida,Tomate Invernadero,2019,2
15022,Almeida,Tomate Invernadero,2019,3
15047,Aquitania,Cebolla De Rama,2019,1400
15047,Aquitania,Cebolla De Rama,2019,1400
15051,Arcabuco,Zanahoria,2019,2
15051,Arcabuco,Zanahoria,2019,2
15087,Belén,Otras hortalizas,2019,4
15087,Belén,Otras hortalizas,2019,4
15087,Belén,Ajo,2019,3
15087,Belén,Ajo,2019,3
15087,Belén,Cebolla De Bulbo,2019,3
15087,Belén,Cebolla De Bulbo,2019,5
15087,Belén,Zanahoria,2019,24
15087,Belén,Zanahoria,2019,19
15090,Berbeo,Tomate Invernadero,2019,4
15090,Berbeo,Tomate Invernadero,2019,5
15092,Betéitiva,Tomate,2019,4
15092,Betéitiva,Cebolla De Bulbo,2019,5
15092,Betéitiva,Cebolla De Bulbo,2019,5
15097,Boavita,Tomate,2019,15
15097,Boavita,Tomate,2019,15
15097,Boavita,Tomate Invernadero,2019,3
15097,Boavita,Tomate Invernadero,2019,33
15104,Boyacá,Pepino Guiso,2019,3
15104,Boyacá,Cebolla De Bulbo,2019,3
15104,Boyacá,Zanahoria,2019,76
15104,Boyacá,Zanahoria,2019,180
15109,Buenavista,Tomate Invernadero,2019,7
15109,Buenavista,Tomate Invernadero,2019,15
15114,Busbanzá,Otras hortalizas,2019,2
15114,Busbanzá,Otras hortalizas,2019,2
15114,Busbanzá,Ahuyama,2019,1
15131,Caldas,Zanahoria,2019,80
15131,Caldas,Zanahoria,2019,88
15162,Cerinza,Otras hortalizas,2019,1
15162,Cerinza,Otras hortalizas,2019,1
15162,Cerinza,Cebolla De Bulbo,2019,5
15162,Cerinza,Zanahoria,2019,3
15162,Cerinza,Zanahoria,2019,0
15172,Chinavita,Pepino Guiso,2019,3
15172,Chinavita,Pepino Guiso,2019,4
15180,Chiscas,Cebolla De Bulbo,2019,35
15180,Chiscas,Cebolla De Bulbo,2019,35
15183,Chita,Cebolla De Bulbo,2019,20
15183,Chita,Cebolla De Bulbo,2019,75
15183,Chita,Cebolla De Rama,2019,4
15187,Chivatá,Otras hortalizas,2019,3
15187,Chivatá,Otras hortalizas,2019,1
15187,Chivatá,Cebolla De Bulbo,2019,10
15187,Chivatá,Cebolla De Bulbo,2019,15
15189,Ciénega,Tomate,2019,0
15189,Ciénega,Tomate,2019,0
15204,Cómbita,Otras hortalizas,2019,20
15204,Cómbita,Otras hortalizas,2019,18
15215,Corrales,Otras hortalizas,2019,1
15215,Corrales,Otras hortalizas,2019,1
15215,Corrales,Tomate Invernadero,2019,18
15215,Corrales,Tomate Invernadero,2019,18
15215,Corrales,Cebolla De Bulbo,2019,29
15215,Corrales,Cebolla De Bulbo,2019,31
15218,Covarachía,Melón,2019,5
15218,Covarachía,Melón,2019,3
15218,Covarachía,Tomate,2019,40
15218,Covarachía,Tomate Invernadero,2019,20
15224,Cucaita,Lechuga,2019,5
15224,Cucaita,Lechuga,2019,1
15224,Cucaita,Cebolla De Bulbo,2019,100
15224,Cucaita,Cebolla De Bulbo,2019,130
15224,Cucaita,Remolacha,2019,2
15224,Cucaita,Remolacha,2019,2
15224,Cucaita,Zanahoria,2019,2
15224,Cucaita,Zanahoria,2019,1
