geo,Municipio,Desagregación cultivo,Año,Área sembrada,Ciclo del cultivo
15001,Tunja,Arveja,2019,80.000000,Transitorio
15001,Tunja,Arveja,2019,400.000000,Transitorio
15022,Almeida,Arveja,2019,4.000000,Transitorio
15022,Almeida,Arveja,2019,8.000000,Transitorio
15022,Almeida,Frijol,2019,60.000000,Transitorio
15047,Aquitania,Arveja,2019,15.000000,Transitorio
15047,Aquitania,Arveja,2019,15.000000,Transitorio
15051,Arcabuco,Arveja,2019,8.000000,Transitorio
15051,Arcabuco,Arveja,2019,6.000000,Transitorio
15051,Arcabuco,Frijol,2019,4.000000,Transitorio
15051,Arcabuco,Frijol,2019,4.000000,Transitorio
15087,Belén,Arveja,2019,15.000000,Transitorio
15087,Belén,Arveja,2019,17.000000,Transitorio
15087,Belén,Frijol,2019,9.000000,Transitorio
15087,Belén,Frijol,2019,3.000000,Transitorio
15087,Belén,Haba,2019,4.000000,Transitorio
15087,Belén,Haba,2019,5.000000,Transitorio
15090,Berbeo,Frijol,2019,15.000000,Transitorio
15090,Berbeo,Frijol,2019,10.000000,Transitorio
15092,Betéitiva,Arveja,2019,12.000000,Transitorio
15092,Betéitiva,Arveja,2019,5.000000,Transitorio
15092,Betéitiva,Frijol,2019,3.000000,Transitorio
15092,Betéitiva,Haba,2019,2.000000,Transitorio
15097,Boavita,Arveja,2019,5.000000,Transitorio
15097,Boavita,Arveja,2019,10.000000,Transitorio
15097,Boavita,Frijol,2019,50.000000,Transitorio
15097,Boavita,Frijol,2019,30.000000,Transitorio
15104,Boyacá,Arveja,2019,22.000000,Transitorio
15106,Briceño,Frijol,2019,11.000000,Transitorio
15106,Briceño,Frijol,2019,25.000000,Transitorio
15109,Buenavista,Arveja,2019,25.000000,Transitorio
15109,Buenavista,Arveja,2019,12.000000,Transitorio
15109,Buenavista,Frijol,2019,40.000000,Transitorio
15109,Buenavista,Frijol,2019,50.000000,Transitorio
15109,Buenavista,Habichuela,2019,10.000000,Transitorio
15109,Buenavista,Habichuela,2019,5.000000,Transitorio
15114,Busbanzá,Arveja,2019,2.000000,Transitorio
15114,Busbanzá,Frijol,2019,35.000000,Transitorio
15131,Caldas,Arveja,2019,35.000000,Transitorio
15131,Caldas,Arveja,2019,40.000000,Transitorio
15131,Caldas,Frijol,2019,42.000000,Transitorio
15131,Caldas,Frijol,2019,40.000000,Transitorio
15135,Campohermoso,Frijol,2019,20.000000,Transitorio
15135,Campohermoso,Frijol,2019,65.000000,Transitorio
15162,Cerinza,Arveja,2019,1.500000,Transitorio
15162,Cerinza,Arveja,2019,1.000000,Transitorio
15172,Chinavita,Arveja,2019,2.000000,Transitorio
15172,Chinavita,Arveja,2019,6.000000,Transitorio
15172,Chinavita,Frijol,2019,3.000000,Transitorio
15172,Chinavita,Frijol,2019,18.000000,Transitorio
15176,Chiquinquirá,Arveja,2019,80.000000,Transitorio
15176,Chiquinquirá,Arveja,2019,100.000000,Transitorio
