geo,Municipio,Cultivo,Año,Área Sembrada (ha)
15507,OTANCHE,Cacao,2007,550
15531,PAUNA,Cacao,2007,430
15442,MARIPÍ,Cacao,2007,300
15580,QUIPAMA,Cacao,2007,258
15480,MUZO,Cacao,2007,250
15572,PUERTO BOYACÁ,Cacao,2007,220
15681,SAN PABLO DE BORBUR,Cacao,2007,150
15212,COPER,Cacao,2007,60
15109,BUENAVISTA,Cacao,2007,53
15401,LA VICTORIA,Cacao,2007,50
15832,TUNUNGUA,Cacao,2007,44
15514,PÁEZ,Cacao,2007,30
15223,CUBARÁ,Cacao,2007,17
15690,SANTA MARIA,Cacao,2007,15
15135,CAMPOHERMOSO,Cacao,2007,14
15533,PAYA,Cacao,2007,12
15455,MIRAFLORES,Cacao,2007,4
15507,OTANCHE,Cacao,2008,900
15531,PAUNA,Cacao,2008,420
15681,SAN PABLO DE BORBUR,Cacao,2008,350
15480,MUZO,Cacao,2008,324
15442,MARIPÍ,Cacao,2008,320
15580,QUIPAMA,Cacao,2008,287
15572,PUERTO BOYACÁ,Cacao,2008,205
15212,COPER,Cacao,2008,54
15109,BUENAVISTA,Cacao,2008,53
15832,TUNUNGUA,Cacao,2008,40
15514,PÁEZ,Cacao,2008,31
15223,CUBARÁ,Cacao,2008,20
15690,SANTA MARIA,Cacao,2008,20
15401,LA VICTORIA,Cacao,2008,17
15135,CAMPOHERMOSO,Cacao,2008,14
15533,PAYA,Cacao,2008,12
15455,MIRAFLORES,Cacao,2008,4
15531,PAUNA,Cacao,2009,1
15507,OTANCHE,Cacao,2009,720
15442,MARIPÍ,Cacao,2009,400
15681,SAN PABLO DE BORBUR,Cacao,2009,400
15480,MUZO,Cacao,2009,390
15580,QUIPAMA,Cacao,2009,299
15572,PUERTO BOYACÁ,Cacao,2009,225
15212,COPER,Cacao,2009,68
15109,BUENAVISTA,Cacao,2009,62
15690,SANTA MARIA,Cacao,2009,45
15832,TUNUNGUA,Cacao,2009,38
15223,CUBARÁ,Cacao,2009,32
15514,PÁEZ,Cacao,2009,29
15401,LA VICTORIA,Cacao,2009,28
15667,SAN LUIS DE GACENO,Cacao,2009,24
15533,PAYA,Cacao,2009,19
15135,CAMPOHERMOSO,Cacao,2009,14
15377,LABRANZAGRANDE,Cacao,2009,5
15455,MIRAFLORES,Cacao,2009,5
15531,PAUNA,Cacao,2010,1
15507,OTANCHE,Cacao,2010,720
15681,SAN PABLO DE BORBUR,Cacao,2010,594
15480,MUZO,Cacao,2010,440
15442,MARIPÍ,Cacao,2010,433
15580,QUIPAMA,Cacao,2010,311
15572,PUERTO BOYACÁ,Cacao,2010,285
15533,PAYA,Cacao,2010,80
15212,COPER,Cacao,2010,71
15109,BUENAVISTA,Cacao,2010,67
15690,SANTA MARIA,Cacao,2010,45
15223,CUBARÁ,Cacao,2010,34
15401,LA VICTORIA,Cacao,2010,31
15514,PÁEZ,Cacao,2010,28
15832,TUNUNGUA,Cacao,2010,27
15667,SAN LUIS DE GACENO,Cacao,2010,24
15135,CAMPOHERMOSO,Cacao,2010,14
15455,MIRAFLORES,Cacao,2010,5
15531,PAUNA,Cacao,2011,1
15507,OTANCHE,Cacao,2011,720
15681,SAN PABLO DE BORBUR,Cacao,2011,594
15480,MUZO,Cacao,2011,550
15442,MARIPÍ,Cacao,2011,475
15580,QUIPAMA,Cacao,2011,311
15572,PUERTO BOYACÁ,Cacao,2011,275
15212,COPER,Cacao,2011,71
15109,BUENAVISTA,Cacao,2011,57
15690,SANTA MARIA,Cacao,2011,45
15223,CUBARÁ,Cacao,2011,37
15514,PÁEZ,Cacao,2011,28
15832,TUNUNGUA,Cacao,2011,27
15667,SAN LUIS DE GACENO,Cacao,2011,24
15533,PAYA,Cacao,2011,22
15550,PISBA,Cacao,2011,22
15377,LABRANZAGRANDE,Cacao,2011,19
15135,CAMPOHERMOSO,Cacao,2011,14
15401,LA VICTORIA,Cacao,2011,7
15455,MIRAFLORES,Cacao,2011,5
15531,PAUNA,Cacao,2012,1
15572,PUERTO BOYACÁ,Cacao,2012,860
15480,MUZO,Cacao,2012,840
15507,OTANCHE,Cacao,2012,740
15681,SAN PABLO DE BORBUR,Cacao,2012,648
15442,MARIPÍ,Cacao,2012,505
15580,QUIPAMA,Cacao,2012,361
15667,SAN LUIS DE GACENO,Cacao,2012,97
15212,COPER,Cacao,2012,68
15109,BUENAVISTA,Cacao,2012,62
15223,CUBARÁ,Cacao,2012,52
15135,CAMPOHERMOSO,Cacao,2012,45
15690,SANTA MARIA,Cacao,2012,45
15401,LA VICTORIA,Cacao,2012,33
15514,PÁEZ,Cacao,2012,26
15832,TUNUNGUA,Cacao,2012,24
15377,LABRANZAGRANDE,Cacao,2012,19
15533,PAYA,Cacao,2012,13
15480,MUZO,Cacao,2013,840
15507,OTANCHE,Cacao,2013,715
15531,PAUNA,Cacao,2013,710
15681,SAN PABLO DE BORBUR,Cacao,2013,698
15442,MARIPÍ,Cacao,2013,565
15580,QUIPAMA,Cacao,2013,363
15572,PUERTO BOYACÁ,Cacao,2013,350
15667,SAN LUIS DE GACENO,Cacao,2013,92
15212,COPER,Cacao,2013,74
15109,BUENAVISTA,Cacao,2013,63
15690,SANTA MARIA,Cacao,2013,57
15223,CUBARÁ,Cacao,2013,55
15135,CAMPOHERMOSO,Cacao,2013,45
15401,LA VICTORIA,Cacao,2013,32
15514,PÁEZ,Cacao,2013,26
15377,LABRANZAGRANDE,Cacao,2013,20
15832,TUNUNGUA,Cacao,2013,18
15533,PAYA,Cacao,2013,14
15455,MIRAFLORES,Cacao,2013,8
15480,MUZO,Cacao,2014,910
15681,SAN PABLO DE BORBUR,Cacao,2014,728
15531,PAUNA,Cacao,2014,721
15507,OTANCHE,Cacao,2014,715
15442,MARIPÍ,Cacao,2014,590
15580,QUIPAMA,Cacao,2014,370
15572,PUERTO BOYACÁ,Cacao,2014,360
15667,SAN LUIS DE GACENO,Cacao,2014,112
15212,COPER,Cacao,2014,75
15223,CUBARÁ,Cacao,2014,66
15109,BUENAVISTA,Cacao,2014,61
15690,SANTA MARIA,Cacao,2014,58
15135,CAMPOHERMOSO,Cacao,2014,50
15401,LA VICTORIA,Cacao,2014,30
15514,PÁEZ,Cacao,2014,26
15377,LABRANZAGRANDE,Cacao,2014,20
15533,PAYA,Cacao,2014,14
15832,TUNUNGUA,Cacao,2014,10
15455,MIRAFLORES,Cacao,2014,7
15480,MUZO,Cacao,2015,870
15681,SAN PABLO DE BORBUR,Cacao,2015,768
15531,PAUNA,Cacao,2015,741
15507,OTANCHE,Cacao,2015,725
15442,MARIPÍ,Cacao,2015,620
15580,QUIPAMA,Cacao,2015,550
15572,PUERTO BOYACÁ,Cacao,2015,370
15667,SAN LUIS DE GACENO,Cacao,2015,107
15212,COPER,Cacao,2015,85
15109,BUENAVISTA,Cacao,2015,65
15223,CUBARÁ,Cacao,2015,64
15690,SANTA MARIA,Cacao,2015,60
15135,CAMPOHERMOSO,Cacao,2015,50
15401,LA VICTORIA,Cacao,2015,45
15514,PÁEZ,Cacao,2015,26
15455,MIRAFLORES,Cacao,2015,22
15377,LABRANZAGRANDE,Cacao,2015,20
15533,PAYA,Cacao,2015,14
15832,TUNUNGUA,Cacao,2015,8
15480,MUZO,Cacao,2016,835
15531,PAUNA,Cacao,2016,793
15507,OTANCHE,Cacao,2016,765
15681,SAN PABLO DE BORBUR,Cacao,2016,728
