geo,Municpio,Cultivo,Año,Área Sembrada (ha)
15218,COVARACHÍA,Tabaco rubio,2006,175
15753,SOATÁ,Tabaco rubio,2006,90
15218,COVARACHÍA,Tabaco rubio,2007,180
15097,BOAVITA,Tabaco rubio,2007,80
15810,TIPACOQUE,Tabaco rubio,2007,73
15673,SAN MATEO,Tabaco rubio,2007,50
15218,COVARACHÍA,Tabaco rubio,2007,150
15248,EL ESPINO,Tabaco rubio,2007,2
15218,COVARACHÍA,Tabaco rubio,2008,185
15810,TIPACOQUE,Tabaco rubio,2008,102
15753,SOATÁ,Tabaco rubio,2008,80
15097,BOAVITA,Tabaco rubio,2008,70
15673,SAN MATEO,Tabaco rubio,2008,50
15248,EL ESPINO,Tabaco rubio,2008,15
15218,COVARACHÍA,Tabaco rubio,2008,180
15248,EL ESPINO,Tabaco rubio,2008,2
15218,COVARACHÍA,Tabaco rubio,2009,150
15753,SOATÁ,Tabaco rubio,2009,120
15097,BOAVITA,Tabaco rubio,2009,90
15810,TIPACOQUE,Tabaco rubio,2009,90
15673,SAN MATEO,Tabaco rubio,2009,60
15248,EL ESPINO,Tabaco rubio,2009,10
15720,SATIVANORTE,Tabaco rubio,2009,7
15218,COVARACHÍA,Tabaco rubio,2009,200
15753,SOATÁ,Tabaco rubio,2009,110
15097,BOAVITA,Tabaco rubio,2009,40
15248,EL ESPINO,Tabaco rubio,2009,10
15720,SATIVANORTE,Tabaco rubio,2009,7
15218,COVARACHÍA,Tabaco rubio,2010,200
15810,TIPACOQUE,Tabaco rubio,2010,90
15673,SAN MATEO,Tabaco rubio,2010,70
15753,SOATÁ,Tabaco rubio,2010,30
15720,SATIVANORTE,Tabaco rubio,2010,20
15248,EL ESPINO,Tabaco rubio,2010,10
15753,SOATÁ,Tabaco rubio,2010,30
15720,SATIVANORTE,Tabaco rubio,2010,20
15218,COVARACHÍA,Tabaco rubio,2011,188
15810,TIPACOQUE,Tabaco rubio,2011,85
15097,BOAVITA,Tabaco rubio,2011,50
15753,SOATÁ,Tabaco rubio,2011,28
15720,SATIVANORTE,Tabaco rubio,2011,19
15248,EL ESPINO,Tabaco rubio,2011,10
15753,SOATÁ,Tabaco rubio,2011,28
15720,SATIVANORTE,Tabaco rubio,2011,19
15218,COVARACHÍA,Tabaco rubio,2012,170
15810,TIPACOQUE,Tabaco rubio,2012,115
15097,BOAVITA,Tabaco rubio,2012,50
15753,SOATÁ,Tabaco rubio,2012,28
15248,EL ESPINO,Tabaco rubio,2012,10
15753,SOATÁ,Tabaco rubio,2012,28
15810,TIPACOQUE,Tabaco rubio,2012,20
15218,COVARACHÍA,Tabaco rubio,2013,150
15810,TIPACOQUE,Tabaco rubio,2013,115
15097,BOAVITA,Tabaco rubio,2013,50
15673,SAN MATEO,Tabaco rubio,2013,40
15753,SOATÁ,Tabaco rubio,2013,28
15248,EL ESPINO,Tabaco rubio,2013,15
15180,CHISCAS,Tabaco rubio,2013,10
15218,COVARACHÍA,Tabaco rubio,2013,150
15753,SOATÁ,Tabaco rubio,2013,28
15810,TIPACOQUE,Tabaco rubio,2013,20
15180,CHISCAS,Tabaco rubio,2013,5
15218,COVARACHÍA,Tabaco rubio,2014,130
15810,TIPACOQUE,Tabaco rubio,2014,90
15673,SAN MATEO,Tabaco rubio,2014,30
15774,SUSACÓN,Tabaco rubio,2014,20
15248,EL ESPINO,Tabaco rubio,2014,5
15218,COVARACHÍA,Tabaco rubio,2014,130
15810,TIPACOQUE,Tabaco rubio,2014,70
15180,CHISCAS,Tabaco rubio,2014,20
15218,COVARACHÍA,Tabaco rubio,2015,120
15810,TIPACOQUE,Tabaco rubio,2015,90
15774,SUSACÓN,Tabaco rubio,2015,20
15180,CHISCAS,Tabaco rubio,2015,10
15673,SAN MATEO,Tabaco rubio,2015,10
15218,COVARACHÍA,Tabaco rubio,2015,120
15810,TIPACOQUE,Tabaco rubio,2015,60
15753,SOATÁ,Tabaco rubio,2016,90
15810,TIPACOQUE,Tabaco rubio,2016,90
15673,SAN MATEO,Tabaco rubio,2016,12
15720,SATIVANORTE,Tabaco rubio,2016,8
15180,CHISCAS,Tabaco rubio,2016,5
15810,TIPACOQUE,Tabaco rubio,2016,90
15753,SOATÁ,Tabaco rubio,2016,60
15720,SATIVANORTE,Tabaco rubio,2016,8
15180,CHISCAS,Tabaco rubio,2016,3
15753,SOATÁ,Tabaco rubio,2017,40
15774,SUSACÓN,Tabaco rubio,2017,20
15673,SAN MATEO,Tabaco rubio,2017,12
15248,EL ESPINO,Tabaco rubio,2017,4
15810,TIPACOQUE,Tabaco rubio,2017,156
15753,SOATÁ,Tabaco rubio,2018,41
15774,SUSACÓN,Tabaco rubio,2018,21
15673,SAN MATEO,Tabaco rubio,2018,13
15248,EL ESPINO,Tabaco rubio,2018,5
15218,Covarachía,Tabaco,2019,200
15218,Covarachía,Tabaco,2019,200
15673,San Mateo,Tabaco,2019,4
15673,San Mateo,Tabaco,2019,20
15753,Soatá,Tabaco,2019,15
15774,Susacón,Tabaco,2019,15
15810,Tipacoque,Tabaco,2019,20
15218,Covarachía,Tabaco,2020,20
15218,Covarachía,Tabaco,2020,100
15753,Soatá,Tabaco,2020,15
15774,Susacón,Tabaco,2020,4
