geo,Municipio,Grupo cultivo,Desagregación cultivo,Año,Área sembrada,Ciclo del cultivo
15090,Berbeo,Oleaginosas,Sacha inchi,2019,2.000000,Permanente
15185,Chitaraque,Oleaginosas,Sacha inchi,2019,15.000000,Permanente
15507,Otanche,Oleaginosas,Sacha inchi,2019,58.000000,Permanente
15572,Puerto Boyacá,Oleaginosas,Sacha inchi,2019,10.000000,Permanente
15664,San José de Pare,Oleaginosas,Sacha inchi,2019,0.500000,Permanente
15090,Berbeo,Oleaginosas,Sacha inchi,2020,2.000000,Permanente
15185,Chitaraque,Oleaginosas,Sacha inchi,2020,5.000000,Permanente
15507,Otanche,Oleaginosas,Sacha inchi,2020,42.000000,Permanente
15572,Puerto Boyacá,Oleaginosas,Sacha inchi,2020,2.000000,Permanente
15664,San José de Pare,Oleaginosas,Sacha inchi,2020,0.500000,Permanente
15090,Berbeo,Oleaginosas,Sacha inchi,2021,2.000000,Permanente
15185,Chitaraque,Oleaginosas,Sacha inchi,2021,0.500000,Permanente
15507,Otanche,Oleaginosas,Sacha inchi,2021,34.000000,Permanente
15572,Puerto Boyacá,Oleaginosas,Sacha inchi,2021,2.000000,Permanente
15664,San José de Pare,Oleaginosas,Sacha inchi,2021,0.500000,Permanente
15776,Sutamarchán,Oleaginosas,Olivo,2021,10.000000,Permanente
