geo,Municipio,Subgrupo,Cultivo,Año,Área Sembrada
15814,TOCA,Flores,Clavel,2007,19
15861,VENTAQUEMADA,Flores,Clavel,2008,65
15814,TOCA,Flores,Clavel,2008,36
15814,TOCA,Flores,Clavel,2009,12
15814,TOCA,Flores,Clavel,2010,29
15814,TOCA,Flores,Clavel,2011,33
15814,TOCA,Flores,Clavel,2012,35
15814,TOCA,Flores,Clavel,2013,31
15814,TOCA,Flores,Clavel,2014,27
15814,TOCA,Flores,Clavel,2015,28
15814,TOCA,Flores,Clavel,2016,32
15814,TOCA,Flores,Clavel,2017,32
15814,TOCA,Flores,Clavel,2018,32
15162,CERINZA,Flores Y Follajes,Flores Y Follajes,2008,1
15632,SABOYÁ,Flores Y Follajes,Flores Y Follajes,2009,20
15162,CERINZA,Flores Y Follajes,Flores Y Follajes,2009,1
15466,MONGUÍ,Flores Y Follajes,Flores Y Follajes,2010,3
15162,CERINZA,Flores Y Follajes,Flores Y Follajes,2010,1
15466,MONGUÍ,Flores Y Follajes,Flores Y Follajes,2011,3
15162,CERINZA,Flores Y Follajes,Flores Y Follajes,2011,1
15491,NOBSA,Flores Y Follajes,Flores Y Follajes,2012,40
15162,CERINZA,Flores Y Follajes,Flores Y Follajes,2012,3
15466,MONGUÍ,Flores Y Follajes,Flores Y Follajes,2012,3
15162,CERINZA,Flores Y Follajes,Flores Y Follajes,2013,3
15621,RONDÓN,Flores Y Follajes,Flores Y Follajes,2015,7
15814,TOCA,Flores Y Follajes,Flores Y Follajes,2015,1
15632,SABOYÁ,Flores Y Follajes,Flores Y Follajes,2016,10
15162,CERINZA,Flores Y Follajes,Flores Y Follajes,2016,6
15621,RONDÓN,Flores Y Follajes,Flores Y Follajes,2016,2
15632,SABOYÁ,Flores Y Follajes,Flores Y Follajes,2017,10
15162,CERINZA,Flores Y Follajes,Flores Y Follajes,2017,7
15621,RONDÓN,Flores Y Follajes,Flores Y Follajes,2017,2
15632,SABOYÁ,Flores Y Follajes,Flores Y Follajes,2018,20
15162,CERINZA,Flores Y Follajes,Flores Y Follajes,2018,7
15621,RONDÓN,Flores Y Follajes,Flores Y Follajes,2018,3
15814,TOCA,Flores,Girasol,2014,1
15681,SAN PABLO DE BORBUR,Flores,Heliconia,2016,3
15681,SAN PABLO DE BORBUR,Flores,Heliconia,2017,3
15681,SAN PABLO DE BORBUR,Flores,Heliconia,2018,3
15632,SABOYÁ,Flores,Pompon Y Crisantemo,2008,33
15814,TOCA,Flores,Rosa,2008,10
15814,TOCA,Flores,Rosa,2009,46
15814,TOCA,Flores,Rosa,2010,12
15814,TOCA,Flores,Rosa,2011,17
15814,TOCA,Flores,Rosa,2012,17
15814,TOCA,Flores,Rosa,2013,20
15162,CERINZA,Flores,Rosa,2013,1
15814,TOCA,Flores,Rosa,2014,13
15162,CERINZA,Flores,Rosa,2014,4
15814,TOCA,Flores,Rosa,2015,13
15162,CERINZA,Flores,Rosa,2015,4
15814,TOCA,Flores,Rosa,2016,21
15272,FIRAVITOBA,Flores,Rosa,2016,2
15814,TOCA,Flores,Rosa,2017,21
15272,FIRAVITOBA,Flores,Rosa,2017,2
15814,TOCA,Flores,Rosa,2018,21
15272,FIRAVITOBA,Flores,Rosa,2018,2
