geo,Municipio,Cultivo,Año,Rendimiento (t/ha)
15507,OTANCHE,Cacao,2007,5
15531,PAUNA,Cacao,2007,5
15442,MARIPI,Cacao,2007,71
15580,QUIPAMA,Cacao,2007,71
15480,MUZO,Cacao,2007,7
15572,PUERTO BOYACA,Cacao,2007,49
15681,SAN PABLO DE BORBUR,Cacao,2007,7
15212,COPER,Cacao,2007,78
15109,BUENAVISTA,Cacao,2007,65
15401,LA VICTORIA,Cacao,2007,6
15832,TUNUNGUA,Cacao,2007,7
15514,PAEZ,Cacao,2007,7
15223,CUBARA,Cacao,2007,4
15690,SANTA MARIA,Cacao,2007,38
15135,CAMPOHERMOSO,Cacao,2007,4
15533,PAYA,Cacao,2007,6
15455,MIRAFLORES,Cacao,2007,6
15507,OTANCHE,Cacao,2008,5
15531,PAUNA,Cacao,2008,4
15681,SAN PABLO DE BORBUR,Cacao,2008,7
15480,MUZO,Cacao,2008,7
15442,MARIPI,Cacao,2008,8
15580,QUIPAMA,Cacao,2008,1
15572,PUERTO BOYACA,Cacao,2008,8
15212,COPER,Cacao,2008,8
15109,BUENAVISTA,Cacao,2008,6
15832,TUNUNGUA,Cacao,2008,5
15514,PAEZ,Cacao,2008,7
15223,CUBARA,Cacao,2008,6
15690,SANTA MARIA,Cacao,2008,4
15401,LA VICTORIA,Cacao,2008,5
15135,CAMPOHERMOSO,Cacao,2008,4
15533,PAYA,Cacao,2008,5
15455,MIRAFLORES,Cacao,2008,6
15531,PAUNA,Cacao,2009,4
15507,OTANCHE,Cacao,2009,5
15442,MARIPI,Cacao,2009,8
15681,SAN PABLO DE BORBUR,Cacao,2009,7
15480,MUZO,Cacao,2009,7
15580,QUIPAMA,Cacao,2009,1
15572,PUERTO BOYACA,Cacao,2009,8
15212,COPER,Cacao,2009,8
15109,BUENAVISTA,Cacao,2009,6
15690,SANTA MARIA,Cacao,2009,4
15832,TUNUNGUA,Cacao,2009,5
15223,CUBARA,Cacao,2009,6
15514,PAEZ,Cacao,2009,7
15401,LA VICTORIA,Cacao,2009,6
15667,SAN LUIS DE GACENO,Cacao,2009,8
15533,PAYA,Cacao,2009,5
15135,CAMPOHERMOSO,Cacao,2009,5
15377,LABRANZAGRANDE,Cacao,2009,3
15455,MIRAFLORES,Cacao,2009,5
15531,PAUNA,Cacao,2010,5
15507,OTANCHE,Cacao,2010,7
15681,SAN PABLO DE BORBUR,Cacao,2010,7
15480,MUZO,Cacao,2010,5
15442,MARIPI,Cacao,2010,8
15580,QUIPAMA,Cacao,2010,9
15572,PUERTO BOYACA,Cacao,2010,8
15533,PAYA,Cacao,2010,5
15212,COPER,Cacao,2010,8
15109,BUENAVISTA,Cacao,2010,8
15690,SANTA MARIA,Cacao,2010,41
15223,CUBARA,Cacao,2010,6
15401,LA VICTORIA,Cacao,2010,6
15514,PAEZ,Cacao,2010,7
15832,TUNUNGUA,Cacao,2010,3
15667,SAN LUIS DE GACENO,Cacao,2010,8
15135,CAMPOHERMOSO,Cacao,2010,5
15455,MIRAFLORES,Cacao,2010,8
15531,PAUNA,Cacao,2011,5
15507,OTANCHE,Cacao,2011,7
15681,SAN PABLO DE BORBUR,Cacao,2011,7
15480,MUZO,Cacao,2011,54
15442,MARIPI,Cacao,2011,78
15580,QUIPAMA,Cacao,2011,9
15572,PUERTO BOYACA,Cacao,2011,9
15212,COPER,Cacao,2011,8
15109,BUENAVISTA,Cacao,2011,8
15690,SANTA MARIA,Cacao,2011,41
15223,CUBARA,Cacao,2011,1
15514,PAEZ,Cacao,2011,7
15832,TUNUNGUA,Cacao,2011,3
15667,SAN LUIS DE GACENO,Cacao,2011,8
15533,PAYA,Cacao,2011,4
