geo,Municipio,Cultivo,Año,Rendimiento
15001,Tunja,Arveja,2019,1
15001,Tunja,Arveja,2019,1
15022,Almeida,Arveja,2019,2
15022,Almeida,Arveja,2019,2
15022,Almeida,Frijol,2019,1
15047,Aquitania,Arveja,2019,2
15047,Aquitania,Arveja,2019,2
15051,Arcabuco,Arveja,2019,0
15051,Arcabuco,Arveja,2019,0
15051,Arcabuco,Frijol,2019,1
15051,Arcabuco,Frijol,2019,1
15087,Belén,Arveja,2019,1
15087,Belén,Arveja,2019,1
15087,Belén,Frijol,2019,1
15087,Belén,Frijol,2019,1
15087,Belén,Haba,2019,1
15087,Belén,Haba,2019,1
15090,Berbeo,Frijol,2019,1
15090,Berbeo,Frijol,2019,0
15092,Betéitiva,Arveja,2019,0
15092,Betéitiva,Arveja,2019,0
15092,Betéitiva,Frijol,2019,0
15092,Betéitiva,Haba,2019,0
15097,Boavita,Arveja,2019,1
15097,Boavita,Arveja,2019,1
15097,Boavita,Frijol,2019,4
15097,Boavita,Frijol,2019,2
15104,Boyacá,Arveja,2019,1
15106,Briceño,Frijol,2019,0
15106,Briceño,Frijol,2019,0
15109,Buenavista,Arveja,2019,2
15109,Buenavista,Arveja,2019,2
15109,Buenavista,Frijol,2019,1
15109,Buenavista,Frijol,2019,1
15109,Buenavista,Habichuela,2019,8
15109,Buenavista,Habichuela,2019,9
15114,Busbanzá,Arveja,2019,0
15114,Busbanzá,Frijol,2019,0
15131,Caldas,Arveja,2019,1
15131,Caldas,Arveja,2019,1
15131,Caldas,Frijol,2019,0
15131,Caldas,Frijol,2019,0
15135,Campohermoso,Frijol,2019,0
15135,Campohermoso,Frijol,2019,1
15162,Cerinza,Arveja,2019,0
15162,Cerinza,Arveja,2019,1
15172,Chinavita,Arveja,2019,1
15172,Chinavita,Arveja,2019,1
15172,Chinavita,Frijol,2019,1
15172,Chinavita,Frijol,2019,2
15176,Chiquinquirá,Arveja,2019,0
15176,Chiquinquirá,Arveja,2019,0
15176,Chiquinquirá,Frijol,2019,0
15176,Chiquinquirá,Frijol,2019,0
15176,Chiquinquirá,Haba,2019,0
15180,Chiscas,Arveja,2019,1
15180,Chiscas,Arveja,2019,1
15180,Chiscas,Frijol,2019,0
15180,Chiscas,Frijol,2019,0
15180,Chiscas,Haba,2019,1
15180,Chiscas,Haba,2019,1
15183,Chita,Arveja,2019,1
15183,Chita,Arveja,2019,0
15183,Chita,Frijol,2019,2
15183,Chita,Haba,2019,3
15185,Chitaraque,Frijol,2019,1
15185,Chitaraque,Frijol,2019,1
15187,Chivatá,Arveja,2019,0
15187,Chivatá,Arveja,2019,0
15187,Chivatá,Haba,2019,0
15189,Ciénega,Arveja,2019,1
15189,Ciénega,Arveja,2019,0
15189,Ciénega,Frijol,2019,1
15189,Ciénega,Frijol,2019,0
15204,Cómbita,Arveja,2019,1
15204,Cómbita,Arveja,2019,1
15204,Cómbita,Frijol,2019,1
15204,Cómbita,Frijol,2019,1
15204,Cómbita,Haba,2019,1
15204,Cómbita,Haba,2019,1
15212,Coper,Frijol,2019,1
15212,Coper,Frijol,2019,1
15215,Corrales,Arveja,2019,1
15215,Corrales,Arveja,2019,1
15215,Corrales,Frijol,2019,0
15215,Corrales,Frijol,2019,1
15218,Covarachía,Arveja,2019,3
15218,Covarachía,Arveja,2019,3
15218,Covarachía,Frijol,2019,0
15218,Covarachía,Frijol,2019,0
15224,Cucaita,Arveja,2019,2
15224,Cucaita,Arveja,2019,1
15224,Cucaita,Frijol,2019,1
15224,Cucaita,Frijol,2019,1
15226,Cuítiva,Arveja,2019,4
15226,Cuítiva,Arveja,2019,4
15232,Chíquiza,Arveja,2019,0
15232,Chíquiza,Arveja,2019,0
15232,Chíquiza,Frijol,2019,0
15232,Chíquiza,Frijol,2019,0
15236,Chivor,Arveja,2019,1
15236,Chivor,Arveja,2019,1
15236,Chivor,Frijol,2019,0
15236,Chivor,Frijol,2019,0
15238,Duitama,Arveja,2019,2
15238,Duitama,Arveja,2019,2
15244,El Cocuy,Frijol,2019,0
15244,El Cocuy,Haba,2019,0
15248,El Espino,Arveja,2019,2
15248,El Espino,Arveja,2019,2
15248,El Espino,Frijol,2019,1
15248,El Espino,Frijol,2019,1
15248,El Espino,Haba,2019,1
15272,Firavitoba,Arveja,2019,0
15272,Firavitoba,Arveja,2019,0
15272,Firavitoba,Frijol,2019,0
15272,Firavitoba,Frijol,2019,0
15272,Firavitoba,Haba,2019,1
15276,Floresta,Arveja,2019,1
15276,Floresta,Frijol,2019,2
15293,Gachantivá,Arveja,2019,0
15293,Gachantivá,Arveja,2019,1
15296,Gámeza,Arveja,2019,1
15296,Gámeza,Arveja,2019,1
15296,Gámeza,Frijol,2019,1
15296,Gámeza,Haba,2019,2
15299,Garagoa,Arveja,2019,0
15299,Garagoa,Arveja,2019,0
15299,Garagoa,Frijol,2019,2
15299,Garagoa,Frijol,2019,1
15299,Garagoa,Habichuela,2019,4
15299,Garagoa,Habichuela,2019,4
