geo,Municipio,Cultivo,AÑO,Rendimiento (t/ha)
15218,COVARACHIA,Tabaco rubio,2006,18
15753,SOATA,Tabaco rubio,2006,15
15218,COVARACHIA,Tabaco rubio,2007,18
15097,BOAVITA,Tabaco rubio,2007,12
15810,TIPACOQUE,Tabaco rubio,2007,13
15673,SAN MATEO,Tabaco rubio,2007,12
15218,COVARACHIA,Tabaco rubio,2007,18
15248,EL ESPINO,Tabaco rubio,2007,166
15218,COVARACHIA,Tabaco rubio,2008,18
15810,TIPACOQUE,Tabaco rubio,2008,15
15753,SOATA,Tabaco rubio,2008,149
15097,BOAVITA,Tabaco rubio,2008,12
15673,SAN MATEO,Tabaco rubio,2008,12
15248,EL ESPINO,Tabaco rubio,2008,14
15218,COVARACHIA,Tabaco rubio,2008,18
15248,EL ESPINO,Tabaco rubio,2008,133
15218,COVARACHIA,Tabaco rubio,2009,18
15753,SOATA,Tabaco rubio,2009,18
15097,BOAVITA,Tabaco rubio,2009,12
15810,TIPACOQUE,Tabaco rubio,2009,15
15673,SAN MATEO,Tabaco rubio,2009,15
15248,EL ESPINO,Tabaco rubio,2009,164
15720,SATIVANORTE,Tabaco rubio,2009,179
15218,COVARACHIA,Tabaco rubio,2009,18
15753,SOATA,Tabaco rubio,2009,18
15097,BOAVITA,Tabaco rubio,2009,1
15248,EL ESPINO,Tabaco rubio,2009,164
15720,SATIVANORTE,Tabaco rubio,2009,179
15218,COVARACHIA,Tabaco rubio,2010,18
15810,TIPACOQUE,Tabaco rubio,2010,15
15673,SAN MATEO,Tabaco rubio,2010,15
15753,SOATA,Tabaco rubio,2010,15
15720,SATIVANORTE,Tabaco rubio,2010,18
15248,EL ESPINO,Tabaco rubio,2010,15
15753,SOATA,Tabaco rubio,2010,15
15720,SATIVANORTE,Tabaco rubio,2010,18
15218,COVARACHIA,Tabaco rubio,2011,18
15810,TIPACOQUE,Tabaco rubio,2011,15
15097,BOAVITA,Tabaco rubio,2011,12
15753,SOATA,Tabaco rubio,2011,15
15720,SATIVANORTE,Tabaco rubio,2011,18
15248,EL ESPINO,Tabaco rubio,2011,1
15753,SOATA,Tabaco rubio,2011,15
15720,SATIVANORTE,Tabaco rubio,2011,18
15218,COVARACHIA,Tabaco rubio,2012,18
15810,TIPACOQUE,Tabaco rubio,2012,15
15097,BOAVITA,Tabaco rubio,2012,12
15753,SOATA,Tabaco rubio,2012,15
15248,EL ESPINO,Tabaco rubio,2012,1
15753,SOATA,Tabaco rubio,2012,1
15810,TIPACOQUE,Tabaco rubio,2012,15
15218,COVARACHIA,Tabaco rubio,2013,8
15810,TIPACOQUE,Tabaco rubio,2013,173
15097,BOAVITA,Tabaco rubio,2013,12
15673,SAN MATEO,Tabaco rubio,2013,2
15753,SOATA,Tabaco rubio,2013,15
15248,EL ESPINO,Tabaco rubio,2013,16
15180,CHISCAS,Tabaco rubio,2013,1
15218,COVARACHIA,Tabaco rubio,2013,8
15753,SOATA,Tabaco rubio,2013,1
15810,TIPACOQUE,Tabaco rubio,2013,15
15180,CHISCAS,Tabaco rubio,2013,1
15218,COVARACHIA,Tabaco rubio,2014,7
15810,TIPACOQUE,Tabaco rubio,2014,17
15673,SAN MATEO,Tabaco rubio,2014,2
15774,SUSACON,Tabaco rubio,2014,15
15248,EL ESPINO,Tabaco rubio,2014,1
15218,COVARACHIA,Tabaco rubio,2014,7
15810,TIPACOQUE,Tabaco rubio,2014,17
15180,CHISCAS,Tabaco rubio,2014,1
15218,COVARACHIA,Tabaco rubio,2015,5
15810,TIPACOQUE,Tabaco rubio,2015,17
15774,SUSACON,Tabaco rubio,2015,2
15180,CHISCAS,Tabaco rubio,2015,1
15673,SAN MATEO,Tabaco rubio,2015,2
15218,COVARACHIA,Tabaco rubio,2015,6
15810,TIPACOQUE,Tabaco rubio,2015,13
15753,SOATA,Tabaco rubio,2016,15
15810,TIPACOQUE,Tabaco rubio,2016,17
15673,SAN MATEO,Tabaco rubio,2016,2
15720,SATIVANORTE,Tabaco rubio,2016,12
15180,CHISCAS,Tabaco rubio,2016,1
15810,TIPACOQUE,Tabaco rubio,2016,17
15753,SOATA,Tabaco rubio,2016,15
15720,SATIVANORTE,Tabaco rubio,2016,12
15180,CHISCAS,Tabaco rubio,2016,1
15753,SOATA,Tabaco rubio,2017,15
15774,SUSACON,Tabaco rubio,2017,2
15673,SAN MATEO,Tabaco rubio,2017,2
15248,EL ESPINO,Tabaco rubio,2017,16
15810,TIPACOQUE,Tabaco rubio,2017,96
15753,SOATA,Tabaco rubio,2018,153
15774,SUSACON,Tabaco rubio,2018,205
15673,SAN MATEO,Tabaco rubio,2018,203
15248,EL ESPINO,Tabaco rubio,2018,164
15218,Covarachía,Tabaco,2019,15
15218,Covarachía,Tabaco,2019,15
15673,San Mateo,Tabaco,2019,125
15673,San Mateo,Tabaco,2019,16
15753,Soatá,Tabaco,2019,1
15774,Susacón,Tabaco,2019,16
15810,Tipacoque,Tabaco,2019,8
15218,Covarachía,Tabaco,2020,1
15218,Covarachía,Tabaco,2020,1
15753,Soatá,Tabaco,2020,2
15774,Susacón,Tabaco,2020,19
