geo,Municipio,Cultivo,Año,Rendimiento,Ciclo del cultivo
15407,Villa de Leiva,Plantas Aromáticas,2019,5.520000,Transitorio
15466,Monguí,Laurel,2019,3.000000,Permanente
15466,Monguí,Plantas Aromáticas,2019,0.500000,Transitorio
15466,Monguí,Plantas Aromáticas,2019,3.000000,Transitorio
15466,Monguí,Plantas Aromáticas,2019,0.500000,Transitorio
15621,Rondón,Sábila,2019,1.000000,Permanente
15759,Sogamoso,Laurel,2019,5.000000,Permanente
15759,Sogamoso,Plantas Aromáticas,2019,1.000000,Transitorio
15759,Sogamoso,Plantas Aromáticas,2019,1.000000,Transitorio
15759,Sogamoso,Plantas Aromáticas,2019,1.000000,Transitorio
15759,Sogamoso,Sábila,2019,10.000000,Permanente
15776,Sutamarchán,Sábila,2019,31.000000,Permanente
15407,Villa de Leiva,Plantas Aromáticas,2020,3.250000,Transitorio
15466,Monguí,Laurel,2020,1.000000,Permanente
15466,Monguí,Plantas Aromáticas,2020,1.000000,Transitorio
15466,Monguí,Plantas Aromáticas,2020,1.000000,Transitorio
15466,Monguí,Plantas Aromáticas,2020,1.000000,Transitorio
15621,Rondón,Sábila,2020,2.500000,Permanente
15759,Sogamoso,Laurel,2020,5.000000,Permanente
15759,Sogamoso,Plantas Aromáticas,2020,1.000000,Transitorio
15759,Sogamoso,Plantas Aromáticas,2020,1.000000,Transitorio
15759,Sogamoso,Plantas Aromáticas,2020,1.000000,Transitorio
15776,Sutamarchán,Sábila,2020,20.000000,Permanente
15407,Villa de Leiva,Plantas Aromáticas,2021,8.000000,Transitorio
15466,Monguí,Laurel,2021,2.000000,Permanente
15466,Monguí,Plantas Aromáticas,2021,2.000000,Transitorio
15621,Rondón,Sábila,2021,8.000000,Permanente
15757,Socha,Sábila,2021,1.000000,Permanente
15759,Sogamoso,Laurel,2021,5.000000,Permanente
15759,Sogamoso,Plantas Aromáticas,2021,1.000000,Transitorio
15776,Sutamarchán,Otros Cultivos para Condimentos y Bebidas Medicinales y Aromáticas,2021,3.000000,Permanente
15776,Sutamarchán,Sábila,2021,20.000000,Permanente
15778,Sutatenza,Sábila,2021,0.000000,Permanente
