geo,Municipio,Año,Porcentaje,Tipo
15664,San José de Pare,2021,99.963339,Permanente
15185,Chitaraque,2021,99.714061,Permanente
15686,Santana,2021,99.211178,Permanente
15816,Togüí,2021,99.274250,Permanente
15469,Moniquirá,2021,98.632077,Permanente
15740,Siachoque,2021,0.059375,Permanente
15861,Ventaquemada,2021,0.738264,Permanente
15632,Saboyá,2021,5.485283,Permanente
15047,Aquitania,2021,1.717862,Permanente
15001,Tunja,2021,0.002406,Permanente
15407,Villa de Leyva,2021,0.486659,Permanente
15814,Toca,2021,1.414375,Permanente
15646,Samacá,2021,0.033133,Permanente
15764,Soracá,2021,0.836818,Permanente
15051,Arcabuco,2021,4.002680,Permanente
15804,Tibaná,2021,89.448104,Permanente
15455,Miraflores,2021,84.237812,Permanente
15442,Maripí,2021,95.684384,Permanente
15212,Coper,2021,97.112695,Permanente
15476,Motavita,2021,0.032950,Permanente
15232,Chíquiza,2021,0.000000,Permanente
15776,Sutamarchán,2021,5.848370,Permanente
15204,Cómbita,2021,14.238170,Permanente
15839,Tutazá,2021,0.783220,Permanente
15842,Úmbita,2021,15.696042,Permanente
15531,Pauna,2021,94.756357,Permanente
15367,Jenesano,2021,41.935606,Permanente
15494,Nuevo Colón,2021,69.567447,Permanente
15763,Sotaquirá,2021,19.684994,Permanente
15835,Turmequé,2021,43.018618,Permanente
15109,Buenavista,2021,86.891880,Permanente
15104,Boyacá,2021,1.771259,Permanente
15696,Santa Sofía,2021,44.093992,Permanente
15806,Tibasosa,2021,1.042834,Permanente
15822,Tota,2021,0.666095,Permanente
15755,Socotá,2021,21.861523,Permanente
15542,Pesca,2021,0.105860,Permanente
15580,Quípama,2021,85.960615,Permanente
15638,Sáchica,2021,0.000000,Permanente
15224,Cucaita,2021,0.426783,Permanente
15832,Tununguá,2021,96.238148,Permanente
15189,Ciénega,2021,35.995847,Permanente
15600,Ráquira,2021,8.569431,Permanente
15087,Belén,2021,0.996126,Permanente
15599,Ramiriquí,2021,31.786359,Permanente
15507,Otanche,2021,98.750817,Permanente
15879,Viracachá,2021,3.777986,Permanente
15368,Jericó,2021,1.059294,Permanente
15480,Muzo,2021,90.687405,Permanente
15759,Sogamoso,2021,0.590080,Permanente
15131,Caldas,2021,7.139731,Permanente
15762,Sora,2021,0.000000,Permanente
15425,Macanal,2021,58.684011,Permanente
15491,Nobsa,2021,1.934073,Permanente
15511,Pachavita,2021,38.337721,Permanente
15293,Gachantivá,2021,65.385618,Permanente
15897,Zetaquira,2021,84.523575,Permanente
15837,Tuta,2021,22.394414,Permanente
15176,Chiquinquirá,2021,11.214757,Permanente
15325,Guayatá,2021,68.060876,Permanente
15218,Covarachía,2021,18.227675,Permanente
15238,Duitama,2021,11.037523,Permanente
15296,Gámeza,2021,0.277592,Permanente
15097,Boavita,2021,68.136878,Permanente
15272,Firavitoba,2021,0.306507,Permanente
15500,Oicatá,2021,27.227061,Permanente
15180,Chiscas,2021,31.667358,Permanente
15380,La Capilla,2021,18.641279,Permanente
15106,Briceño,2021,96.722026,Permanente
15798,Tenza,2021,44.868409,Permanente
15183,Chita,2021,21.022932,Permanente
15774,Susacón,2021,16.303879,Permanente
15681,San Pablo de Borbur,2021,89.251685,Permanente
15516,Paipa,2021,37.470343,Permanente
15377,Labranzagrande,2021,81.039288,Permanente
15572,Puerto Boyacá,2021,55.807993,Permanente
15514,Páez,2021,94.657417,Permanente
15226,Cuítiva,2021,2.583139,Permanente
15660,San Eduardo,2021,96.485575,Permanente
15236,Chivor,2021,95.491791,Permanente
15808,Tinjacá,2021,6.228332,Permanente
15187,Chivatá,2021,0.000000,Permanente
15022,Almeida,2021,81.381760,Permanente
15753,Soatá,2021,55.829562,Permanente
15244,El Cocuy,2021,0.000000,Permanente
15135,Campohermoso,2021,88.622056,Permanente
15673,San Mateo,2021,58.867048,Permanente
15522,Panqueba,2021,5.160411,Permanente
15518,Pajarito,2021,95.549587,Permanente
15693,Santa Rosa de Viterbo,2021,1.377829,Permanente
15820,Tópaga,2021,9.928688,Permanente
15172,Chinavita,2021,81.722165,Permanente
15215,Corrales,2021,8.414193,Permanente
15464,Mongua,2021,4.335424,Permanente
15466,Monguí,2021,1.984082,Permanente
15810,Tipacoque,2021,71.836975,Permanente
15621,Rondón,2021,71.694505,Permanente
15090,Berbeo,2021,61.096747,Permanente
15667,San Luis de Gaceno,2021,22.760288,Permanente
15720,Sativanorte,2021,7.721744,Permanente
15299,Garagoa,2021,67.905784,Permanente
15317,Guacamayas,2021,49.604690,Permanente
15690,Santa María,2021,88.949039,Permanente
15676,San Miguel de Sema,2021,17.549972,Permanente
15778,Sutatenza,2021,36.432577,Permanente
15092,Betéitiva,2021,4.130884,Permanente
15761,Somondoco,2021,60.631549,Permanente
15248,El Espino,2021,19.741627,Permanente
15757,Socha,2021,3.158016,Permanente
15403,La Uvita,2021,15.109324,Permanente
15533,Paya,2021,90.016000,Permanente
15223,Cubará,2021,69.933739,Permanente
15332,GÜICÁN DE LA SIERRA,2021,0.000000,Permanente
15162,Cerinza,2021,1.645978,Permanente
15401,La Victoria,2021,82.657285,Permanente
15790,Tasco,2021,12.621324,Permanente
15322,Guateque,2021,19.725034,Permanente
15550,Pisba,2021,89.249504,Permanente
15537,Paz de Río,2021,2.366933,Permanente
15362,Iza,2021,19.072292,Permanente
15276,Floresta,2021,7.131931,Permanente
15723,Sativasur,2021,4.252605,Permanente
15114,Busbanzá,2021,0.000000,Permanente
15664,San José de Pare,2021,0.036661,Transitorio
15185,Chitaraque,2021,0.285939,Transitorio
15686,Santana,2021,0.788822,Transitorio
15816,Togüí,2021,0.725750,Transitorio
15469,Moniquirá,2021,1.367923,Transitorio
15740,Siachoque,2021,99.940625,Transitorio
15861,Ventaquemada,2021,99.261736,Transitorio
15632,Saboyá,2021,94.514717,Transitorio
15047,Aquitania,2021,98.282138,Transitorio
15001,Tunja,2021,99.997594,Transitorio
15407,Villa de Leyva,2021,99.513341,Transitorio
15814,Toca,2021,98.585625,Transitorio
15646,Samacá,2021,99.966867,Transitorio
15764,Soracá,2021,99.163182,Transitorio
15051,Arcabuco,2021,95.997320,Transitorio
15804,Tibaná,2021,10.551896,Transitorio
15455,Miraflores,2021,15.762188,Transitorio
15442,Maripí,2021,4.315616,Transitorio
15212,Coper,2021,2.887305,Transitorio
15476,Motavita,2021,99.967050,Transitorio
15232,Chíquiza,2021,100.000000,Transitorio
15776,Sutamarchán,2021,94.151630,Transitorio
15204,Cómbita,2021,85.761830,Transitorio
15839,Tutazá,2021,99.216780,Transitorio
15842,Úmbita,2021,84.303958,Transitorio
15531,Pauna,2021,5.243643,Transitorio
15367,Jenesano,2021,58.064394,Transitorio
15494,Nuevo Colón,2021,30.432553,Transitorio
15763,Sotaquirá,2021,80.315006,Transitorio
15835,Turmequé,2021,56.981382,Transitorio
15109,Buenavista,2021,13.108120,Transitorio
15104,Boyacá,2021,98.228741,Transitorio
15696,Santa Sofía,2021,55.906008,Transitorio
15806,Tibasosa,2021,98.957166,Transitorio
15822,Tota,2021,99.333905,Transitorio
15755,Socotá,2021,78.138477,Transitorio
15542,Pesca,2021,99.894140,Transitorio
15580,Quípama,2021,14.039385,Transitorio
15638,Sáchica,2021,100.000000,Transitorio
15224,Cucaita,2021,99.573217,Transitorio
15832,Tununguá,2021,3.761852,Transitorio
