Año,2020,2021,2022
Instituciones,10.000000,15.000000,17.000000
Infraestructura,13.000000,9.000000,6.000000
Adopción TIC,13.000000,12.000000,11.000000
Sostenibilidad ambiental,18.000000,12.000000,19.000000
Salud,13.000000,12.000000,13.000000
Educación Básica y Media,1.000000,1.000000,1.000000
Educación Superior y Formación para el Trabajo,10.000000,10.000000,10.000000
Entorno para los Negocios,31.000000,29.000000,30.000000
Mercado laboral,9.000000,13.000000,12.000000
Sistema financiero,13.000000,12.000000,11.000000
Tamaño del mercado,15.000000,16.000000,14.000000
Sofisticación y Diversificación,17.000000,21.000000,19.000000
Innovación,8.000000,9.000000,7.000000
Ranking general,10.000000,10.000000,10.000000
