Sector,Año,Valor comprometido,Valor pagado
Agropecuario,2017,27243288247,8491950717
Agua Potable Y Saneamiento Básico (Sin Incluir Proyectos De Vis),2017,32135942315,21075317517
Cultura,2017,29227031199,15373744523
Deporte Y Recreación,2017,45041950051,20221296777
Educación,2017,1435989822192,1278609016461
Salud,2017,291931471137,215420299644
Servicios Públicos Diferentes A Acueducto Alcantarillado Y Aseo (Sin Incluir Proyectos De Vivienda De Interés Social),2017,7458691146,1200460584
Transporte,2017,367148651125,127342848937
Vivienda,2017,16908273772,3577314540
Agropecuario,2018,66004221005,23459491121
Agua Potable Y Saneamiento Básico (Sin Incluir Proyectos De Vis),2018,19126407387,17999763289
Cultura,2018,27081770767,11830307839
Deporte Y Recreación,2018,28161671667,24388395741
Educación,2018,1374156138431,1271559707429
Salud,2018,273417184713,196672274906
Servicios Públicos Diferentes A Acueducto Alcantarillado Y Aseo (Sin Incluir Proyectos De Vivienda De Interés Social),2018,84908962,0
Transporte,2018,470588024122,147139707907
Vivienda,2018,10553556650,4716605268
Agropecuario,2019,37926535777,8837507252
Agua Potable Y Saneamiento Básico (Sin Incluir Proyectos De Vis),2019,29603007399,25758173393
Cultura,2019,56391278944,33654635883
Deporte Y Recreación,2019,52802036295,34601538007
Educación,2019,1551050361981,1350550319791
Salud,2019,424212120914,316951600283
Servicios Públicos Diferentes A Acueducto Alcantarillado Y Aseo (Sin Incluir Proyectos De Vivienda De Interés Social),2019,4220728826,1264902031
Transporte,2019,587265992448,87659116751
Vivienda,2019,67460062981,16439476976
Agropecuario,2020,14291551844,4151654180
Agua Potable Y Saneamiento Básico (Sin Incluir Proyectos De Vis),2020,19086462986,9917938042
Cultura,2020,11831886871,6183882114
Deporte Y Recreación,2020,18232824967,13440019883
Educación,2020,1660297850360,1181385865125
Salud,2020,285923067758,190861118197
Servicios Públicos Diferentes A Acueducto Alcantarillado Y Aseo (Sin Incluir Proyectos De Vivienda De Interés Social),2020,0,0
Transporte,2020,282245434969,40310488706
Vivienda,2020,10830385334,1578240101
Agropecuario,2021,19441200953,7892247874
Agua Potable Y Saneamiento Básico (Sin Incluir Proyectos De Vis),2021,34933701768,22998764914
Cultura,2021,23544397173,16983765477
Deporte Y Recreación,2021,29890925636,25791254179
Educación,2021,1541161303564,1419138058246
Salud,2021,328726383936,258986046516
Servicios Públicos Diferentes A Acueducto Alcantarillado Y Aseo (Sin Incluir Proyectos De Vivienda De Interés Social),2021,1287277679,196625215
Transporte,2021,200573160714,81174897969
Vivienda,2021,21456096629,9111238217
