geo,Municipio,Año,Índice
15022,ALMEIDA,2016,61.280000
15047,AQUITANIA,2016,70.100000
15051,ARCABUCO,2016,67.500000
15087,BELÉN,2016,69.920000
15090,BERBEO,2016,64.610000
15092,BETÉITIVA,2016,56.130000
15097,BOAVITA,2016,65.530000
15104,BOYACÁ,2016,67.210000
15106,BRICEÑO,2016,60.110000
15109,BUENAVISTA,2016,62.860000
15114,BUSBANZÁ,2016,63.680000
15131,CALDAS,2016,64.120000
15135,CAMPOHERMOSO,2016,77.110000
15162,CERINZA,2016,58.270000
15172,CHINAVITA,2016,60.240000
15176,CHIQUINQUIRÁ,2016,73.460000
15232,CHÍQUIZA,2016,61.260000
15180,CHISCAS,2016,67.010000
15183,CHITA,2016,69.400000
15185,CHITARAQUE,2016,63.640000
15187,CHIVATÁ,2016,61.830000
15236,CHIVOR,2016,61.880000
15189,CIÉNEGA,2016,65.530000
15204,CÓMBITA,2016,72.100000
15212,COPER,2016,57.910000
15215,CORRALES,2016,64.520000
15218,COVARACHÍA,2016,57.550000
15223,CUBARÁ,2016,69.610000
15224,CUCAITA,2016,59.840000
15226,CUÍTIVA,2016,60.140000
15238,DUITAMA,2016,76.940000
15244,EL COCUY,2016,63.580000
15248,EL ESPINO,2016,62.010000
15272,FIRAVITOBA,2016,71.690000
15276,FLORESTA,2016,65.370000
15293,GACHANTIVÁ,2016,64.060000
15296,GÁMEZA,2016,62.210000
15299,GARAGOA,2016,77.250000
15317,GUACAMAYAS,2016,59.180000
15322,GUATEQUE,2016,69.460000
15325,GUAYATÁ,2016,59.200000
15332,GÜICÁN DE LA SIERRA,2016,64.310000
15362,IZA,2016,76.300000
15367,JENESANO,2016,80.180000
15368,JERICÓ,2016,63.550000
15380,LA CAPILLA,2016,58.510000
15403,LA UVITA,2016,59.630000
15401,LA VICTORIA,2016,51.210000
15377,LABRANZAGRANDE,2016,68.450000
15425,MACANAL,2016,64.440000
15442,MARIPÍ,2016,65.320000
15455,MIRAFLORES,2016,81.900000
15464,MONGUA,2016,68.780000
15466,MONGUÍ,2016,62.180000
15469,MONIQUIRÁ,2016,75.410000
15476,MOTAVITA,2016,65.490000
15480,MUZO,2016,70.780000
15491,NOBSA,2016,88.670000
15494,NUEVO COLÓN,2016,64.970000
15500,OICATÁ,2016,64.300000
15507,OTANCHE,2016,83.700000
15511,PACHAVITA,2016,65.210000
15514,PÁEZ,2016,85.100000
15516,PAIPA,2016,79.820000
15518,PAJARITO,2016,59.530000
15522,PANQUEBA,2016,52.570000
15531,PAUNA,2016,62.810000
15533,PAYA,2016,61.220000
15537,PAZ DE RÍO,2016,71.950000
15542,PESCA,2016,65.430000
15550,PISBA,2016,59.670000
15572,PUERTO BOYACÁ,2016,76.320000
15580,QUÍPAMA,2016,66.280000
15599,RAMIRIQUÍ,2016,70.970000
15600,RÁQUIRA,2016,64.610000
15621,RONDÓN,2016,58.180000
15632,SABOYÁ,2016,72.470000
15638,SÁCHICA,2016,75.550000
15646,SAMACÁ,2016,78.400000
15660,SAN EDUARDO,2016,56.690000
15664,SAN JOSÉ DE PARE,2016,66.950000
15667,SAN LUIS DE GACENO,2016,63.430000
15673,SAN MATEO,2016,62.410000
15676,SAN MIGUEL DE SEMA,2016,67.740000
15681,SAN PABLO DE BORBUR,2016,61.940000
15690,SANTA MARÍA,2016,76.440000
15693,SANTA ROSA DE VITERBO,2016,66.690000
15696,SANTA SOFÍA,2016,81.980000
15686,SANTANA,2016,65.750000
15720,SATIVANORTE,2016,63.210000
15723,SATIVASUR,2016,59.350000
15740,SIACHOQUE,2016,63.340000
15753,SOATÁ,2016,63.080000
15757,SOCHA,2016,69.740000
15755,SOCOTÁ,2016,60.250000
15759,SOGAMOSO,2016,78.050000
15761,SOMONDOCO,2016,63.420000
15762,SORA,2016,56.080000
15764,SORACÁ,2016,65.130000
15763,SOTAQUIRÁ,2016,73.860000
15774,SUSACÓN,2016,56.560000
15776,SUTAMARCHÁN,2016,69.110000
15778,SUTATENZA,2016,63.520000
15790,TASCO,2016,57.730000
15798,TENZA,2016,66.040000
15804,TIBANÁ,2016,69.650000
15806,TIBASOSA,2016,82.390000
