geo,Municipio,Índice promedio 2016-2020
15022,ALMEIDA,61.713627
15047,AQUITANIA,70.772281
15051,ARCABUCO,71.903471
15087,BELÉN,68.537468
15090,BERBEO,60.459327
15092,BETÉITIVA,61.669082
15097,BOAVITA,62.206330
15104,BOYACÁ,70.251325
15106,BRICEÑO,62.589023
15109,BUENAVISTA,62.960939
15114,BUSBANZá,63.912025
15131,CALDAS,64.783192
15135,CAMPOHERMOSO,78.531725
15162,CERINZA,63.287537
15172,CHINAVITA,63.278268
15176,CHIQUINQUIRá,75.018661
15232,CHíQUIZA,64.618083
15180,CHISCAS,63.522959
15183,CHITA,65.481666
15185,CHITARAQUE,64.530412
15187,CHIVATÁ,65.751938
15236,CHIVOR,64.004607
15189,CIÉNEGA,63.976824
15204,CÓMBITA,69.425197
15212,COPER,60.652765
15215,CORRALES,67.748039
15218,COVARACHÍA,61.378098
15223,CUBARÁ,63.313109
15224,CUCAITA,62.964707
15226,CUÍTIVA,64.830900
15238,DUITAMA,76.312847
15244,EL COCUY,65.290833
15248,EL ESPINO,64.423866
15272,FIRAVITOBA,68.677417
15276,FLORESTA,66.824871
15293,GACHANTIVÁ,65.573635
15296,GÁMEZA,64.634496
15299,GARAGOA,74.102415
15317,GUACAMAYAS,61.286156
15322,GUATEQUE,72.335303
15325,GUAYATÁ,64.394879
15332,GÜICÁN DE LA SIERRA,64.327403
15362,IZA,68.245018
15367,JENESANO,79.978783
15368,JERICÓ,63.579744
15380,LA CAPILLA,63.788135
15403,LA UVITA,62.668302
15401,LA VICTORIA,57.986363
15377,LABRANZAGRANDE,67.243520
15425,MACANAL,67.953225
15442,MARIPÍ,70.021352
15455,MIRAFLORES,79.464854
15464,MONGUA,66.876266
15466,MONGUÍ,67.057893
15469,MONIQUIRÁ,75.588075
15476,MOTAVITA,67.297850
15480,MUZO,74.920044
15491,NOBSA,84.375730
15494,NUEVO COLÓN,69.603222
15500,OICATÁ,69.484730
15507,OTANCHE,81.767687
15511,PACHAVITA,69.562353
15514,PÁEZ,82.504033
15516,PAIPA,76.580000
15518,PAJARITO,63.277588
15522,PANQUEBA,58.625292
15531,PAUNA,63.473260
15533,PAYA,65.882628
15537,PAZ DE RÍO,70.679387
15542,PESCA,63.771700
15550,PISBA,67.132768
15572,PUERTO BOYACÁ,74.016627
15580,QUÍPAMA,68.146365
15599,RAMIRIQUÍ,72.274068
15600,RÁQUIRA,65.359231
15621,RONDÓN,59.194835
15632,SABOYÁ,72.054753
15638,SÁCHICA,78.725708
15646,SAMACÁ,77.548125
15660,SAN EDUARDO,62.972335
15664,SAN JOSÉ DE PARE,67.769734
15667,SAN LUIS DE GACENO,64.001437
15673,SAN MATEO,63.581180
15676,SAN MIGUEL DE SEMA,69.184904
15681,SAN PABLO DE BORBUR,67.319181
15690,SANTA MARÍA,77.812842
15693,SANTA ROSA DE VITERBO,69.114999
15696,SANTA SOFÍA,78.505247
15686,SANTANA,71.557358
15720,SATIVANORTE,61.173416
15723,SATIVASUR,62.258230
15740,SIACHOQUE,65.253235
15753,SOATÁ,66.222882
15757,SOCHA,72.848418
15755,SOCOTÁ,64.447260
15759,SOGAMOSO,75.162778
15761,SOMONDOCO,64.161769
15762,SORA,64.330232
15764,SORACÁ,66.731055
15763,SOTAQUIRÁ,74.947997
15774,SUSACÓN,59.882416
15776,SUTAMARCHÁN,72.102180
15778,SUTATENZA,64.607228
15790,TASCO,61.784671
15798,TENZA,67.011614
15804,TIBANÁ,73.366947
15806,TIBASOSA,78.327905
15808,TINJACÁ,61.965407
15810,TIPACOQUE,64.493730
15814,TOCA,64.756334
15816,TOGÜÍ,65.658099
15820,TÓPAGA,66.738394
15822,TOTA,69.025867
15001,TUNJA,77.409244
15832,TUNUNGUÁ,71.903626
15835,TURMEQUÉ,68.606791
15837,TUTA,81.761589
15839,TUTAZÁ,66.161871
15842,ÚMBITA,70.146109
15861,VENTAQUEMADA,78.264491
15407,VILLA DE LEYVA,81.122280
15879,VIRACACHÁ,60.706897
15897,ZETAQUIRA,80.797913
