geo,Municipio,Año,Rango de clasificación
15001,Tunja,2016,4. Sostenible (>=70 y <80)
15022,Almeida,2016,3. Vulnerable (>=60 y <70)
15047,Aquitania,2016,4. Sostenible (>=70 y <80)
15051,Arcabuco,2016,3. Vulnerable (>=60 y <70)
15087,Belen,2016,3. Vulnerable (>=60 y <70)
15090,Berbeo,2016,3. Vulnerable (>=60 y <70)
15092,Beteitiva,2016,2. Riesgo (>=40 y <60)
15097,Boavita,2016,3. Vulnerable (>=60 y <70)
15104,Boyaca,2016,3. Vulnerable (>=60 y <70)
15106,Briceðo,2016,3. Vulnerable (>=60 y <70)
15109,Buenavista,2016,3. Vulnerable (>=60 y <70)
15114,Busbanza,2016,3. Vulnerable (>=60 y <70)
15131,Caldas,2016,3. Vulnerable (>=60 y <70)
15135,Campohermoso,2016,4. Sostenible (>=70 y <80)
15162,Cerinza,2016,2. Riesgo (>=40 y <60)
15172,Chinavita,2016,3. Vulnerable (>=60 y <70)
15176,Chiquinquira,2016,4. Sostenible (>=70 y <80)
15180,Chiscas,2016,3. Vulnerable (>=60 y <70)
15183,Chita,2016,3. Vulnerable (>=60 y <70)
15185,Chitaraque,2016,3. Vulnerable (>=60 y <70)
15187,Chivata,2016,3. Vulnerable (>=60 y <70)
15189,Cienaga,2016,3. Vulnerable (>=60 y <70)
15204,Combita,2016,4. Sostenible (>=70 y <80)
15212,Coper,2016,2. Riesgo (>=40 y <60)
15215,Corrales,2016,3. Vulnerable (>=60 y <70)
15218,Covarachia,2016,2. Riesgo (>=40 y <60)
15223,Cubara,2016,3. Vulnerable (>=60 y <70)
15224,Cucaita,2016,2. Riesgo (>=40 y <60)
15226,Cuitiva,2016,3. Vulnerable (>=60 y <70)
15232,Chiquiza,2016,3. Vulnerable (>=60 y <70)
15236,Chivor,2016,3. Vulnerable (>=60 y <70)
15238,Duitama,2016,4. Sostenible (>=70 y <80)
15244,El Cocuy,2016,3. Vulnerable (>=60 y <70)
15248,El Espino,2016,3. Vulnerable (>=60 y <70)
15272,Firavitoba,2016,4. Sostenible (>=70 y <80)
15276,Floresta,2016,3. Vulnerable (>=60 y <70)
15293,Gachantiva,2016,3. Vulnerable (>=60 y <70)
15296,Gameza,2016,3. Vulnerable (>=60 y <70)
15299,Garagoa,2016,4. Sostenible (>=70 y <80)
15317,Guacamayas,2016,2. Riesgo (>=40 y <60)
15322,Guateque,2016,3. Vulnerable (>=60 y <70)
15325,Guayata,2016,2. Riesgo (>=40 y <60)
15332,Guican,2016,3. Vulnerable (>=60 y <70)
15362,Iza,2016,4. Sostenible (>=70 y <80)
15367,Jenesano,2016,5. Solvente (>=80)
15368,Jerico,2016,3. Vulnerable (>=60 y <70)
15377,Labranzagrande,2016,3. Vulnerable (>=60 y <70)
15380,La Capilla,2016,2. Riesgo (>=40 y <60)
15401,La Victoria,2016,2. Riesgo (>=40 y <60)
15403,La Uvita,2016,2. Riesgo (>=40 y <60)
15407,Villa De Leyva,2016,5. Solvente (>=80)
15425,Macanal,2016,3. Vulnerable (>=60 y <70)
15442,Maripi,2016,3. Vulnerable (>=60 y <70)
15455,Miraflores,2016,5. Solvente (>=80)
15464,Mongua,2016,3. Vulnerable (>=60 y <70)
15466,Mongui,2016,3. Vulnerable (>=60 y <70)
15469,Moniquira,2016,4. Sostenible (>=70 y <80)
15476,Motavita,2016,3. Vulnerable (>=60 y <70)
