Nombre del gasto,Año,Valor
Administración Del Estado,2016,0
Carreteras¬ Caminos¬ Puentes Y Similares,2016,2916489425
Dotación,2016,3389382571
Gastos Operativos De Inversión - Sgr,2016,517074419
Infraestructura,2016,0
Investigación Y Estudios,2016,17175404751
Recurso Humano,2016,16667728621
Subsidios Y Operaciones Financieras,2016,50757605010
Administración Del Estado,2017,1905590135
Carreteras¬ Caminos¬ Puentes Y Similares,2017,266357574196
Dotación,2017,84380511
Gastos Operativos De Inversión - Sgr,2017,809923746
Infraestructura,2017,0
Investigación Y Estudios,2017,51480368956
Recurso Humano,2017,25164836399
Subsidios Y Operaciones Financieras,2017,245908830020
Administración Del Estado,2018,22342313727
Carreteras¬ Caminos¬ Puentes Y Similares,2018,0
Dotación,2018,34532391743
Gastos Operativos De Inversión - Sgr,2018,2679868040
Infraestructura,2018,558391909734
Investigación Y Estudios,2018,88198815878
Recurso Humano,2018,48817872191
Subsidios Y Operaciones Financieras,2018,423249880231
Administración Del Estado,2019,89079242038
Carreteras¬ Caminos¬ Puentes Y Similares,2019,0
Dotación,2019,30188714786
Gastos Operativos De Inversión - Sgr,2019,4121885297
Infraestructura,2019,542570346624
Investigación Y Estudios,2019,98957285240
Recurso Humano,2019,31631795463
Subsidios Y Operaciones Financieras,2019,181767432931
Administración Del Estado,2020,81840772573
Carreteras¬ Caminos¬ Puentes Y Similares,2020,0
Dotación,2020,35498416120
Gastos Operativos De Inversión - Sgr,2020,7147076784
Infraestructura,2020,745352380103
Investigación Y Estudios,2020,162268126334
Recurso Humano,2020,32320176548
Subsidios Y Operaciones Financieras,2020,240951537341
