Categoría,Año,Recaudo
Fondo De Ciencia¬ Tecnología E Innovación,2016,24980694609
Fondo De Compensación Regional,2016,176863028311
Fondo De Desarrollo Regional,2016,42299943207
Recursos Para La Paz,2016,
S. G. R. - Asignaciones Directas Y/O Compensaciones,2016,110388372269
Fondo De Ciencia¬ Tecnología E Innovación,2017,63770946390
Fondo De Compensación Regional,2017,310373063473
Fondo De Desarrollo Regional,2017,57538642408
Recursos Para La Paz,2017,
S. G. R. - Asignaciones Directas Y/O Compensaciones,2017,81430757152
Fondo De Ciencia¬ Tecnología E Innovación,2018,38549598563
Fondo De Compensación Regional,2018,486261421456
Fondo De Desarrollo Regional,2018,64376111853
Recursos Para La Paz,2018,12152583188
S. G. R. - Asignaciones Directas Y/O Compensaciones,2018,193782833016
Fondo De Ciencia¬ Tecnología E Innovación,2019,48792351594
Fondo De Compensación Regional,2019,231567430916
Fondo De Desarrollo Regional,2019,33660702069
Recursos Para La Paz,2019,26842123371
S. G. R. - Asignaciones Directas Y/O Compensaciones,2019,209491912333
Fondo De Ciencia¬ Tecnología E Innovación,2020,65179595818
Fondo De Compensación Regional,2020,276248338473
Fondo De Desarrollo Regional,2020,71977149682
Recursos Para La Paz,2020,80526370113
S. G. R. - Asignaciones Directas Y/O Compensaciones,2020,245892905105
