Nombre de la cuenta,Año,Valor por pagar,Valor pagado
Agropecuario,2017,1068324376,1068324376
Agua Potable Y Saneamiento Básico (Sin Incluir Proyectos De Vis),2017,86354331,115139108
Cultura,2017,432799788,432799788
Deporte Y Recreación,2017,15115188,15115188
Educación,2017,17150264352,17150264352
Prevencion Y Atencion De Desastres,2017,1075939,1075939
Salud,2017,12584530236,12584530236
Transporte,2017,8377006980,8377006980
Vivienda,2017,0,0
Agropecuario,2018,3224902544,3224902544
Agua Potable Y Saneamiento Básico (Sin Incluir Proyectos De Vis),2018,160574368,160574368
Cultura,2018,227817600,227817600
Deporte Y Recreación,2018,455068920,455068920
Educación,2018,12668399716,12668399716
Prevencion Y Atencion De Desastres,2018,1623084416,1623084416
Salud,2018,6238107436,6238107436
Transporte,2018,788083332,788083332
Vivienda,2018,0,0
Agropecuario,2019,2130421504,2130421504
Agua Potable Y Saneamiento Básico (Sin Incluir Proyectos De Vis),2019,0,0
Cultura,2019,1932240898,1932240898
Deporte Y Recreación,2019,590771419,590771419
Educación,2019,25105818454,25105818454
Prevencion Y Atencion De Desastres,2019,0,0
Salud,2019,2502822708,2502822708
Transporte,2019,2951573070,2951573070
Vivienda,2019,0,0
Agropecuario,2020,124786700,500276150
Agua Potable Y Saneamiento Básico (Sin Incluir Proyectos De Vis),2020,238633408,238633408
Cultura,2020,575836968,575836968
Deporte Y Recreación,2020,5351790880,5351790880
Educación,2020,70023989557,72856985888
Prevencion Y Atencion De Desastres,2020,0,0
Salud,2020,2440950024,2440950024
Transporte,2020,788500148,788500148
Vivienda,2020,3365328912,3365328912
Agropecuario,2020,267485002,287485002
Agua Potable Y Saneamiento Básico (Sin Incluir Proyectos De Vis),2020,99238305,99238305
Cultura,2020,947231787,947231787
Deporte Y Recreación,2020,2532218658,2532218658
Educación,2020,5997966192,5997966192
Prevencion Y Atencion De Desastres,2020,0,0
Salud,2020,1822437210,1822437210
Transporte,2020,674956698,674956698
Vivienda,2020,1020409269,1020409269
