geo,Municipio,Año,Posición
15022,ALMEIDA,2016,167
15047,AQUITANIA,2016,124
15051,ARCABUCO,2016,108
15087,BELEN,2016,166
15090,BERBEO,2016,41
15092,BETEITIVA,2016,98
15097,BOAVITA,2016,43
15104,BOYACA,2016,139
15106,BRICEÐO,2016,83
15109,BUENAVISTA,2016,17
15114,BUSBANZA,2016,207
15131,CALDAS,2016,170
15135,CAMPOHERMOSO,2016,88
15162,CERINZA,2016,153
15172,CHINAVITA,2016,79
15176,CHIQUINQUIRA,2016,119
15232,CHIQUIZA,2016,149
15180,CHISCAS,2016,174
15183,CHITA,2016,100
15185,CHITARAQUE,2016,131
15187,CHIVATA,2016,121
15236,CHIVOR,2016,103
15189,CIENAGA,2016,65
15204,COMBITA,2016,13
15212,COPER,2016,169
15215,CORRALES,2016,134
15218,COVARACHIA,2016,163
15223,CUBARA,2016,50
15224,CUCAITA,2016,119
15226,CUITIVA,2016,112
15238,DUITAMA,2016,81
15244,EL COCUY,2016,90
15248,EL ESPINO,2016,66
15272,FIRAVITOBA,2016,85
15276,FLORESTA,2016,73
15293,GACHANTIVA,2016,26
15296,GAMEZA,2016,138
15299,GARAGOA,2016,15
15317,GUACAMAYAS,2016,148
15322,GUATEQUE,2016,200
15325,GUAYATA,2016,183
15332,GUICAN,2016,45
15362,IZA,2016,136
15367,JENESANO,2016,105
15368,JERICO,2016,50
15380,LA CAPILLA,2016,162
15403,LA UVITA,2016,146
15401,LA VICTORIA,2016,201
15377,LABRANZAGRANDE,2016,33
15425,MACANAL,2016,65
15442,MARIPI,2016,57
15455,MIRAFLORES,2016,184
15464,MONGUA,2016,133
15466,MONGUI,2016,110
15469,MONIQUIRA,2016,29
15476,MOTAVITA,2016,128
15480,MUZO,2016,51
15491,NOBSA,2016,58
15494,NUEVO COLON,2016,12
15500,OICATA,2016,216
15507,OTANCHE,2016,151
15511,PACHAVITA,2016,201
15514,PAEZ,2016,91
15516,PAIPA,2016,39
15518,PAJARITO,2016,172
15522,PANQUEBA,2016,183
15531,PAUNA,2016,30
15533,PAYA,2016,140
15537,PAZ DE RIO,2016,82
15542,PESCA,2016,150
15550,PISVA,2016,208
15572,PUERTO BOYACA,2016,45
15580,QUIPAMA,2016,102
15599,RAMIRIQUI,2016,150
15600,RAQUIRA,2016,1
15621,RONDON,2016,177
15632,SABOYA,2016,60
15638,SACHICA,2016,203
15646,SAMACA,2016,94
15660,SAN EDUARDO,2016,204
15664,SAN JOSE DE PARE,2016,122
15667,SAN LUIS DE GACENO,2016,56
15673,SAN MATEO,2016,165
15676,SAN MIGUEL DE SEMA,2016,33
15681,SAN PABLO DE BORBUR,2016,10
15690,SANTA MARIA,2016,112
15693,SANTA ROSA DE VITERB,2016,122
15696,SANTA SOFIA,2016,144
15686,SANTANA,2016,192
15720,SATIVANORTE,2016,202
15723,SATIVASUR,2016,158
15740,SIACHOQUE,2016,81
15753,SOATA,2016,25
15757,SOCHA,2016,51
15755,SOCOTA,2016,54
15759,SOGAMOSO,2016,82
15761,SOMONDOCO,2016,178
15762,SORA,2016,70
15764,SORACA,2016,127
15763,SOTAQUIRA,2016,4
15774,SUSACON,2016,79
15776,SUTAMARCHAN,2016,100
