geo,Municipio,Año,Puntaje
15001,TUNJA,2016,62.182423
15022,ALMEIDA,2016,46.106116
15047,AQUITANIA,2016,50.150204
15051,ARCABUCO,2016,57.064320
15087,BELEN,2016,46.993152
15090,BERBEO,2016,53.119900
15092,BETEITIVA,2016,47.848027
15097,BOAVITA,2016,48.949355
15104,BOYACA,2016,54.885180
15106,BRICEÐO,2016,50.285285
15109,BUENAVISTA,2016,53.069910
15114,BUSBANZA,2016,45.797843
15131,CALDAS,2016,40.437740
15135,CAMPOHERMOSO,2016,53.826789
15162,CERINZA,2016,47.969573
15172,CHINAVITA,2016,53.937372
15176,CHIQUINQUIRA,2016,56.089034
15180,CHISCAS,2016,38.179886
15183,CHITA,2016,40.904455
15185,CHITARAQUE,2016,45.218085
15187,CHIVATA,2016,46.121097
15189,CIENAGA,2016,50.642551
15204,COMBITA,2016,57.619526
15212,COPER,2016,38.330099
15215,CORRALES,2016,55.589502
15218,COVARACHIA,2016,40.491358
15223,CUBARA,2016,50.840526
15224,CUCAITA,2016,49.932884
15226,CUITIVA,2016,50.149725
15232,CHIQUIZA,2016,40.555697
15236,CHIVOR,2016,51.226775
15238,DUITAMA,2016,61.680064
15244,EL COCUY,2016,48.011964
15248,EL ESPINO,2016,46.921676
15272,FIRAVITOBA,2016,52.588614
15276,FLORESTA,2016,46.046683
15293,GACHANTIVA,2016,59.287688
15296,GAMEZA,2016,41.362431
15299,GARAGOA,2016,58.953687
15317,GUACAMAYAS,2016,44.932997
15322,GUATEQUE,2016,45.437212
15325,GUAYATA,2016,40.589763
15332,GUICAN,2016,45.196467
15362,IZA,2016,53.181347
15367,JENESANO,2016,50.509094
15368,JERICO,2016,48.327941
15377,LABRANZAGRANDE,2016,49.993675
15380,LA CAPILLA,2016,45.604152
15401,LA VICTORIA,2016,36.669304
15403,LA UVITA,2016,47.599168
15407,VILLA DE LEYVA,2016,54.434753
15425,MACANAL,2016,55.210439
15442,MARIPI,2016,47.538109
15455,MIRAFLORES,2016,48.347730
15464,MONGUA,2016,45.253954
15466,MONGUI,2016,46.518967
15469,MONIQUIRA,2016,57.316970
15476,MOTAVITA,2016,46.038510
15480,MUZO,2016,52.587270
15491,NOBSA,2016,62.477229
15494,NUEVO COLON,2016,56.537062
15500,OICATA,2016,34.585726
15507,OTANCHE,2016,48.895235
15511,PACHAVITA,2016,40.599387
15514,PAEZ,2016,53.138018
15516,PAIPA,2016,66.822875
15518,PAJARITO,2016,50.556611
15522,PANQUEBA,2016,45.513221
15531,PAUNA,2016,50.098181
15533,PAYA,2016,38.447772
15537,PAZ DE RIO,2016,49.169705
15542,PESCA,2016,40.179109
15550,PISVA,2016,36.593516
15572,PUERTO BOYACA,2016,65.244460
15580,QUIPAMA,2016,41.524043
15599,RAMIRIQUI,2016,48.635636
15600,RAQUIRA,2016,56.903200
15621,RONDON,2016,38.684119
15632,SABOYA,2016,51.542353
15638,SACHICA,2016,45.376889
15646,SAMACA,2016,58.367621
15660,SAN EDUARDO,2016,39.218805
15664,SAN JOSE DE PARE,2016,44.436488
15667,SAN LUIS DE GACENO,2016,62.686073
15673,SAN MATEO,2016,41.186505
15676,SAN MIGUEL DE SEMA,2016,57.155213
15681,SAN PABLO DE BORBUR,2016,49.839840
15686,SANTANA,2016,43.386457
15690,SANTA MARIA,2016,55.106533
15693,SANTA ROSA DE VITERB,2016,45.184848
15696,SANTA SOFIA,2016,48.408811
