geo,Municipio,Año,Puntaje en resultados
15001,TUNJA,2016,69.682545
15022,ALMEIDA,2016,66.007213
15047,AQUITANIA,2016,68.239253
15051,ARCABUCO,2016,71.602611
15087,BELEN,2016,74.954900
15090,BERBEO,2016,69.011022
15092,BETEITIVA,2016,64.214584
15097,BOAVITA,2016,73.589269
15104,BOYACA,2016,67.217469
15106,BRICEÐO,2016,67.428365
15109,BUENAVISTA,2016,61.704887
15114,BUSBANZA,2016,56.601637
15131,CALDAS,2016,69.294617
15135,CAMPOHERMOSO,2016,62.402916
15162,CERINZA,2016,66.378548
15172,CHINAVITA,2016,68.452967
15176,CHIQUINQUIRA,2016,68.601083
15180,CHISCAS,2016,69.372089
15183,CHITA,2016,67.442570
15185,CHITARAQUE,2016,68.024949
15187,CHIVATA,2016,56.951445
15189,CIENAGA,2016,74.324409
15204,COMBITA,2016,64.469019
15212,COPER,2016,62.839946
15215,CORRALES,2016,69.364221
15218,COVARACHIA,2016,62.625650
15223,CUBARA,2016,66.488829
15224,CUCAITA,2016,66.609537
15226,CUITIVA,2016,65.360282
15232,CHIQUIZA,2016,67.508783
15236,CHIVOR,2016,66.417311
15238,DUITAMA,2016,70.929409
15244,EL COCUY,2016,69.279246
15248,EL ESPINO,2016,72.219365
15272,FIRAVITOBA,2016,66.694393
15276,FLORESTA,2016,71.686710
15293,GACHANTIVA,2016,73.027860
15296,GAMEZA,2016,66.657043
15299,GARAGOA,2016,76.480611
15317,GUACAMAYAS,2016,62.488497
15322,GUATEQUE,2016,72.243219
15325,GUAYATA,2016,66.398581
15332,GUICAN,2016,60.831885
15362,IZA,2016,73.185399
15367,JENESANO,2016,69.604020
15368,JERICO,2016,69.120940
15377,LABRANZAGRANDE,2016,54.576206
15380,LA CAPILLA,2016,76.603541
15401,LA VICTORIA,2016,55.888626
15403,LA UVITA,2016,75.115462
15407,VILLA DE LEYVA,2016,68.631763
15425,MACANAL,2016,64.479873
15442,MARIPI,2016,62.878746
15455,MIRAFLORES,2016,69.207244
15464,MONGUA,2016,67.102930
15466,MONGUI,2016,66.016961
15469,MONIQUIRA,2016,70.061673
15476,MOTAVITA,2016,61.294952
15480,MUZO,2016,64.764153
15491,NOBSA,2016,70.261308
15494,NUEVO COLON,2016,69.333988
15500,OICATA,2016,59.556577
15507,OTANCHE,2016,65.035065
15511,PACHAVITA,2016,63.752177
15514,PAEZ,2016,68.157134
15516,PAIPA,2016,75.588335
15518,PAJARITO,2016,68.338460
15522,PANQUEBA,2016,79.220244
15531,PAUNA,2016,63.576932
15533,PAYA,2016,62.875887
15537,PAZ DE RIO,2016,68.425854
15542,PESCA,2016,67.560184
15550,PISVA,2016,58.299896
15572,PUERTO BOYACA,2016,71.370103
15580,QUIPAMA,2016,59.431477
15599,RAMIRIQUI,2016,70.448628
15600,RAQUIRA,2016,55.431875
15621,RONDON,2016,66.556046
15632,SABOYA,2016,69.066337
15638,SACHICA,2016,72.080089
15646,SAMACA,2016,70.346162
15660,SAN EDUARDO,2016,67.091089
15664,SAN JOSE DE PARE,2016,59.418647
15667,SAN LUIS DE GACENO,2016,75.195395
15673,SAN MATEO,2016,71.518992
15676,SAN MIGUEL DE SEMA,2016,66.841619
15681,SAN PABLO DE BORBUR,2016,63.719693
15686,SANTANA,2016,66.581685
15690,SANTA MARIA,2016,69.469739
15693,SANTA ROSA DE VITERB,2016,67.325229
15696,SANTA SOFIA,2016,72.585362
15720,SATIVANORTE,2016,70.874014
15723,SATIVASUR,2016,72.419259
15740,SIACHOQUE,2016,68.604539
15753,SOATA,2016,76.592599
15755,SOCOTA,2016,67.632955
15757,SOCHA,2016,75.432385
15759,SOGAMOSO,2016,73.602308
15761,SOMONDOCO,2016,65.558772
15762,SORA,2016,67.011279
15763,SOTAQUIRA,2016,64.659208
15764,SORACA,2016,71.354399
15774,SUSACON,2016,63.453681
15776,SUTAMARCHAN,2016,67.404300
15778,SUTATENZA,2016,65.954803
15790,TASCO,2016,70.364360
15798,TENZA,2016,71.007275
15804,TIBANA,2016,68.410349
15806,TIBASOSA,2016,68.270702
15808,TINJACA,2016,60.588986
15810,TIPACOQUE,2016,70.872861
15814,TOCA,2016,74.074284
15816,TOGUI,2016,62.543609
15820,TOPAGA,2016,68.464443
15822,TOTA,2016,69.391049
15832,TUNUNGUA,2016,65.109938
15835,TURMEQUE,2016,73.316691
15837,TUTA,2016,65.015046
15839,TUTASA,2016,77.259107
15842,UMBITA,2016,66.161600
15861,VENTAQUEMADA,2016,65.958374
15879,VIRACACHA,2016,60.241678
15897,ZETAQUIRA,2016,66.178161
15001,TUNJA,2017,66.776599
15022,ALMEIDA,2017,67.058339
15047,AQUITANIA,2017,66.193732
15051,ARCABUCO,2017,70.666145
15087,BELEN,2017,74.154195
15090,BERBEO,2017,65.544264
15092,BETEITIVA,2017,62.126496
15097,BOAVITA,2017,71.060548
15104,BOYACA,2017,74.237643
15106,BRICEÐO,2017,69.063389
15109,BUENAVISTA,2017,62.708400
15114,BUSBANZA,2017,63.735286
15131,CALDAS,2017,67.547644
15135,CAMPOHERMOSO,2017,62.689028
15162,CERINZA,2017,67.118412
15172,CHINAVITA,2017,71.705028
15176,CHIQUINQUIRA,2017,69.767223
15180,CHISCAS,2017,67.486085
15183,CHITA,2017,69.393178
15185,CHITARAQUE,2017,64.268486
15187,CHIVATA,2017,59.849512
15189,CIENAGA,2017,77.003352
15204,COMBITA,2017,60.597910
15212,COPER,2017,66.305977
15215,CORRALES,2017,72.004791
15218,COVARACHIA,2017,65.114990
15223,CUBARA,2017,65.348451
15224,CUCAITA,2017,65.324404
15226,CUITIVA,2017,59.892420
15232,CHIQUIZA,2017,66.239134
