geo,Municipio,Año,Puntaje general
15001,TUNJA,2016,61.252669
15022,ALMEIDA,2016,46.468394
15047,AQUITANIA,2016,49.844620
15051,ARCABUCO,2016,56.806578
15087,BELEN,2016,46.484640
15090,BERBEO,2016,53.053538
15092,BETEITIVA,2016,47.664217
15097,BOAVITA,2016,49.369979
15104,BOYACA,2016,53.603452
15106,BRICEÐO,2016,48.950670
15109,BUENAVISTA,2016,52.022550
15114,BUSBANZA,2016,43.260659
15131,CALDAS,2016,41.361723
15135,CAMPOHERMOSO,2016,52.747215
15162,CERINZA,2016,47.817176
15172,CHINAVITA,2016,53.517672
15176,CHIQUINQUIRA,2016,55.501510
15180,CHISCAS,2016,38.616609
15183,CHITA,2016,41.365994
15185,CHITARAQUE,2016,44.947708
15187,CHIVATA,2016,45.545058
15189,CIENAGA,2016,50.529019
15204,COMBITA,2016,56.398407
15212,COPER,2016,38.869149
15215,CORRALES,2016,54.307444
15218,COVARACHIA,2016,39.534095
15223,CUBARA,2016,51.663700
15224,CUCAITA,2016,50.232899
15226,CUITIVA,2016,50.579105
15232,CHIQUIZA,2016,40.721841
15236,CHIVOR,2016,51.150673
15238,DUITAMA,2016,60.358706
15244,EL COCUY,2016,48.354504
15248,EL ESPINO,2016,47.062285
15272,FIRAVITOBA,2016,52.871830
15276,FLORESTA,2016,46.296161
15293,GACHANTIVA,2016,58.354877
15296,GAMEZA,2016,41.410627
15299,GARAGOA,2016,60.232099
15317,GUACAMAYAS,2016,43.237199
15322,GUATEQUE,2016,44.949971
15325,GUAYATA,2016,39.893702
15332,GUICAN,2016,45.873121
15362,IZA,2016,54.009177
15367,JENESANO,2016,51.119189
15368,JERICO,2016,48.703048
15377,LABRANZAGRANDE,2016,50.403488
15380,LA CAPILLA,2016,47.066917
15401,LA VICTORIA,2016,36.544522
15403,LA UVITA,2016,48.441223
15407,VILLA DE LEYVA,2016,53.028220
15425,MACANAL,2016,55.179525
15442,MARIPI,2016,47.702012
15455,MIRAFLORES,2016,47.717429
15464,MONGUA,2016,44.704581
15466,MONGUI,2016,46.356444
15469,MONIQUIRA,2016,57.813984
15476,MOTAVITA,2016,45.056467
15480,MUZO,2016,51.579641
15491,NOBSA,2016,63.298968
15494,NUEVO COLON,2016,56.619432
15500,OICATA,2016,33.780454
15507,OTANCHE,2016,48.033866
15511,PACHAVITA,2016,39.532167
15514,PAEZ,2016,52.176557
15516,PAIPA,2016,66.750507
15518,PAJARITO,2016,49.645504
15522,PANQUEBA,2016,44.486677
15531,PAUNA,2016,50.551833
15533,PAYA,2016,37.847379
15537,PAZ DE RIO,2016,48.950986
15542,PESCA,2016,40.551169
15550,PISVA,2016,36.803946
15572,PUERTO BOYACA,2016,65.366012
15580,QUIPAMA,2016,41.131395
15599,RAMIRIQUI,2016,48.156598
15600,RAQUIRA,2016,57.259964
15621,RONDON,2016,38.288124
15632,SABOYA,2016,50.883464
15638,SACHICA,2016,44.576220
15646,SAMACA,2016,58.636190
15660,SAN EDUARDO,2016,38.545754
15664,SAN JOSE DE PARE,2016,42.814665
15667,SAN LUIS DE GACENO,2016,63.365520
15673,SAN MATEO,2016,41.645959
15676,SAN MIGUEL DE SEMA,2016,57.373661
15681,SAN PABLO DE BORBUR,2016,49.910786
15686,SANTANA,2016,43.049105
15690,SANTA MARIA,2016,56.415220
15693,SANTA ROSA DE VITERB,2016,45.470794
15696,SANTA SOFIA,2016,48.548902
15720,SATIVANORTE,2016,36.470873
15723,SATIVASUR,2016,42.417434
15740,SIACHOQUE,2016,45.805332
15753,SOATA,2016,54.291188
15755,SOCOTA,2016,47.927840
15757,SOCHA,2016,55.795151
15759,SOGAMOSO,2016,60.034274
15761,SOMONDOCO,2016,40.207045
15762,SORA,2016,50.144584
15763,SOTAQUIRA,2016,59.303137
15764,SORACA,2016,49.485720
15774,SUSACON,2016,42.958715
15776,SUTAMARCHAN,2016,51.684931
15778,SUTATENZA,2016,48.563322
15790,TASCO,2016,51.849454
15798,TENZA,2016,46.785811
15804,TIBANA,2016,52.836534
15806,TIBASOSA,2016,61.635267
15808,TINJACA,2016,53.384032
15810,TIPACOQUE,2016,45.981246
15814,TOCA,2016,54.955874
15816,TOGUI,2016,47.740633
15820,TOPAGA,2016,52.022223
15822,TOTA,2016,53.194045
15832,TUNUNGUA,2016,45.441820
15835,TURMEQUE,2016,49.112735
15837,TUTA,2016,56.852906
15839,TUTASA,2016,45.445129
15842,UMBITA,2016,52.241197
15861,VENTAQUEMADA,2016,53.959139
15879,VIRACACHA,2016,49.678777
15897,ZETAQUIRA,2016,60.229710
15001,TUNJA,2017,62.798770
15022,ALMEIDA,2017,44.761575
15047,AQUITANIA,2017,50.581599
15051,ARCABUCO,2017,58.164447
15087,BELEN,2017,40.207740
15090,BERBEO,2017,51.887467
15092,BETEITIVA,2017,54.697526
15097,BOAVITA,2017,44.316861
15104,BOYACA,2017,62.603242
15106,BRICEÐO,2017,47.975246
15109,BUENAVISTA,2017,48.551091
15114,BUSBANZA,2017,61.898884
15131,CALDAS,2017,38.098165
15135,CAMPOHERMOSO,2017,50.061115
15162,CERINZA,2017,39.645396
15172,CHINAVITA,2017,53.811322
15176,CHIQUINQUIRA,2017,59.999911
15180,CHISCAS,2017,52.436060
15183,CHITA,2017,44.795849
15185,CHITARAQUE,2017,51.596507
15187,CHIVATA,2017,51.869986
15189,CIENAGA,2017,51.663204
15204,COMBITA,2017,50.406181
15212,COPER,2017,49.615103
15215,CORRALES,2017,53.263682
15218,COVARACHIA,2017,37.427225
15223,CUBARA,2017,57.413342
15224,CUCAITA,2017,46.959482
15226,CUITIVA,2017,55.853622
15232,CHIQUIZA,2017,46.304570
15236,CHIVOR,2017,55.987420
15238,DUITAMA,2017,67.785864
15244,EL COCUY,2017,46.731304
15248,EL ESPINO,2017,42.645825
15272,FIRAVITOBA,2017,51.145783
15276,FLORESTA,2017,53.264734
15293,GACHANTIVA,2017,55.941901
15296,GAMEZA,2017,52.254419
15299,GARAGOA,2017,55.879770
15317,GUACAMAYAS,2017,44.391535
15322,GUATEQUE,2017,57.339285
15325,GUAYATA,2017,50.407783
15332,GUICAN,2017,42.455624
15362,IZA,2017,57.552352
15367,JENESANO,2017,53.302558
15368,JERICO,2017,47.270382
15377,LABRANZAGRANDE,2017,51.139545
15380,LA CAPILLA,2017,42.730426
15401,LA VICTORIA,2017,45.099030
15403,LA UVITA,2017,56.528883
15407,VILLA DE LEYVA,2017,64.923937
