geo,Municipio,Año,Rango edad,Cantidad
15001,Tunja,2019,Menos de 1 año,2571
15022,Almeida,2019,Menos de 1 año,573
15047,Aquitania,2019,Menos de 1 año,3966
15051,Arcabuco,2019,Menos de 1 año,2377
15087,Belén,2019,Menos de 1 año,3039
15090,Berbeo,2019,Menos de 1 año,974
15092,Betéitiva,2019,Menos de 1 año,1045
15097,Boavita,2019,Menos de 1 año,1960
15104,Boyacá,2019,Menos de 1 año,1587
15106,Briceño,2019,Menos de 1 año,595
15109,Buenavista,2019,Menos de 1 año,1455
15114,Busbanzá,2019,Menos de 1 año,323
15131,Caldas,2019,Menos de 1 año,2495
15135,Campohermoso,2019,Menos de 1 año,3893
15162,Cerinza,2019,Menos de 1 año,1485
15172,Chinavita,2019,Menos de 1 año,1325
15176,Chiquinquirá,2019,Menos de 1 año,6736
15180,Chiscas,2019,Menos de 1 año,3120
15183,Chita,2019,Menos de 1 año,2612
15185,Chitaraque,2019,Menos de 1 año,621
15187,Chivatá,2019,Menos de 1 año,971
15189,Ciénega,2019,Menos de 1 año,2026
15204,Cómbita,2019,Menos de 1 año,3428
15212,Coper,2019,Menos de 1 año,1334
15215,Corrales,2019,Menos de 1 año,340
15218,Covarachía,2019,Menos de 1 año,577
15223,Cubará,2019,Menos de 1 año,2230
15224,Cucaita,2019,Menos de 1 año,920
15226,Cuítiva,2019,Menos de 1 año,756
15232,Chíquiza,2019,Menos de 1 año,1369
15236,Chivor,2019,Menos de 1 año,501
15238,Duitama,2019,Menos de 1 año,3332
15244,El Cocuy,2019,Menos de 1 año,3285
15248,El Espino,2019,Menos de 1 año,1495
15272,Firavitoba,2019,Menos de 1 año,2408
15276,Floresta,2019,Menos de 1 año,1574
15293,Gachantivá,2019,Menos de 1 año,1197
15296,Gámeza,2019,Menos de 1 año,2045
15299,Garagoa,2019,Menos de 1 año,3157
15317,Guacamayas,2019,Menos de 1 año,1059
15322,Guateque,2019,Menos de 1 año,793
15325,Guayatá,2019,Menos de 1 año,1222
15332,Güicán,2019,Menos de 1 año,2646
15362,Iza,2019,Menos de 1 año,671
15367,Jenesano,2019,Menos de 1 año,1846
15368,Jericó,2019,Menos de 1 año,868
15377,Labranzagrande,2019,Menos de 1 año,2861
15380,La Capilla,2019,Menos de 1 año,806
15401,La Victoria,2019,Menos de 1 año,379
15403,La Uvita,2019,Menos de 1 año,2651
15407,Villa de Leiva,2019,Menos de 1 año,1233
15425,Macanal,2019,Menos de 1 año,1922
15442,Maripí,2019,Menos de 1 año,925
15455,Miraflores,2019,Menos de 1 año,4209
15464,Mongua,2019,Menos de 1 año,1875
15466,Monguí,2019,Menos de 1 año,1280
15469,Moniquirá,2019,Menos de 1 año,2905
15476,Motavita,2019,Menos de 1 año,2067
15480,Muzo,2019,Menos de 1 año,1422
15491,Nobsa,2019,Menos de 1 año,444
15494,Nuevo Colón,2019,Menos de 1 año,768
15500,Oicatá,2019,Menos de 1 año,1345
15507,Otanche,2019,Menos de 1 año,3118
15511,Pachavita,2019,Menos de 1 año,1086
15514,Páez,2019,Menos de 1 año,3501
15516,Paipa,2019,Menos de 1 año,5856
15518,Pajarito,2019,Menos de 1 año,1264
15522,Panqueba,2019,Menos de 1 año,794
15531,Pauna,2019,Menos de 1 año,1370
15533,Paya,2019,Menos de 1 año,1866
15537,Paz de Río,2019,Menos de 1 año,759
15542,Pesca,2019,Menos de 1 año,2864
15550,Pisba,2019,Menos de 1 año,844
15572,Puerto Boyacá,2019,Menos de 1 año,23106
15580,Quípama,2019,Menos de 1 año,1155
15599,Ramiriquí,2019,Menos de 1 año,2486
15600,Ráquira,2019,Menos de 1 año,1105
15621,Rondón,2019,Menos de 1 año,1335
15632,Saboyá,2019,Menos de 1 año,6416
15638,Sáchica,2019,Menos de 1 año,172
15646,Samacá,2019,Menos de 1 año,1279
15660,San Eduardo,2019,Menos de 1 año,1342
15664,San José de Pare,2019,Menos de 1 año,332
15667,San Luis de Gaceno,2019,Menos de 1 año,7971
15673,San Mateo,2019,Menos de 1 año,2158
15676,San Miguel de Sema,2019,Menos de 1 año,3610
15681,San Pablo de Borbur,2019,Menos de 1 año,1518
15686,Santana,2019,Menos de 1 año,372
15690,Santa María,2019,Menos de 1 año,2938
15693,Santa Rosa de Viterbo,2019,Menos de 1 año,2521
15696,Santa Sofía,2019,Menos de 1 año,839
15720,Sativanorte,2019,Menos de 1 año,946
15723,Sativasur,2019,Menos de 1 año,513
15740,Siachoque,2019,Menos de 1 año,3306
15753,Soatá,2019,Menos de 1 año,819
15755,Socotá,2019,Menos de 1 año,2213
15757,Socha,2019,Menos de 1 año,1457
15759,Sogamoso,2019,Menos de 1 año,3525
15761,Somondoco,2019,Menos de 1 año,1195
15762,Sora,2019,Menos de 1 año,825
15763,Sotaquirá,2019,Menos de 1 año,4473
15764,Soracá,2019,Menos de 1 año,2175
15774,Susacón,2019,Menos de 1 año,1424
15776,Sutamarchán,2019,Menos de 1 año,1089
15778,Sutatenza,2019,Menos de 1 año,1013
15790,Tasco,2019,Menos de 1 año,2369
15798,Tenza,2019,Menos de 1 año,1167
15804,Tibaná,2019,Menos de 1 año,1941
15806,Tibasosa,2019,Menos de 1 año,2246
15808,Tinjacá,2019,Menos de 1 año,793
15810,Tipacoque,2019,Menos de 1 año,909
15814,Toca,2019,Menos de 1 año,3599
15816,Togüí,2019,Menos de 1 año,561
15820,Tópaga,2019,Menos de 1 año,569
15822,Tota,2019,Menos de 1 año,2780
15832,Tununguá,2019,Menos de 1 año,168
15835,Turmequé,2019,Menos de 1 año,1792
15837,Tuta,2019,Menos de 1 año,5318
15839,Tutazá,2019,Menos de 1 año,2186
15842,Úmbita,2019,Menos de 1 año,2822
15861,Ventaquemada,2019,Menos de 1 año,5678
15879,Viracachá,2019,Menos de 1 año,1984
15897,Zetaquirá,2019,Menos de 1 año,2063
15001,Tunja,2020,Menos de 1 año,3047
15022,Almeida,2020,Menos de 1 año,552
15047,Aquitania,2020,Menos de 1 año,4246
15051,Arcabuco,2020,Menos de 1 año,2331
15087,Belén,2020,Menos de 1 año,3142
15090,Berbeo,2020,Menos de 1 año,991
15092,Betéitiva,2020,Menos de 1 año,978
15097,Boavita,2020,Menos de 1 año,1870
15104,Boyacá,2020,Menos de 1 año,1525
15106,Briceño,2020,Menos de 1 año,562
15109,Buenavista,2020,Menos de 1 año,1651
15114,Busbanzá,2020,Menos de 1 año,320
15131,Caldas,2020,Menos de 1 año,2343
15135,Campohermoso,2020,Menos de 1 año,3742
15162,Cerinza,2020,Menos de 1 año,1281
15172,Chinavita,2020,Menos de 1 año,1656
