Mes,Año,Categoria,Tipo,Variación
Enero,2020,Total nacional,Total del personal,2.181969
Febrero,2020,Total nacional,Total del personal,2.443037
Marzo,2020,Total nacional,Total del personal,-6.677917
Abril,2020,Total nacional,Total del personal,-24.500135
Mayo,2020,Total nacional,Total del personal,-30.878046
Junio,2020,Total nacional,Total del personal,-37.835805
Julio,2020,Total nacional,Total del personal,-42.755542
Agosto,2020,Total nacional,Total del personal,-45.064215
Septiembre,2020,Total nacional,Total del personal,-44.660669
Octubre,2020,Total nacional,Total del personal,-41.549688
Noviembre,2020,Total nacional,Total del personal,-40.236224
Diciembre,2020,Total nacional,Total del personal,-37.938893
Enero,2020,Total nacional,Total permanente,1.050061
Febrero,2020,Total nacional,Total permanente,0.291550
Marzo,2020,Total nacional,Total permanente,-2.913600
Abril,2020,Total nacional,Total permanente,-10.879952
Mayo,2020,Total nacional,Total permanente,-18.667199
Junio,2020,Total nacional,Total permanente,-25.216767
Julio,2020,Total nacional,Total permanente,-29.335902
Agosto,2020,Total nacional,Total permanente,-32.409730
Septiembre,2020,Total nacional,Total permanente,-33.983773
Octubre,2020,Total nacional,Total permanente,-34.880453
Noviembre,2020,Total nacional,Total permanente,-35.433334
Diciembre,2020,Total nacional,Total permanente,-34.212301
Enero,2020,Total nacional,Resto de personal,3.673979
Febrero,2020,Total nacional,Resto de personal,5.421389
Marzo,2020,Total nacional,Resto de personal,-11.756864
Abril,2020,Total nacional,Resto de personal,-42.880266
Mayo,2020,Total nacional,Resto de personal,-47.714180
Junio,2020,Total nacional,Resto de personal,-55.109145
Julio,2020,Total nacional,Resto de personal,-60.446824
Agosto,2020,Total nacional,Resto de personal,-61.813065
Septiembre,2020,Total nacional,Resto de personal,-58.860109
Octubre,2020,Total nacional,Resto de personal,-50.261539
Noviembre,2020,Total nacional,Resto de personal,-46.500145
Diciembre,2020,Total nacional,Resto de personal,-42.578848
Enero,2020,Central,Total del personal,1.628686
Febrero,2020,Central,Total del personal,2.386280
Marzo,2020,Central,Total del personal,-5.761402
Abril,2020,Central,Total del personal,-21.722348
Mayo,2020,Central,Total del personal,-24.653736
Junio,2020,Central,Total del personal,-32.248954
Julio,2020,Central,Total del personal,-33.639287
Agosto,2020,Central,Total del personal,-34.972650
Septiembre,2020,Central,Total del personal,-34.609272
Octubre,2020,Central,Total del personal,-28.976223
Noviembre,2020,Central,Total del personal,-27.221642
Diciembre,2020,Central,Total del personal,-28.448450
Enero,2020,Central,Personal permanente,3.992856
Febrero,2020,Central,Personal permanente,4.282315
Marzo,2020,Central,Personal permanente,-0.141573
Abril,2020,Central,Personal permanente,-6.905674
Mayo,2020,Central,Personal permanente,-11.892664
Junio,2020,Central,Personal permanente,-15.210350
Julio,2020,Central,Personal permanente,-15.458943
Agosto,2020,Central,Personal permanente,-17.038947
Septiembre,2020,Central,Personal permanente,-20.191546
Octubre,2020,Central,Personal permanente,-18.694426
Noviembre,2020,Central,Personal permanente,-19.467084
Diciembre,2020,Central,Personal permanente,-20.688360
Enero,2020,Central,Resto de personal,-0.677155
Febrero,2020,Central,Resto de personal,0.428067
Marzo,2020,Central,Resto de personal,-11.452291
Abril,2020,Central,Resto de personal,-36.626759
Mayo,2020,Central,Resto de personal,-37.918661
Junio,2020,Central,Resto de personal,-48.806270
Julio,2020,Central,Resto de personal,-50.983817
Agosto,2020,Central,Resto de personal,-52.223011
Septiembre,2020,Central,Resto de personal,-48.939119
Octubre,2020,Central,Resto de personal,-38.856066
Noviembre,2020,Central,Resto de personal,-34.957789
Diciembre,2020,Central,Resto de personal,-35.763323
Enero,2021,Total nacional,Total del personal,-37.444415
Febrero,2021,Total nacional,Total del personal,-37.988636
Marzo,2021,Total nacional,Total del personal,-30.458214
Abril,2021,Total nacional,Total del personal,-15.103624
Mayo,2021,Total nacional,Total del personal,-9.720734
Junio,2021,Total nacional,Total del personal,3.521670
Julio,2021,Total nacional,Total del personal,17.262513
Agosto,2021,Total nacional,Total del personal,25.796983
Septiembre,2021,Total nacional,Total del personal,28.619838
Octubre,2021,Total nacional,Total del personal,26.260531
Noviembre,2021,Total nacional,Total del personal,26.911877
Diciembre,2021,Total nacional,Total del personal,26.474135
Enero,2021,Total nacional,Personal permanente,-35.218167
Febrero,2021,Total nacional,Personal permanente,-35.258913
Marzo,2021,Total nacional,Personal permanente,-32.728664
Abril,2021,Total nacional,Personal permanente,-27.715271
Mayo,2021,Total nacional,Personal permanente,-21.380808
Junio,2021,Total nacional,Personal permanente,-14.645438
Julio,2021,Total nacional,Personal permanente,-7.603403
Agosto,2021,Total nacional,Personal permanente,-0.921684
Septiembre,2021,Total nacional,Personal permanente,3.614866
Octubre,2021,Total nacional,Personal permanente,8.653369
Noviembre,2021,Total nacional,Personal permanente,10.713522
Diciembre,2021,Total nacional,Personal permanente,11.886173
Enero,2021,Total nacional,Resto de personal,-40.304642
Febrero,2021,Total nacional,Resto de personal,-41.583576
Marzo,2021,Total nacional,Resto de personal,-27.087850
Abril,2021,Total nacional,Resto de personal,11.450177
Mayo,2021,Total nacional,Resto de personal,15.287305
Junio,2021,Total nacional,Resto de personal,44.926617
Julio,2021,Total nacional,Resto de personal,75.803548
Agosto,2021,Total nacional,Resto de personal,88.364584
Septiembre,2021,Total nacional,Resto de personal,81.888518
Octubre,2021,Total nacional,Resto de personal,56.372753
Noviembre,2021,Total nacional,Resto de personal,52.407778
Diciembre,2021,Total nacional,Resto de personal,47.284013
Enero,2021,Central,Total del personal,-28.588169
Febrero,2021,Central,Total del personal,-25.572851
Marzo,2021,Central,Total del personal,-19.318775
Abril,2021,Central,Total del personal,-5.052939
Mayo,2021,Central,Total del personal,-2.164054
Junio,2021,Central,Total del personal,7.545624
Julio,2021,Central,Total del personal,13.263431
Agosto,2021,Central,Total del personal,17.791593
Septiembre,2021,Central,Total del personal,22.330600
Octubre,2021,Central,Total del personal,15.738668
Noviembre,2021,Central,Total del personal,14.655241
Diciembre,2021,Central,Total del personal,16.158806
Enero,2021,Central,Personal permanente,-23.614355
Febrero,2021,Central,Personal permanente,-21.369689
Marzo,2021,Central,Personal permanente,-19.027394
Abril,2021,Central,Personal permanente,-15.810076
Mayo,2021,Central,Personal permanente,-11.233923
Junio,2021,Central,Personal permanente,-8.285327
Julio,2021,Central,Personal permanente,-5.275292
Agosto,2021,Central,Personal permanente,-1.094343
Septiembre,2021,Central,Personal permanente,4.686625
Octubre,2021,Central,Personal permanente,5.908284
Noviembre,2021,Central,Personal permanente,5.228768
Diciembre,2021,Central,Personal permanente,5.036193
Enero,2021,Central,Resto de pesonal,-33.667358
Febrero,2021,Central,Resto de pesonal,-30.080452
Marzo,2021,Central,Resto de pesonal,-19.651531
Abril,2021,Central,Resto de pesonal,10.842703
Mayo,2021,Central,Resto de pesonal,11.216361
Junio,2021,Central,Resto de pesonal,33.025013
Julio,2021,Central,Resto de pesonal,43.768249
Agosto,2021,Central,Resto de pesonal,49.335986
Septiembre,2021,Central,Resto de pesonal,49.740145
Octubre,2021,Central,Resto de pesonal,28.299500
Noviembre,2021,Central,Resto de pesonal,26.299049
Diciembre,2021,Central,Resto de pesonal,29.103767
Enero,2022,Total nacional,Total del personal,25.721550
Febrero,2022,Total nacional,Total del personal,27.054802
Marzo,2022,Total nacional,Total del personal,27.126837
Abril,2022,Total nacional,Total del personal,29.950179
Enero,2022,Total nacional,Personal permanente,13.972984
Febrero,2022,Total nacional,Personal permanente,15.962356
Marzo,2022,Total nacional,Personal permanente,17.877700
Abril,2022,Total nacional,Personal permanente,19.434707
Enero,2022,Total nacional,Resto de pesonal,42.101951
Febrero,2022,Total nacional,Resto de pesonal,43.244743
Marzo,2022,Total nacional,Resto de pesonal,39.612533
Abril,2022,Total nacional,Resto de pesonal,44.310015
Enero,2022,Central,Total del personal,14.919810
Febrero,2022,Central,Total del personal,13.284049
Marzo,2022,Central,Total del personal,14.772843
Abril,2022,Central,Total del personal,19.234073
Enero,2022,Central,Personal permanente,4.346977
Febrero,2022,Central,Personal permanente,4.925835
Marzo,2022,Central,Personal permanente,7.240187
Abril,2022,Central,Personal permanente,7.887756
Enero,2022,Central,Resto de pesonal,27.352949
Febrero,2022,Central,Resto de pesonal,23.364364
Marzo,2022,Central,Resto de pesonal,23.441926
Abril,2022,Central,Resto de pesonal,31.968790
