geo,Año,Ciclo del cultivo,Producción (ton)
15001,2019,Permanente,30
15001,2019,Transitorio,114151
15001,2020,Permanente,30
15001,2020,Transitorio,126514
15001,2021,Permanente,2
15001,2021,Transitorio,83128
15001,2022,Permanente,4
15001,2022,Transitorio,65522
15022,2019,Permanente,3263
15022,2019,Transitorio,1033
15022,2020,Permanente,3227
15022,2020,Transitorio,791
15022,2021,Permanente,3661
15022,2021,Transitorio,837
15022,2022,Permanente,15404
15022,2022,Transitorio,733
15047,2019,Permanente,107
15047,2019,Transitorio,115692
15047,2020,Permanente,205
15047,2020,Transitorio,114009
15047,2021,Permanente,2127
15047,2021,Transitorio,121732
15047,2022,Permanente,2075
15047,2022,Transitorio,126815
15051,2019,Permanente,2249
15051,2019,Transitorio,56384
15051,2020,Permanente,2006
15051,2020,Transitorio,45993
15051,2021,Permanente,2131
15051,2021,Transitorio,51108
15051,2022,Permanente,2227
15051,2022,Transitorio,43054
15087,2019,Permanente,100
15087,2019,Transitorio,10375
15087,2020,Permanente,210
15087,2020,Transitorio,14556
15087,2021,Permanente,145
15087,2021,Transitorio,14500
15087,2022,Permanente,104
15087,2022,Transitorio,14627
15090,2019,Permanente,1530
15090,2019,Transitorio,843
15090,2020,Permanente,1513
15090,2020,Transitorio,872
15090,2021,Permanente,1583
15090,2021,Transitorio,1008
15090,2022,Permanente,9293
15090,2022,Transitorio,1206
15092,2019,Permanente,38
15092,2019,Transitorio,1724
15092,2020,Permanente,46
15092,2020,Transitorio,1416
15092,2021,Permanente,57
15092,2021,Transitorio,1322
15092,2022,Permanente,125
15092,2022,Transitorio,1544
15097,2019,Permanente,3519
15097,2019,Transitorio,2164
15097,2020,Permanente,4878
15097,2020,Transitorio,1901
15097,2021,Permanente,5089
15097,2021,Transitorio,2380
15097,2022,Permanente,6321
15097,2022,Transitorio,3455
15104,2019,Permanente,601
15104,2019,Transitorio,17047
15104,2020,Permanente,350
15104,2020,Transitorio,21216
15104,2021,Permanente,366
15104,2021,Transitorio,20312
15104,2022,Permanente,276
15104,2022,Transitorio,21075
15106,2019,Permanente,3803
15106,2019,Transitorio,79
15106,2020,Permanente,6656
15106,2020,Transitorio,90
15106,2021,Permanente,7766
15106,2021,Transitorio,263
15106,2022,Permanente,14712
15106,2022,Transitorio,195
15109,2019,Permanente,17526
15109,2019,Transitorio,2285
15109,2020,Permanente,16907
15109,2020,Transitorio,3296
15109,2021,Permanente,18900
15109,2021,Transitorio,2851
15109,2022,Permanente,19982
15109,2022,Transitorio,2808
15114,2019,Permanente,0
15114,2019,Transitorio,129
15114,2020,Permanente,0
15114,2020,Transitorio,108
15114,2021,Permanente,0
15114,2021,Transitorio,119
15114,2022,Permanente,16
15114,2022,Transitorio,120
15131,2019,Permanente,700
15131,2019,Transitorio,9049
15131,2020,Permanente,650
15131,2020,Transitorio,7905
15131,2021,Permanente,752
15131,2021,Transitorio,9780
15131,2022,Permanente,774
15131,2022,Transitorio,7972
15135,2019,Permanente,2865
15135,2019,Transitorio,1003
15135,2020,Permanente,2977
15135,2020,Transitorio,1393
15135,2021,Permanente,2933
15135,2021,Transitorio,376
15135,2022,Permanente,2230
15135,2022,Transitorio,1030
15162,2019,Permanente,57
15162,2019,Transitorio,539
15162,2020,Permanente,57
15162,2020,Transitorio,771
15162,2021,Permanente,31
15162,2021,Transitorio,1871
15162,2022,Permanente,34
15162,2022,Transitorio,1293
15172,2019,Permanente,2699
15172,2019,Transitorio,471
15172,2020,Permanente,2403
15172,2020,Transitorio,459
15172,2021,Permanente,2436
15172,2021,Transitorio,544
15172,2022,Permanente,2610
15172,2022,Transitorio,422
15176,2019,Permanente,751
15176,2019,Transitorio,7168
15176,2020,Permanente,830
15176,2020,Transitorio,6459
15176,2021,Permanente,856
15176,2021,Transitorio,6776
15176,2022,Permanente,1969
15176,2022,Transitorio,16080
15180,2019,Permanente,1806
15180,2019,Transitorio,5363
15180,2020,Permanente,2274
15180,2020,Transitorio,4449
15180,2021,Permanente,1642
15180,2021,Transitorio,3543
15180,2022,Permanente,1430
15180,2022,Transitorio,3778
15183,2019,Permanente,899
15183,2019,Transitorio,7140
15183,2020,Permanente,568
15183,2020,Transitorio,6516
15183,2021,Permanente,642
15183,2021,Transitorio,2414
15183,2022,Permanente,95
15183,2022,Transitorio,1912
15185,2019,Permanente,316320
15185,2019,Transitorio,1049
15185,2020,Permanente,317469
15185,2020,Transitorio,943
15185,2021,Permanente,528728
15185,2021,Transitorio,832
15185,2022,Permanente,576929
15185,2022,Transitorio,814
15187,2019,Permanente,10
15187,2019,Transitorio,3119
15187,2020,Permanente,34
15187,2020,Transitorio,6187
15187,2021,Transitorio,3757
15187,2022,Transitorio,3040
15189,2019,Permanente,4561
15189,2019,Transitorio,8063
15189,2020,Permanente,5351
15189,2020,Transitorio,7796
15189,2021,Permanente,6005
15189,2021,Transitorio,7731
15189,2022,Permanente,5496
15189,2022,Transitorio,11745
15204,2019,Permanente,1766
15204,2019,Transitorio,28885
15204,2020,Permanente,2413
15204,2020,Transitorio,30199
15204,2021,Permanente,4300
15204,2021,Transitorio,25902
15204,2022,Permanente,4344
15204,2022,Transitorio,25660
15212,2019,Permanente,37189
15212,2019,Transitorio,1722
15212,2020,Permanente,33217
15212,2020,Transitorio,2250
15212,2021,Permanente,44248
15212,2021,Transitorio,1216
15212,2022,Permanente,17573
15212,2022,Transitorio,1139
15215,2019,Permanente,219
15215,2019,Transitorio,2953
15215,2020,Permanente,195
15215,2020,Transitorio,2576
15215,2021,Permanente,205
15215,2021,Transitorio,2241
15215,2022,Permanente,277
15215,2022,Transitorio,2554
15218,2019,Permanente,2115
15218,2019,Transitorio,4141
15218,2020,Permanente,1587
15218,2020,Transitorio,4822
15218,2021,Permanente,1795
15218,2021,Transitorio,8053
15218,2022,Permanente,2112
15218,2022,Transitorio,10177
15223,2019,Permanente,1097
15223,2019,Transitorio,417
15223,2020,Permanente,792
15223,2020,Transitorio,287
15223,2021,Permanente,730
15223,2021,Transitorio,314
15223,2022,Permanente,945
15223,2022,Transitorio,324
15224,2019,Permanente,66
15224,2019,Transitorio,19154
15224,2020,Permanente,13
15224,2020,Transitorio,16735
15224,2021,Permanente,36
15224,2021,Transitorio,8399
15224,2022,Permanente,60
15224,2022,Transitorio,6808
15226,2019,Permanente,67
15226,2019,Transitorio,5049
15226,2020,Permanente,118
15226,2020,Transitorio,4758
15226,2021,Permanente,117
15226,2021,Transitorio,4435
15226,2022,Permanente,195
15226,2022,Transitorio,3686
