geo,Año,Área,Hectareas
15001,2019,Cosechada,6678
15022,2019,Cosechada,310
15047,2019,Cosechada,3144
15051,2019,Cosechada,2686
15087,2019,Cosechada,802
15090,2019,Cosechada,523
15092,2019,Cosechada,136
15097,2019,Cosechada,785
15104,2019,Cosechada,840
15106,2019,Cosechada,606
15109,2019,Cosechada,995
15114,2019,Cosechada,88
15131,2019,Cosechada,1041
15135,2019,Cosechada,687
15162,2019,Cosechada,56
15172,2019,Cosechada,281
15176,2019,Cosechada,1121
15180,2019,Cosechada,604
15183,2019,Cosechada,828
15185,2019,Cosechada,3788
15187,2019,Cosechada,432
15189,2019,Cosechada,1321
15204,2019,Cosechada,1607
15212,2019,Cosechada,1565
15215,2019,Cosechada,151
15218,2019,Cosechada,1334
15223,2019,Cosechada,159
15224,2019,Cosechada,958
15226,2019,Cosechada,321
15232,2019,Cosechada,1962
15236,2019,Cosechada,131
15238,2019,Cosechada,336
15244,2019,Cosechada,494
15248,2019,Cosechada,135
15272,2019,Cosechada,450
15276,2019,Cosechada,254
15293,2019,Cosechada,485
15296,2019,Cosechada,651
15299,2019,Cosechada,534
15317,2019,Cosechada,258
15322,2019,Cosechada,152
15325,2019,Cosechada,471
15332,2019,Cosechada,228
15362,2019,Cosechada,37
15367,2019,Cosechada,1402
15368,2019,Cosechada,695
15377,2019,Cosechada,421
15380,2019,Cosechada,729
15401,2019,Cosechada,256
15403,2019,Cosechada,173
15407,2019,Cosechada,1254
15425,2019,Cosechada,812
15442,2019,Cosechada,2431
15455,2019,Cosechada,1703
15464,2019,Cosechada,389
15466,2019,Cosechada,164
15469,2019,Cosechada,4037
15476,2019,Cosechada,1448
15480,2019,Cosechada,862
15491,2019,Cosechada,803
15494,2019,Cosechada,1983
15500,2019,Cosechada,376
15507,2019,Cosechada,1521
15511,2019,Cosechada,504
15514,2019,Cosechada,568
15516,2019,Cosechada,716
15518,2019,Cosechada,309
15522,2019,Cosechada,223
15531,2019,Cosechada,3208
15533,2019,Cosechada,235
15537,2019,Cosechada,123
15542,2019,Cosechada,776
15550,2019,Cosechada,283
15572,2019,Cosechada,1273
15580,2019,Cosechada,1412
15599,2019,Cosechada,1001
15600,2019,Cosechada,1416
15621,2019,Cosechada,369
15632,2019,Cosechada,7598
15638,2019,Cosechada,291
15646,2019,Cosechada,3478
15660,2019,Cosechada,476
15664,2019,Cosechada,4976
15667,2019,Cosechada,496
15673,2019,Cosechada,652
15676,2019,Cosechada,167
15681,2019,Cosechada,1558
15686,2019,Cosechada,2588
15690,2019,Cosechada,285
15693,2019,Cosechada,315
15696,2019,Cosechada,392
15720,2019,Cosechada,320
15723,2019,Cosechada,54
15740,2019,Cosechada,9568
15753,2019,Cosechada,573
15755,2019,Cosechada,1298
15757,2019,Cosechada,197
15759,2019,Cosechada,779
15761,2019,Cosechada,208
15762,2019,Cosechada,387
15763,2019,Cosechada,1002
15764,2019,Cosechada,3717
15774,2019,Cosechada,615
15776,2019,Cosechada,539
15778,2019,Cosechada,275
15790,2019,Cosechada,195
15798,2019,Cosechada,514
15804,2019,Cosechada,2130
15806,2019,Cosechada,722
15808,2019,Cosechada,225
15810,2019,Cosechada,184
15814,2019,Cosechada,4160
15816,2019,Cosechada,2179
