geo,Año,Rango de edad,Sexo,Casos
15001,2020,Adolescencia,Mujer,48
15001,2020,Adolescencia,Hombre,8
15001,2020,Adultez,Mujer,142
15001,2020,Adultez,Hombre,20
15001,2020,Infancia,Mujer,36
15001,2020,Infancia,Hombre,11
15001,2020,Juventud,Mujer,117
15001,2020,Juventud,Hombre,13
15001,2020,Primera infancia,Mujer,11
15001,2020,Primera infancia,Hombre,2
15001,2020,Vejez,Mujer,6
15001,2020,Vejez,Hombre,4
15001,2021,Adolescencia,Mujer,77
15001,2021,Adolescencia,Hombre,18
15001,2021,Adultez,Mujer,188
15001,2021,Adultez,Hombre,16
15001,2021,Infancia,Mujer,12
15001,2021,Infancia,Hombre,11
15001,2021,Juventud,Mujer,122
15001,2021,Juventud,Hombre,7
15001,2021,Primera infancia,Mujer,17
15001,2021,Primera infancia,Hombre,7
15001,2021,Vejez,Mujer,27
15001,2021,Vejez,Hombre,8
15001,2022,Adolescencia,Mujer,128
15001,2022,Adolescencia,Hombre,24
15001,2022,Adultez,Mujer,197
15001,2022,Adultez,Hombre,25
15001,2022,Infancia,Mujer,35
15001,2022,Infancia,Hombre,22
15001,2022,Juventud,Mujer,184
15001,2022,Juventud,Hombre,11
15001,2022,Primera infancia,Mujer,21
15001,2022,Primera infancia,Hombre,17
15001,2022,Vejez,Mujer,17
15001,2022,Vejez,Hombre,5
15001,2023,Adolescencia,Mujer,161
15001,2023,Adolescencia,Hombre,46
15001,2023,Adultez,Mujer,234
15001,2023,Adultez,Hombre,22
15001,2023,Infancia,Mujer,53
15001,2023,Infancia,Hombre,33
15001,2023,Juventud,Mujer,242
15001,2023,Juventud,Hombre,25
15001,2023,Primera infancia,Mujer,23
15001,2023,Primera infancia,Hombre,24
15001,2023,Vejez,Mujer,26
15001,2023,Vejez,Hombre,14
15001,2024,Adolescencia,Mujer,86
15001,2024,Adolescencia,Hombre,22
15001,2024,Adultez,Mujer,114
15001,2024,Adultez,Hombre,19
15001,2024,Infancia,Mujer,28
15001,2024,Infancia,Hombre,12
15001,2024,Juventud,Mujer,131
15001,2024,Juventud,Hombre,23
15001,2024,Primera infancia,Mujer,8
15001,2024,Primera infancia,Hombre,8
15001,2024,Vejez,Mujer,10
15001,2024,Vejez,Hombre,9
15022,2020,Adolescencia,Mujer,1
15022,2020,Adultez,Mujer,3
15022,2020,Juventud,Mujer,2
15022,2020,Vejez,Mujer,1
15022,2021,Adolescencia,Mujer,1
15022,2021,Adolescencia,Hombre,2
15022,2021,Infancia,Hombre,1
15022,2021,Juventud,Mujer,1
15022,2022,Adultez,Mujer,3
15022,2022,Juventud,Mujer,1
15022,2023,Adolescencia,Mujer,1
15022,2023,Adultez,Mujer,2
15022,2023,Juventud,Mujer,2
15022,2024,Adolescencia,Mujer,2
15022,2024,Infancia,Mujer,1
15047,2020,Adolescencia,Mujer,8
15047,2020,Adolescencia,Hombre,2
15047,2020,Adultez,Mujer,31
15047,2020,Adultez,Hombre,4
15047,2020,Infancia,Mujer,2
15047,2020,Juventud,Mujer,26
15047,2020,Juventud,Hombre,1
15047,2020,Primera infancia,Mujer,2
15047,2020,Primera infancia,Hombre,1
15047,2020,Vejez,Mujer,4
15047,2020,Vejez,Hombre,1
15047,2021,Adolescencia,Mujer,9
15047,2021,Adolescencia,Hombre,6
15047,2021,Adultez,Mujer,39
15047,2021,Adultez,Hombre,6
15047,2021,Infancia,Mujer,3
15047,2021,Infancia,Hombre,2
15047,2021,Juventud,Mujer,22
15047,2021,Juventud,Hombre,1
15047,2021,Primera infancia,Mujer,2
15047,2021,Vejez,Mujer,2
15047,2021,Vejez,Hombre,2
15047,2022,Adolescencia,Mujer,6
15047,2022,Adolescencia,Hombre,4
15047,2022,Adultez,Mujer,25
15047,2022,Adultez,Hombre,6
15047,2022,Infancia,Mujer,1
15047,2022,Infancia,Hombre,1
15047,2022,Juventud,Mujer,25
