Año,Periodo,CORTO PUNZANTE,PROYECTIL DE ARMA DE FUEGO,CONTUNDENTE,ESTRANGULAMIENTO,INTOXICACIÓN O ENVENENAMIENTO POR AGENTE QUIMICO,SOFOCACIÓN POR OBSTRUCCIÓN DE VIA AEREA ALTA,SOFOCACIÓN POR FALTA DE OXIGENO,CORTANTE,ABORTO,SOFOCACIÓN POR COMPRESIÓN TORACO ABDOMINAL,AHORCAMIENTO,POR DETERMINAR
2020,ene a jun,14,9,4,0,1,0,0,0,0,0,0,0
2020,jul a dic,16,8,5,0,3,1,0,0,0,0,0,0
2021,ene a jun,19,12,4,1,0,0,0,1,1,0,1,0
2021,jul a dic,17,11,3,1,0,0,0,0,1,0,0,0
2022,ene a jun,22,7,2,3,0,0,1,0,0,0,0,0
2022,jul a dic,26,12,3,0,0,1,0,0,0,1,0,0
2023,ene a jun,13,18,5,0,1,0,0,0,0,0,0,0
2023,jul a dic,13,10,5,1,0,1,1,1,0,0,0,1
2024,ene a jun,19,11,6,2,0,0,0,0,0,0,0,0
2024,jul a dic,14,21,5,0,0,1,0,1,0,0,0,0
