Año,Periodo,VIA PUBLICA,VIVIENDA,FINCA,OTRO LUGAR ESPECIFICADO,BARES¬ TABERNAS¬ CANTINAS,NS/NR - SIN INFORMACIÓN,PRISIÓN/REFORMATORIOS,BOSQUE¬ BALDIO¬ POTRERO,SUPERMERCADOS¬ ALMACENES¬ TIENDAS,LUGAR PUBLICO SIN OTRA INDICACIÓN,PARQUE,SITIO DE JUEGO CON VENTA DE LICOR,MERCADO¬ PLAZA¬ GALERIA,COMERCIO Y AREAS DE SERVICIO,CLUB¬ SALON PUBLICO,CARRETERA,CENTROS HOSPITALARIOS,RIO¬ ARROYO¬ HUMEDAL¬ RONDA¬ LAGO¬ EMBALSE,AREAS DE DEPORTE,VEHÍCULO SERVICIO PARTICULAR,MONTAÑA¬ COLINA,AREA DE CULTIVO,LUGAR PARA ACAMPAR¬ CAMPAMENTO,VEHÍCULO SERVICIO PÚBLICO,MINA,CENTROS EDUCATIVOS,TALLER,HOSPEDAJES¬ HOTELES¬ RESIDENCIAS¬ MOTELES
2020,ene a jun,11,2,2,4,1,1,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
2020,jul a dic,6,12,2,4,1,1,1,1,1,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0
2021,ene a jun,11,3,5,5,7,0,1,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
2021,jul a dic,14,4,4,0,1,0,1,1,1,1,2,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
2022,ene a jun,14,7,1,2,1,2,3,0,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,jul a dic,22,3,5,1,2,1,0,1,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
2023,ene a jun,11,8,3,1,1,3,1,0,2,0,0,0,2,0,1,0,0,0,1,0,2,0,0,1,0,0,0,0
2023,jul a dic,16,4,2,0,0,4,2,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2024,ene a jun,12,6,2,3,4,4,1,0,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,jul a dic,14,13,3,1,1,1,2,1,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
