Año,Periodo,VIA PUBLICA,CARRETERA,CALLES,SIN INFORMACION,FINCA,RIO¬ ARROYO¬ HUMEDAL¬ RONDA¬ LAGO¬ EMBALSE,LUGAR PUBLICO SIN OTRA INDICACION,PARQUEADERO¬ ESTACIONAMIENTO,VIVIENDA,MONTAÑA¬ COLINA,BOSQUE¬ BALDIO¬ POTRERO
2020,ene a jun,51,60,7,0,1,3,0,0,0,0,0
2020,jul a dic,58,44,6,1,3,2,0,1,0,0,0
2021,ene a jun,60,41,4,1,0,0,0,0,0,1,0
2021,jul a dic,59,40,6,2,0,0,1,0,0,0,0
2022,ene a jun,43,46,2,0,0,0,0,0,0,0,0
2022,jul a dic,53,58,6,0,1,0,1,1,0,1,0
2023,ene a jun,25,29,3,0,2,0,1,0,0,0,1
2023,jul a dic,41,51,9,3,0,1,0,0,0,0,0
2024,ene a jun,67,37,6,0,0,0,0,0,2,0,0
2024,jul a dic,54,26,4,0,0,1,3,0,0,0,0
