Año,Periodo,CONTUNDENTE,SOFOCACION POR FALTA DE OXIGENO,SUMERSION,SOFOCACION POR COMPRESION TORACO ABDOMINAL,CORTO CONTUNDENTE,CORTANTE,QUEMADURA POR FUEGO,INMERSION,PUNZANTE
2020,ene a jun,61,0,0,0,0,0,0,0,0
2020,jul a dic,101,1,1,1,1,0,0,0,0
2021,ene a jun,100,1,1,0,3,0,1,0,1
2021,jul a dic,105,1,2,0,,0,0,0,0
2022,ene a jun,116,2,1,1,1,1,0,0,0
2022,jul a dic,104,1,4,3,2,0,1,0,0
2023,ene a jun,86,4,0,0,1,0,0,0,0
2023,jul a dic,118,1,0,2,0,0,0,0,0
2024,ene a jun,108,0,0,1,0,1,0,2,0
2024,jul a dic,87,0,0,0,1,0,0,0,0
