Tendencia de casos,Muerte por accidente de transito
Enero 2020,14
Febrero 2020,17
marzo 2020,11
Abril 2020,2
Mayo 2020,8
Junio 2020,9
Julio 2020,11
Agosto 2020,15
Septiembre 2020,19
Octubre 2020,18
Noviembre 2020,12
Diciembre 2020,30
Enero 2021,20
Febrero 2021,14
marzo 2021,19
Abril 2021,15
Mayo 2021,18
Junio 2021,21
Julio 2021,12
Agosto 2021,23
Septiembre 2021,23
Octubre 2021,14
Noviembre 2021,20
Diciembre 2021,16
Enero 2022,18
Febrero 2022,14
marzo 2022,26
Abril 2022,22
Mayo 2022,21
Junio 2022,21
Julio 2022,12
Agosto 2022,14
Septiembre 2022,31
Octubre 2022,21
Noviembre 2022,20
Diciembre 2022,17
Enero 2023,15
Febrero 2023,12
marzo 2023,7
Abril 2023,18
Mayo 2023,20
Junio 2023,19
Julio 2023,19
Agosto 2023,21
Septiembre 2023,24
Octubre 2023,17
Noviembre 2023,20
Diciembre 2023,20
Enero 2024,21
Febrero 2024,13
marzo 2024,23
Abril 2024,25
Mayo 2024,18
Junio 2024,12
Julio 2024,12
Agosto 2024,15
Septiembre 2024,16
Octubre 2024,15
Noviembre 2024,13
Diciembre 2024,17
