Año,Periodo,AHORCAMIENTO,CAIDA DE ALTURA,CAIDA DE SU PROPIA ALTURA,CONTUNDENTE,CORTANTE,CORTO CONTUNDENTE,CORTO PUNZANTE,ELECTROCUCION,ELECTROFULGURACION,EXPLOSIVOS,INMERSION,INTOXICACION O ENVENENAMIENTO POR AGENTE QUIMICO,INTOXICACION O ENVENENAMIENTO POR SOBREDOSIS DE PSICOACTIVOS,PROYECTIL DE ARMA DE FUEGO,QUEMADURA POR AGENTE QUIMICO,QUEMADURA POR FUEGO,RESPONSABILIDAD MEDICA,SIN INFORMACION,SOFOCACION POR COMPRESION TORACO ABDOMINAL,SOFOCACION POR CUERPO EN VIA AEREA,SOFOCACION POR FALTA DE OXIGENO,SOFOCACION POR OBSTRUCCIÓN DE VIA AEREA ALTA,SUMERSION
2020,ene a jun,1,12,2,12,1,1,1,5,0,3,2,2,1,0,0,0,0,0,2,2,9,1,14
2020,jul a dic,0,10,4,22,0,0,0,0,0,1,0,7,0,0,0,1,0,0,1,2,10,5,15
2021,ene a jun,2,11,6,22,1,0,0,4,0,0,0,6,0,0,0,0,0,0,0,2,9,2,11
2021,jul a dic,0,2,2,18,0,2,0,3,0,1,1,2,0,0,1,1,0,0,3,2,15,3,12
2022,ene a jun,0,14,10,12,1,0,0,0,1,5,,2,1,0,0,0,0,0,1,0,26,3,22
2022,jul a dic,0,13,7,20,0,0,0,1,2,1,3,1,1,0,0,0,0,0,1,0,11,4,21
2023,ene a jun,0,12,4,17,0,2,0,1,1,1,,1,1,0,0,1,0,0,2,1,10,5,9
2023,jul a dic,0,6,8,26,1,1,0,2,0,0,2,2,1,2,0,1,0,1,0,4,8,4,11
2024,ene a jun,0,8,5,28,1,1,0,2,0,0,2,8,0,0,1,0,0,0,1,2,14,5,13
2024,jul a dic,0,7,2,25,0,0,1,2,0,1,1,1,1,0,0,2,1,0,1,2,8,5,11
