Año,Periodo,ABORTO,CAIDA DE ALTURA,CAIDA DE SU PROPIA ALTURA,CONTUNDENTE,CORTO CONTUNDENTE,CORTO PUNZANTE,ESTRANGULAMIENTO,INTOXICACIÓN O ENVENENAMIENTO POR AGENTE QUIMICO,INTOXICACIÓN O ENVENENAMIENTO POR SOBREDOSIS DE PSICOACTIVOS,PROYECTIL DE ARMA DE FUEGO,QUEMADURA POR FUEGO,SOFOCACIÓN POR CUERPO EN VIA AEREA,SOFOCACIÓN POR FALTA DE OXIGENO,SUMERSIÓN
2020,ene a jun,0,1,0,4,0,1,0,1,0,0,1,0,0,0
2020,jul a dic,0,0,0,6,0,0,1,0,0,0,2,1,0,1
2021,ene a jun,0,0,0,7,0,0,1,0,1,0,0,0,1,0
2021,jul a dic,0,0,0,3,0,0,1,1,1,1,0,0,0,1
2022,ene a jun,0,0,0,1,0,0,0,1,0,0,0,0,1,1
2022,jul a dic,1,0,0,9,0,0,0,0,1,1,0,0,0,0
2023,ene a jun,0,1,1,3,0,0,0,0,0,1,0,0,0,1
2023,jul a dic,0,0,0,2,0,0,0,0,0,0,0,0,1,1
2024,ene a jun,0,2,0,2,1,0,0,0,2,0,1,0,0,1
2024,jul a dic,0,0,0,7,1,1,0,0,0,1,1,2,0,0
