número de casos,muerte violenta sin determinar
Enero 2020,2
Febrero 2020,1
marzo 2020,1
Abril 2020,1
Mayo 2020,1
Junio 2020,2
Julio 2020,1
Agosto 2020,0
Septiembre 2020,4
Octubre 2020,1
Noviembre 2020,1
Diciembre 2020,4
Enero 2021,0
Febrero 2021,1
marzo 2021,2
Abril 2021,1
Mayo 2021,2
Junio 2021,4
Julio 2021,1
Agosto 2021,2
Septiembre 2021,2
Octubre 2021,1
Noviembre 2021,2
Diciembre 2021,0
Enero 2022,1
Febrero 2022,0
marzo 2022,2
Abril 2022,1
Mayo 2022,0
Junio 2022,0
Julio 2022,1
Agosto 2022,3
Septiembre 2022,2
Octubre 2022,1
Noviembre 2022,2
Diciembre 2022,3
Enero 2023,2
Febrero 2023,0
marzo 2023,1
Abril 2023,1
Mayo 2023,0
Junio 2023,3
Julio 2023,0
Agosto 2023,1
Septiembre 2023,2
Octubre 2023,1
Noviembre 2023,0
Diciembre 2023,0
Enero 2024,2
Febrero 2024,1
marzo 2024,4
Abril 2024,2
Mayo 2024,0
Junio 2024,0
Julio 2024,4
Agosto 2024,6
Septiembre 2024,1
Octubre 2024,1
Noviembre 2024,2
Diciembre 2024,2
