Año,periodo,ABUSO DE AUTORIDAD,ABUSO DENTRO DE ESTABLECIMIENTO PRESTADOR DE SERVICIOS DE SALUD,ABUSO SEXUAL,ACCESO CARNAL VIOLENTO,ACCESO CARNAL VIOLENTO ACTO SEXUAL VIOLENTO CON PERSONA PROTEGIDA,ACOSO SEXUAL,AGRESIÓN O ATAQUE SEXUAL,ASALTO SEXUAL,CONFICTO DE PAREJA,CONFLICTO FAMILIAR,CONTACTO ENGAÑOSO VÍA INTERNET,EMBRIAGUEZ ALCOHÓLICA Y NO ALCOHÓLICA,ENFERMEDAD FÍSICA O MENTAL,NO REPORTA,OBLIGAR A PRESENCIAR ACTOS SEXUALES,OBLIGAR A REALIZAR ACTOS SEXUALES,PORNOGRAFIA,PRESUNTA ESCLAVITUD SEXUAL O PROSTITUCIÓN FORZADA,RETENCIÓN ILEGAL,SIN INFORMACIÓN
2020,ene a jun,0,0,149,0,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2020,jul a dic,0,1,195,0,14,9,0,0,0,1,0,1,0,0,0,0,2,0,1,2
2021,ene a jun,0,0,167,0,19,0,0,11,0,0,0,0,0,0,0,0,0,0,0,3
2021,jul a dic,0,0,248,0,20,0,0,8,1,3,0,2,0,0,0,0,0,1,0,4
2022,ene a jun,0,0,240,0,24,0,0,7,1,2,1,1,0,0,0,0,1,0,0,12
2022,jul a dic,0,0,310,0,13,0,0,6,1,4,0,1,0,0,0,0,2,0,0,9
2023,ene a jun,2,0,228,23,0,6,5,0,0,0,0,2,1,0,1,1,2,0,0,8
2023,jul a dic,0,0,224,34,0,5,2,2,0,0,0,0,0,0,0,1,2,0,0,8
2024,ene a jun,1,0,208,27,0,18,6,1,0,0,0,0,0,0,0,1,0,0,0,7
2024,jul a dic,0,0,0,0,0,0,0,0,0,0,0,0,0,345,0,0,0,0,0,0
