número de casos,posibles delitos sexuales
Enero 2020,43
Febrero 2020,34
marzo 2020,26
Abril 2020,13
Mayo 2020,35
Junio 2020,23
Julio 2020,31
Agosto 2020,48
Septiembre 2020,34
Octubre 2020,37
Noviembre 2020,40
Diciembre 2020,36
Enero 2021,23
Febrero 2021,32
marzo 2021,35
Abril 2021,34
Mayo 2021,33
Junio 2021,43
Julio 2021,42
Agosto 2021,37
Septiembre 2021,58
Octubre 2021,61
Noviembre 2021,48
Diciembre 2021,41
Enero 2022,28
Febrero 2022,39
marzo 2022,44
Abril 2022,56
Mayo 2022,71
Junio 2022,51
Julio 2022,50
Agosto 2022,82
Septiembre 2022,54
Octubre 2022,62
Noviembre 2022,57
Diciembre 2022,41
Enero 2023,44
Febrero 2023,43
marzo 2023,55
Abril 2023,33
Mayo 2023,53
Junio 2023,52
Julio 2023,50
Agosto 2023,44
Septiembre 2023,52
Octubre 2023,51
Noviembre 2023,98
Diciembre 2023,33
Enero 2024,33
Febrero 2024,34
marzo 2024,53
Abril 2024,64
Mayo 2024,43
Junio 2024,42
Julio 2024,65
Agosto 2024,58
Septiembre 2024,55
Octubre 2024,61
Noviembre 2024,56
Diciembre 2024,50
