número de casos,Secuestros de población Boyacense
Enero 2020,0
Febrero 2020,
marzo 2020,
Abril 2020,
Mayo 2020,
Junio 2020,
Julio 2020,
Agosto 2020,
Septiembre 2020,1
Octubre 2020,
Noviembre 2020,
Diciembre 2020,
Enero 2021,
Febrero 2021,
marzo 2021,
Abril 2021,1
Mayo 2021,
Junio 2021,
Julio 2021,
Agosto 2021,
Septiembre 2021,1
Octubre 2021,2
Noviembre 2021,
Diciembre 2021,
Enero 2022,
Febrero 2022,
marzo 2022,
Abril 2022,
Mayo 2022,
Junio 2022,
Julio 2022,
Agosto 2022,
Septiembre 2022,1
Octubre 2022,
Noviembre 2022,1
Diciembre 2022,
Enero 2023,
Febrero 2023,1
marzo 2023,
Abril 2023,
Mayo 2023,
Junio 2023,
Julio 2023,
Agosto 2023,
Septiembre 2023,
Octubre 2023,
Noviembre 2023,
Diciembre 2023,
Enero 2024,
Febrero 2024,3
marzo 2024,
Abril 2024,
Mayo 2024,
Junio 2024,
