número de casos,suicidios
Enero 2020,5
Febrero 2020,4
marzo 2020,7
Abril 2020,7
Mayo 2020,3
Junio 2020,8
Julio 2020,6
Agosto 2020,2
Septiembre 2020,8
Octubre 2020,7
Noviembre 2020,7
Diciembre 2020,8
Enero 2021,10
Febrero 2021,6
marzo 2021,11
Abril 2021,7
Mayo 2021,3
Junio 2021,12
Julio 2021,4
Agosto 2021,3
Septiembre 2021,10
Octubre 2021,4
Noviembre 2021,9
Diciembre 2021,9
Enero 2022,9
Febrero 2022,8
marzo 2022,3
Abril 2022,6
Mayo 2022,4
Junio 2022,6
Julio 2022,5
Agosto 2022,11
Septiembre 2022,8
Octubre 2022,6
Noviembre 2022,7
Diciembre 2022,10
Enero 2023,3
Febrero 2023,6
marzo 2023,4
Abril 2023,12
Mayo 2023,10
Junio 2023,4
Julio 2023,9
Agosto 2023,7
Septiembre 2023,5
Octubre 2023,8
Noviembre 2023,13
Diciembre 2023,15
Enero 2024,11
Febrero 2024,5
marzo 2024,6
Abril 2024,8
Mayo 2024,3
Junio 2024,3
