número de casos,Violencia a adulto mayor
Enero 2020,3
Febrero 2020,3
marzo 2020,8
Abril 2020,1
Mayo 2020,2
Junio 2020,3
Julio 2020,2
Agosto 2020,1
Septiembre 2020,5
Octubre 2020,1
Noviembre 2020,3
Diciembre 2020,2
Enero 2021,9
Febrero 2021,2
marzo 2021,5
Abril 2021,2
Mayo 2021,4
Junio 2021,8
Julio 2021,6
Agosto 2021,11
Septiembre 2021,3
Octubre 2021,5
Noviembre 2021,9
Diciembre 2021,12
Enero 2022,7
Febrero 2022,10
marzo 2022,2
Abril 2022,5
Mayo 2022,5
Junio 2022,10
Julio 2022,3
Agosto 2022,5
Septiembre 2022,3
Octubre 2022,6
Noviembre 2022,3
Diciembre 2022,4
Enero 2023,6
Febrero 2023,7
marzo 2023,6
Abril 2023,5
Mayo 2023,10
Junio 2023,8
Julio 2023,5
Agosto 2023,9
Septiembre 2023,5
Octubre 2023,3
Noviembre 2023,6
Diciembre 2023,6
Enero 2024,12
Febrero 2024,6
marzo 2024,6
Abril 2024,11
Mayo 2024,7
Junio 2024,4
