número de casos,Violencia en niños¬ niñas y adolescentes
Enero 2020,19
Febrero 2020,13
marzo 2020,19
Abril 2020,3
Mayo 2020,10
Junio 2020,16
Julio 2020,24
Agosto 2020,18
Septiembre 2020,25
Octubre 2020,21
Noviembre 2020,12
Diciembre 2020,9
Enero 2021,17
Febrero 2021,11
marzo 2021,16
Abril 2021,10
Mayo 2021,16
Junio 2021,12
Julio 2021,12
Agosto 2021,16
Septiembre 2021,24
Octubre 2021,18
Noviembre 2021,10
Diciembre 2021,17
Enero 2022,11
Febrero 2022,15
marzo 2022,20
Abril 2022,12
Mayo 2022,26
Junio 2022,23
Julio 2022,10
Agosto 2022,21
Septiembre 2022,22
Octubre 2022,13
Noviembre 2022,19
Diciembre 2022,12
Enero 2023,18
Febrero 2023,13
marzo 2023,18
Abril 2023,14
Mayo 2023,17
Junio 2023,14
Julio 2023,21
Agosto 2023,24
Septiembre 2023,26
Octubre 2023,31
Noviembre 2023,23
Diciembre 2023,14
Enero 2024,23
Febrero 2024,29
marzo 2024,17
Abril 2024,26
Mayo 2024,31
Junio 2024,25
