número de casos,Violencia de genero
Enero 2020,197
Febrero 2020,243
marzo 2020,245
Abril 2020,183
Mayo 2020,253
Junio 2020,234
Julio 2020,254
Agosto 2020,228
Septiembre 2020,258
Octubre 2020,230
Noviembre 2020,211
Diciembre 2020,252
Enero 2021,160
Febrero 2021,252
marzo 2021,257
Abril 2021,247
Mayo 2021,214
Junio 2021,174
Julio 2021,216
Agosto 2021,224
Septiembre 2021,273
Octubre 2021,270
Noviembre 2021,259
Diciembre 2021,230
Enero 2022,193
Febrero 2022,220
marzo 2022,268
Abril 2022,223
Mayo 2022,304
Junio 2022,271
Julio 2022,272
Agosto 2022,317
Septiembre 2022,276
Octubre 2022,318
Noviembre 2022,307
Diciembre 2022,310
Enero 2023,257
Febrero 2023,340
marzo 2023,360
Abril 2023,303
Mayo 2023,385
Junio 2023,348
Julio 2023,374
Agosto 2023,399
Septiembre 2023,412
Octubre 2023,378
Noviembre 2023,340
Diciembre 2023,358
Enero 2024,3
Febrero 2024,2
marzo 2024,1
Abril 2024,0
Mayo 2024,0
Junio 2024,0
