número de casos,Violencia de pareja
Enero 2020,107
Febrero 2020,99
marzo 2020,83
Abril 2020,32
Mayo 2020,76
Junio 2020,88
Julio 2020,81
Agosto 2020,70
Septiembre 2020,90
Octubre 2020,79
Noviembre 2020,71
Diciembre 2020,64
Enero 2021,59
Febrero 2021,67
marzo 2021,71
Abril 2021,80
Mayo 2021,83
Junio 2021,78
Julio 2021,78
Agosto 2021,77
Septiembre 2021,108
Octubre 2021,99
Noviembre 2021,115
Diciembre 2021,95
Enero 2022,74
Febrero 2022,95
marzo 2022,101
Abril 2022,87
Mayo 2022,107
Junio 2022,94
Julio 2022,87
Agosto 2022,112
Septiembre 2022,91
Octubre 2022,90
Noviembre 2022,107
Diciembre 2022,71
Enero 2023,86
Febrero 2023,97
marzo 2023,120
Abril 2023,93
Mayo 2023,94
Junio 2023,89
Julio 2023,86
Agosto 2023,111
Septiembre 2023,81
Octubre 2023,98
Noviembre 2023,94
Diciembre 2023,82
Enero 2024,106
Febrero 2024,121
marzo 2024,106
Abril 2024,89
Mayo 2024,117
Junio 2024,90
