número de casos,Violencia interpersonal
Enero 2020,210
Febrero 2020,182
marzo 2020,185
Abril 2020,35
Mayo 2020,65
Junio 2020,96
Julio 2020,109
Agosto 2020,111
Septiembre 2020,114
Octubre 2020,138
Noviembre 2020,97
Diciembre 2020,105
Enero 2021,87
Febrero 2021,101
marzo 2021,104
Abril 2021,119
Mayo 2021,140
Junio 2021,126
Julio 2021,126
Agosto 2021,155
Septiembre 2021,217
Octubre 2021,236
Noviembre 2021,203
Diciembre 2021,238
Enero 2022,181
Febrero 2022,185
marzo 2022,228
Abril 2022,220
Mayo 2022,272
Junio 2022,218
Julio 2022,241
Agosto 2022,283
Septiembre 2022,253
Octubre 2022,202
Noviembre 2022,246
Diciembre 2022,265
Enero 2023,208
Febrero 2023,235
marzo 2023,260
Abril 2023,211
Mayo 2023,289
Junio 2023,273
Julio 2023,259
Agosto 2023,291
Septiembre 2023,254
Octubre 2023,301
Noviembre 2023,304
Diciembre 2023,280
Enero 2024,251
Febrero 2024,274
marzo 2024,250
Abril 2024,288
Mayo 2024,290
Junio 2024,216
