número de casos,Violencia intrafamiliar
Enero 2020,40
Febrero 2020,30
marzo 2020,30
Abril 2020,16
Mayo 2020,32
Junio 2020,46
Julio 2020,37
Agosto 2020,31
Septiembre 2020,35
Octubre 2020,24
Noviembre 2020,29
Diciembre 2020,37
Enero 2021,29
Febrero 2021,24
marzo 2021,23
Abril 2021,43
Mayo 2021,34
Junio 2021,29
Julio 2021,19
Agosto 2021,33
Septiembre 2021,38
Octubre 2021,31
Noviembre 2021,37
Diciembre 2021,39
Enero 2022,49
Febrero 2022,34
marzo 2022,32
Abril 2022,31
Mayo 2022,44
Junio 2022,38
Julio 2022,31
Agosto 2022,37
Septiembre 2022,22
Octubre 2022,28
Noviembre 2022,38
Diciembre 2022,28
Enero 2023,32
Febrero 2023,35
marzo 2023,40
Abril 2023,32
Mayo 2023,49
Junio 2023,27
Julio 2023,31
Agosto 2023,52
Septiembre 2023,49
Octubre 2023,46
Noviembre 2023,26
Diciembre 2023,29
Enero 2024,39
Febrero 2024,31
marzo 2024,44
Abril 2024,28
Mayo 2024,34
Junio 2024,44
