número de casos,Violencia por convivencia educativa
Enero 2020,0
Febrero 2020,3
marzo 2020,6
Abril 2020,0
Mayo 2020,0
Junio 2020,2
Julio 2020,1
Agosto 2020,1
Septiembre 2020,0
Octubre 2020,0
Noviembre 2020,0
Diciembre 2020,0
Enero 2021,0
Febrero 2021,1
marzo 2021,1
Abril 2021,0
Mayo 2021,0
Junio 2021,1
Julio 2021,1
Agosto 2021,0
Septiembre 2021,4
Octubre 2021,2
Noviembre 2021,5
Diciembre 2021,0
Enero 2022,0
Febrero 2022,2
marzo 2022,14
Abril 2022,8
Mayo 2022,6
Junio 2022,7
Julio 2022,4
Agosto 2022,12
Septiembre 2022,17
Octubre 2022,15
Noviembre 2022,6
Diciembre 2022,1
Enero 2023,0
Febrero 2023,5
marzo 2023,4
Abril 2023,6
Mayo 2023,12
Junio 2023,10
Julio 2023,6
Agosto 2023,8
Septiembre 2023,6
Octubre 2023,5
Noviembre 2023,8
Diciembre 2023,1
Enero 2024,2
Febrero 2024,1
marzo 2024,4
Abril 2024,6
Mayo 2024,6
Junio 2024,1
